"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_CM","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","CM_vs_BDM"
-1.105625,13.3611125,-34.4560314767234,2.14623131827929e-09,5.63061543735817e-07,12.5750570058121,"BUP1_HUMAN",23,37.894273626737,3.98167709700201e-10,1.1196380935442e-07,1.105625,"Up in CM",6.95092233391559,"UPB1","Beta-ureidopropionase","BUP1_HUMAN",-1.105625
-1.196965,10.5323425,-30.7498221004467,4.92722811616438e-09,1.03572861785425e-06,11.7532027513218,"SYNE2_HUMAN",160,37.8014283938912,4.05821969533172e-10,1.1196380935442e-07,1.196965,"Up in CM",6.95092233391559,"SYNE2","Nesprin-2","SYNE2_HUMAN",-1.196965
-0.978799999999998,15.15255,-33.7826053235863,2.47920687484472e-09,5.93685669101216e-07,12.4341675037734,"PBLD_HUMAN",23,37.754858512996,4.09723625351622e-10,1.1196380935442e-07,0.978799999999998,"Up in CM",6.95092233391559,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN",-0.978799999999998
1.624795,8.573415,33.5508853572691,2.60706075721442e-09,5.93685669101216e-07,12.3848667873799,"MAP1B_HUMAN",55,-37.5238440405882,4.29714356654815e-10,1.13638654705038e-07,-1.624795,"Up in BDM",6.94447391625179,"MAP1B","Microtubule-associated protein 1B","MAP1B_HUMAN",1.624795
1.860225,14.6329875,34.2033205674196,2.26484472282824e-09,5.63061543735817e-07,12.5225982658255,"FIBB_HUMAN",38,-37.0751096153006,4.71769496225154e-10,1.20861447814182e-07,-1.860225,"Up in BDM",6.91771220758927,"FGB","Fibrinogen beta chain","FIBB_HUMAN",1.860225
1.7057,15.269175,33.5596866251823,2.6020699014059e-09,5.93685669101216e-07,12.3867471597382,"FIBG_HUMAN",29,-36.0996815252513,5.80198525227239e-10,1.41274638078648e-07,-1.7057,"Up in BDM",6.84993579661649,"FGG","Fibrinogen gamma chain","FIBG_HUMAN",1.7057
-1.459075,13.9759625,-36.4439756114665,1.42430373038594e-09,4.86518415904332e-07,12.9712749489334,"NDRG1_HUMAN",15,36.0030129170945,5.92394812370742e-10,1.41274638078648e-07,1.459075,"Up in CM",6.84993579661649,"NDRG1","Protein NDRG1","NDRG1_HUMAN",-1.459075
1.76308,10.13696,44.4102814684133,3.35173722740042e-10,3.43469272377858e-07,14.3112371502833,"COTL1_HUMAN",9,-35.9196210395956,6.03148613412135e-10,1.41274638078648e-07,-1.76308,"Up in BDM",6.84993579661649,"COTL1","Coactosin-like protein","COTL1_HUMAN",1.76308
0.735299999999999,11.94715,26.9149589727902,1.30116963075029e-08,1.64560976663932e-06,10.7654950447658,"FPRP_HUMAN",40,-35.7423303311611,6.26750534399117e-10,1.42725024472332e-07,-0.735299999999999,"Up in BDM",6.84549987385501,"PTGFRN","Prostaglandin F2 receptor negative regulator","FPRP_HUMAN",0.735299999999999
-0.761900000000002,10.566,-27.8675217379228,1.00996163759833e-08,1.47851169732699e-06,11.0257271227139,"IFIT1_HUMAN",34,35.4999424068369,6.60722229829122e-10,1.44236670724311e-07,0.761900000000002,"Up in CM",6.84092431056982,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","IFIT1_HUMAN",-0.761900000000002
1.0368,11.8188,30.2976900096419,5.48963603784438e-09,1.09765942044508e-06,11.6446288015169,"TFR1_HUMAN",34,-35.3619984634099,6.80980053960464e-10,1.44236670724311e-07,-1.0368,"Up in BDM",6.84092431056982,"TFRC","Transferrin receptor protein 1","TFR1_HUMAN",1.0368
-1.28535,11.56845,-33.2966673856761,2.75601778492639e-09,6.10644156779096e-07,12.3302848899542,"VTDB_HUMAN",21,35.3273948363246,6.86171036624558e-10,1.44236670724311e-07,1.28535,"Up in CM",6.84092431056982,"GC","Vitamin D-binding protein","VTDB_HUMAN",-1.28535
-1.05497500000001,18.4141875,-30.1321990370284,5.71344257045447e-09,1.11520957601395e-06,11.6043967134783,"ADH1G_HUMAN",33,34.8075364855159,7.69780731673473e-10,1.57766560956478e-07,1.05497500000001,"Up in CM",6.80198504124702,"ADH1C","Alcohol dehydrogenase 1C","ADH1G_HUMAN",-1.05497500000001
0.669575000000002,13.3652625,23.0168991168406,4.05853548097117e-08,3.16874989266683e-06,9.57818456823493,"FAT1_HUMAN",153,-34.6019452148643,8.05969673993204e-10,1.61154619204787e-07,-0.669575000000002,"Up in BDM",6.79275724170983,"FAT1","Protocadherin Fat 1","FAT1_HUMAN",0.669575000000002
-0.7668,16.35815,-27.9395695889435,9.911371312535e-09,1.47733494582113e-06,11.0449849769715,"GLYC_HUMAN",30,34.3357980256386,8.5570045779817e-10,1.63697188300511e-07,0.7668,"Up in CM",6.78595878006307,"SHMT1","Serine hydroxymethyltransferase, cytosolic","GLYC_HUMAN",-0.7668
-0.6389,15.091825,-22.6786933394079,4.5188010653818e-08,3.367739194e-06,9.46464613225178,"GDE_HUMAN",104,34.2777098387172,8.67008912997802e-10,1.63697188300511e-07,0.6389,"Up in CM",6.78595878006307,"AGL","Glycogen debranching enzyme","GDE_HUMAN",-0.6389
-1.6617675,10.22846625,-42.5950790927975,4.54975630172408e-10,3.7298902161534e-07,14.036462862907,"TTC36_HUMAN",9,34.2191027116627,8.78589446843436e-10,1.63697188300511e-07,1.6617675,"Up in CM",6.78595878006307,"TTC36","Tetratricopeptide repeat protein 36","TTC36_HUMAN",-1.6617675
1.01075,13.742475,26.8994735041347,1.30663428494272e-08,1.64560976663932e-06,10.7611762034685,"APOB_HUMAN",239,-33.8518939946823,9.55244349207497e-10,1.74024292773401e-07,-1.01075,"Up in BDM",6.75939012251608,"APOB","Apolipoprotein B-100","APOB_HUMAN",1.01075
1.11971,10.514845,29.7517925724184,6.26827798670896e-09,1.141940954112e-06,11.5108979871206,"ITA2_HUMAN",32,-33.6682901447899,9.96379822293423e-10,1.75702033097918e-07,-1.11971,"Up in BDM",6.75522321313135,"ITGA2","Integrin alpha-2","ITA2_HUMAN",1.11971
0.764974999999998,11.1441125,26.0603987162168,1.64568757002364e-08,1.7782077641808e-06,10.522757917603,"MX1_HUMAN",43,-33.6209033221237,1.00731831612614e-09,1.75702033097918e-07,-0.764974999999998,"Up in BDM",6.75522321313135,"MX1","Interferon-induced GTP-binding protein Mx1","MX1_HUMAN",0.764974999999998
0.832074999999998,11.7273125,26.2207788398181,1.57381645126703e-08,1.74847192998394e-06,10.5690082710952,"MDR1_HUMAN",52,-33.350450357734,1.07240010763491e-09,1.78856257014023e-07,-0.832074999999998,"Up in BDM",6.74749586211758,"ABCB1","ATP-dependent translocase ABCB1","MDR1_HUMAN",0.832074999999998
0.948567499999999,10.48876625,28.4766986615943,8.62704022912416e-09,1.36008607304538e-06,11.1867359007717,"ADA10_HUMAN",33,-33.3472814659793,1.07319026359947e-09,1.78856257014023e-07,-0.948567499999999,"Up in BDM",6.74749586211758,"ADAM10","Disintegrin and metalloproteinase domain-containing protein 10","ADA10_HUMAN",0.948567499999999
-1.211275,11.2204875,-30.31746646247,5.46356274855481e-09,1.09765942044508e-06,11.6494188318107,"ACO12_HUMAN",27,33.277124460203,1.09085299471836e-09,1.78856257014023e-07,1.211275,"Up in CM",6.74749586211758,"ACOT12","Acetyl-coenzyme A thioesterase","ACO12_HUMAN",-1.211275
0.99175,12.2989,27.4531309083848,1.12644266203063e-08,1.62010121812756e-06,10.9138169817451,"HKDC1_HUMAN",55,-33.1513064949238,1.12335605295056e-09,1.80573978864484e-07,-0.99175,"Up in BDM",6.74334483237117,"HKDC1","Hexokinase HKDC1","HKDC1_HUMAN",0.99175
2.101765,9.3047675,31.5558102120521,4.07932085502647e-09,8.80059799197553e-07,11.9420124159469,"ITA3_HUMAN",23,-32.9834141124174,1.16844250408616e-09,1.84209454778814e-07,-2.101765,"Up in BDM",6.73468808286399,"ITGA3","Integrin alpha-3","ITA3_HUMAN",2.101765
-0.76005,11.2388,-24.3456128500386,2.69984069078226e-08,2.35979260386628e-06,10.0069219638073,"CGNL1_HUMAN",84,32.8549962618667,1.20430691996804e-09,1.84485097476776e-07,0.76005,"Up in CM",6.73403870996563,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN",-0.76005
-1.040725,14.1246375,-40.4580369304789,6.63177900206521e-10,3.89675547583457e-07,13.6913144970091,"PGDH_HUMAN",12,32.8129117962686,1.21632896847392e-09,1.84485097476776e-07,1.040725,"Up in CM",6.73403870996563,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","PGDH_HUMAN",-1.040725
-1.0492,17.9455,-29.8611801626862,6.1027047206712e-09,1.13704484772869e-06,11.5379307615654,"LDHA_HUMAN",24,32.7392388076974,1.23770192256924e-09,1.84485097476776e-07,1.0492,"Up in CM",6.73403870996563,"LDHA","L-lactate dehydrogenase A chain","LDHA_HUMAN",-1.0492
-0.869049999999994,15.031725,-26.3472124649538,1.51966364740991e-08,1.74847192998394e-06,10.6052399424352,"KPYR_HUMAN",45,32.3295012559463,1.36457824536067e-09,1.96367343571254e-07,0.869049999999994,"Up in CM",6.70693073490972,"PKLR","Pyruvate kinase PKLR","KPYR_HUMAN",-0.869049999999994
-2.8823625,8.09809375,-34.1998345211502,2.26653219605781e-09,5.63061543735817e-07,12.5218711865713,"HBB_HUMAN",8,32.3272169784728,1.36532551641394e-09,1.96367343571254e-07,2.8823625,"Up in CM",6.70693073490972,"HBB","Hemoglobin subunit beta","HBB_HUMAN",-2.8823625
1.2135725,9.36783875,29.4364793757821,6.77481473742687e-09,1.20307065825749e-06,11.432302447543,"FLRT3_HUMAN",27,-32.1782763470327,1.41506004587768e-09,2.00011418208711e-07,-1.2135725,"Up in BDM",6.69894521071858,"FLRT3","Leucine-rich repeat transmembrane protein FLRT3","FLRT3_HUMAN",1.2135725
-1.00285,12.491725,-26.8484131744639,1.32483830932173e-08,1.64560976663932e-06,10.7469151726211,"XDH_HUMAN",47,31.6428336365393,1.61149350732681e-09,2.22363898966094e-07,1.00285,"Up in CM",6.65293571957405,"XDH","Xanthine dehydrogenase/oxidase","XDH_HUMAN",-1.00285
-0.947575000000001,16.1273375,-28.829124092028,7.88715649790944e-09,1.29317817939723e-06,11.278035254087,"AK1C4_HUMAN",23,31.6026084969214,1.62744985825392e-09,2.22363898966094e-07,0.947575000000001,"Up in CM",6.65293571957405,"AKR1C4","Aldo-keto reductase family 1 member C4","AK1C4_HUMAN",-0.947575000000001
-0.952475,15.4098125,-29.3642263809936,6.89733117078583e-09,1.20307065825749e-06,11.4141503999514,"KHK_HUMAN",20,31.1707282577101,1.81047027929686e-09,2.41955744213137e-07,0.952475,"Up in CM",6.61626406295211,"KHK","Ketohexokinase","KHK_HUMAN",-0.952475
-1.002725,16.9213125,-26.8657455520626,1.31862689624388e-08,1.64560976663932e-06,10.7517595942666,"SBP1_HUMAN",39,31.1278621969989,1.82986778985295e-09,2.41955744213137e-07,1.002725,"Up in CM",6.61626406295211,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN",-1.002725
0.848900000000002,11.86815,25.227057856534,2.08467471122724e-08,2.06880419165086e-06,10.2770642605382,"ITA6_HUMAN",48,-30.9299747374281,1.9225059008684e-09,2.50169894846336e-07,-0.848900000000002,"Up in BDM",6.60176495399019,"ITGA6","Integrin alpha-6","ITA6_HUMAN",0.848900000000002
1.5136275,10.76166125,28.0603898190645,9.60456302683474e-09,1.45811495729613e-06,11.0771485519977,"LAMC1_HUMAN",52,-30.8009621689951,1.98574561603766e-09,2.54361602504324e-07,-1.5136275,"Up in BDM",6.59454844757979,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN",1.5136275
-0.820475,14.9494125,-26.9787359693738,1.27893514336631e-08,1.64560976663932e-06,10.7832518266759,"GPDA_HUMAN",25,30.5890185896032,2.0947939136921e-09,2.64201853914582e-07,0.820475,"Up in CM",6.5780641392497,"GPD1","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic","GPDA_HUMAN",-0.820475
-0.528275000000001,12.5780875,-19.9415510555098,1.14711340459956e-07,6.06711980058528e-06,8.47147826652161,"OPLA_HUMAN",65,30.2579894426449,2.27889009513325e-09,2.83065772725793e-07,0.528275000000001,"Up in CM",6.54811264075491,"OPLAH","5-oxoprolinase","OPLA_HUMAN",-0.528275000000001
1.175375,14.6436875,29.2474187415404,7.10075443037124e-09,1.20752569588141e-06,11.3846916533715,"VNN1_HUMAN",18,-30.1379918068975,2.35007517586605e-09,2.87550989429103e-07,-1.175375,"Up in BDM",6.5412851337075,"VNN1","Pantetheinase","VNN1_HUMAN",1.175375
-0.955500000000001,11.3458,-25.2282893503853,2.08393469085134e-08,2.06880419165086e-06,10.2774341523437,"KPB2_HUMAN",54,29.9247224102354,2.48286498783502e-09,2.99331281915757e-07,0.955500000000001,"Up in CM",6.52384789440777,"PHKA2","Phosphorylase b kinase regulatory subunit alpha, liver isoform","KPB2_HUMAN",-0.955500000000001
-0.788599999999999,16.00955,-23.1453949432861,3.89779549801125e-08,3.0725122589131e-06,9.62083782155498,"AOXA_HUMAN",91,29.7284616523461,2.61257713894928e-09,3.10404454856612e-07,0.788599999999999,"Up in CM",6.50807205447003,"AOX1","Aldehyde oxidase","AOXA_HUMAN",-0.788599999999999
-1.0609125,8.78792375,-26.494883471843,1.459072852727e-08,1.73354771690666e-06,10.6473042811391,"MDR3_HUMAN",28,29.2003164852719,3.0012729835926e-09,3.5149194170703e-07,1.0609125,"Up in CM",6.45408462715137,"ABCB4","Phosphatidylcholine translocator ABCB4","MDR3_HUMAN",-1.0609125
-0.844049999999996,17.3885,-24.1974030584644,2.82234847095242e-08,2.41016799634041e-06,9.96041432913536,"SCP2_HUMAN",39,28.589816541049,3.53414778253406e-09,4.06264394528319e-07,0.844049999999996,"Up in CM",6.39119123806607,"SCP2","Sterol carrier protein 2","SCP2_HUMAN",-0.844049999999996
1.016975,11.1552625,26.5025849141312,1.45598890953052e-08,1.73354771690666e-06,10.6494906122053,"SCMC1_HUMAN",23,-28.5545244785648,3.56806982264442e-09,4.06264394528319e-07,-1.016975,"Up in BDM",6.39119123806607,"SLC25A24","Mitochondrial adenyl nucleotide antiporter SLC25A24","SCMC1_HUMAN",1.016975
1.03605,11.3907,26.5291352326662,1.44541374463952e-08,1.73354771690666e-06,10.6570222450164,"5NTD_HUMAN",22,-28.3391433378805,3.78321917016932e-09,4.24860695302029e-07,-1.03605,"Up in BDM",6.37175344448826,"NT5E","5'-nucleotidase","5NTD_HUMAN",1.03605
0.546875,11.5290125,19.9164177937491,1.15761907245044e-07,6.08343663842864e-06,8.4616896025719,"CBPD_HUMAN",54,-28.1107101235055,4.02753180244103e-09,4.44808543708262e-07,-0.546875,"Up in BDM",6.3518268795876,"CPD","Carboxypeptidase D","CBPD_HUMAN",0.546875
0.517799999999998,14.394275,18.5979292506968,1.898222217166e-07,8.35210868666136e-06,7.92890914557958,"IQGA1_HUMAN",91,-28.068955533339,4.07408524213995e-09,4.44808543708262e-07,-0.517799999999998,"Up in BDM",6.3518268795876,"IQGAP1","Ras GTPase-activating-like protein IQGAP1","IQGA1_HUMAN",0.517799999999998
1.22745,11.287575,26.9811522529732,1.27810127496675e-08,1.64560976663932e-06,10.7839236081916,"PRS23_HUMAN",19,-28.0251120358123,4.12362153230397e-09,4.44808543708262e-07,-1.22745,"Up in BDM",6.3518268795876,"PRSS23","Serine protease 23","PRS23_HUMAN",1.22745
1.136025,11.4323875,26.2105915582106,1.57827424760687e-08,1.74847192998394e-06,10.5660801689362,"4F2_HUMAN",23,-27.9585048042882,4.2001817421558e-09,4.4718298600251e-07,-1.136025,"Up in BDM",6.34951472843512,"SLC3A2","Amino acid transporter heavy chain SLC3A2","4F2_HUMAN",1.136025
-1.02835,17.94975,-29.1821056397895,7.21746268580009e-09,1.20752569588141e-06,11.368158424397,"ADH1B_HUMAN",14,27.8236888700665,4.36009664702236e-09,4.58257337337042e-07,1.02835,"Up in CM",6.33889057265166,"ADH1B","All-trans-retinol dehydrogenase [NAD(+)] ADH1B","ADH1B_HUMAN",-1.02835
1.38325,12.4595,26.2768534357436,1.54953338546518e-08,1.74847192998394e-06,10.5851021960881,"PAI1_HUMAN",22,-27.6079833816621,4.63044021860477e-09,4.79273367866111e-07,-1.38325,"Up in BDM",6.31941670309696,"SERPINE1","Plasminogen activator inhibitor 1","PAI1_HUMAN",1.38325
-0.871599999999997,11.8148,-24.2283922294869,2.79622054482853e-08,2.41016799634041e-06,9.97016507684877,"UAP1_HUMAN",31,27.5722850581731,4.67697846173321e-09,4.79273367866111e-07,0.871599999999997,"Up in CM",6.31941670309696,"UAP1","UDP-N-acetylhexosamine pyrophosphorylase","UAP1_HUMAN",-0.871599999999997
0.738325000000001,12.4976375,22.9518780561861,4.14272924939499e-08,3.1859235001617e-06,9.55650051901988,"BAG3_HUMAN",35,-27.4333539219715,4.86318243480848e-09,4.88514512819413e-07,-0.738325000000001,"Up in BDM",6.31112252970618,"BAG3","BAG family molecular chaperone regulator 3","BAG3_HUMAN",0.738325000000001
-0.798500000000004,13.330975,-27.2007682626221,1.204824735001e-08,1.64560976663932e-06,10.8446911040353,"ASPDH_HUMAN",17,27.4164978792859,4.88633691768625e-09,4.88514512819413e-07,0.798500000000004,"Up in CM",6.31112252970618,"ASPDH","Aspartate dehydrogenase domain-containing protein","ASPDH_HUMAN",-0.798500000000004
2.014555,8.617655,25.5585437479304,1.89582077830362e-08,1.99155486636198e-06,10.3758930712231,"PGBM_HUMAN",106,-27.2854272336815,5.07068313518688e-09,5.00836871593518e-07,-2.014555,"Up in BDM",6.30030370587561,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN",2.014555
-1.345375,13.3222625,-27.0572948513344,1.25213758635235e-08,1.64560976663932e-06,10.8050571937596,"GNMT_HUMAN",15,27.116946787371,5.31926528165091e-09,5.19134961654454e-07,1.345375,"Up in CM",6.28471972214732,"GNMT","Glycine N-methyltransferase","GNMT_HUMAN",-1.345375
0.80986,10.248645,22.2429451597298,5.20166853382036e-08,3.77374147258932e-06,9.31557419302762,"AGRIN_HUMAN",63,-27.0501864253329,5.42154226656183e-09,5.20078826433573e-07,-0.80986,"Up in BDM",6.28393082696011,"AGRN","Agrin","AGRIN_HUMAN",0.80986
4.2828025,8.04707375,27.1620900177211,1.21737670473552e-08,1.64560976663932e-06,10.8340304302147,"MIME_HUMAN",7,-27.0195345137317,5.4692420205624e-09,5.20078826433573e-07,-4.2828025,"Up in BDM",6.28393082696011,"OGN","Mimecan","MIME_HUMAN",4.2828025
1.09325,10.665125,25.0604624271951,2.18758914027419e-08,2.13498282999616e-06,10.2268352658941,"ADAM9_HUMAN",25,-26.9877175733713,5.519255659883e-09,5.20078826433573e-07,-1.09325,"Up in BDM",6.28393082696011,"ADAM9","Disintegrin and metalloproteinase domain-containing protein 9","ADAM9_HUMAN",1.09325
-0.810600000000001,17.031175,-24.1118777756507,2.89590646273077e-08,2.44748878159452e-06,9.93343073974232,"ADH4_HUMAN",25,26.8290056148232,5.77656391167371e-09,5.38139442589785e-07,0.810600000000001,"Up in CM",6.26910517544779,"ADH4","All-trans-retinol dehydrogenase [NAD(+)] ADH4","ADH4_HUMAN",-0.810600000000001
