"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BT_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","C_vs_BT"
0.708499999999999,11.3064,21.7229962255524,7.22973600331256e-08,3.89586374098503e-05,9.04890740661801,"IGSF8_HUMAN",21,-27.9925586761519,1.90747732626733e-08,1.18601070986299e-05,-0.708499999999999,"Up in BT",4.92591138920667,"IGSF8","Immunoglobulin superfamily member 8","IGSF8_HUMAN",0.708499999999999
0.723875000000008,16.1821625,23.1920273754952,4.52484595316148e-08,2.74812961102519e-05,9.48458448734294,"STOM_HUMAN",17,-26.1757994689564,3.03906762091381e-08,1.75462739856045e-05,-0.723875000000008,"Up in BT",4.7558150934029,"STOM","Stomatin","STOM_HUMAN",0.723875000000008
-0.746949999999998,10.442325,-21.2125576749205,8.57016131685866e-08,4.07485964259815e-05,8.88833687747748,"T23O_HUMAN",17,25.2066812352389,3.94784115441053e-08,2.12736000340669e-05,0.746949999999998,"Up in C",4.67215901020857,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN",-0.746949999999998
0.614930000000001,9.917935,18.8975868607659,1.95533868083871e-07,6.87174024226927e-05,8.09278732668794,"PRIO_HUMAN",8,-24.5772306084757,4.70408285743955e-08,2.37644385854274e-05,-0.614930000000001,"Up in BT",4.62407244108439,"PRNP","Major prion protein","PRIO_HUMAN",0.614930000000001
-0.551550000000002,11.95115,-21.2555652456397,8.44693167832167e-08,4.07485964259815e-05,8.90205880342317,"TENS1_HUMAN",76,23.4871076717372,6.44064072934206e-08,3.06233523619246e-05,0.551550000000002,"Up in C",4.51394726848451,"TNS1","Tensin-1","TENS1_HUMAN",-0.551550000000002
-1.923455,10.4007475,-23.3846261958451,4.26440904440308e-08,2.74812961102519e-05,9.53896337864219,"NUA4L_HUMAN",5,22.7394207542312,8.05654023067811e-08,3.61783414914284e-05,1.923455,"Up in C",4.4415513462001,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN",-1.923455
-0.563549999999996,14.6406,-17.9074057739888,2.86801718228529e-07,8.55178299301944e-05,7.71469082811699,"SERA_HUMAN",27,21.5264196700894,1.17682424413708e-07,4.90076714468178e-05,0.563549999999996,"Up in C",4.30973593208893,"PHGDH","D-3-phosphoglycerate dehydrogenase","SERA_HUMAN",-0.563549999999996
-0.257325,15.2022125,-10.5864261105836,1.13935334714962e-05,0.000930241727778828,3.88380278598737,"ACOHC_HUMAN",48,21.3868225116979,1.23091191151415e-07,4.90076714468178e-05,0.257325,"Non-significant",4.30973593208893,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN",-0.257325
-0.395724999999999,10.7432875,-14.1310694082879,1.53081973655879e-06,0.000269753744206595,6.00920200584778,"SYNE2_HUMAN",160,21.2155856301977,1.30117439784027e-07,4.90076714468178e-05,0.395724999999999,"Non-significant",4.30973593208893,"SYNE2","Nesprin-2","SYNE2_HUMAN",-0.395724999999999
-0.857474999999997,11.2465875,-19.851117379042,1.37652029808852e-07,6.1813408719164e-05,8.43458612928205,"APOL3_HUMAN",18,21.0712009367789,1.36398962714094e-07,4.90076714468178e-05,0.857474999999997,"Up in C",4.30973593208893,"APOL3","Apolipoprotein L3","APOL3_HUMAN",-0.857474999999997
-0.662350000000004,16.5072,-19.4945166293843,1.56655797084755e-07,6.66446740966356e-05,8.30919638208854,"ALDOC_HUMAN",31,21.0037775619964,1.39450258972759e-07,4.90076714468178e-05,0.662350000000004,"Up in C",4.30973593208893,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN",-0.662350000000004
0.344950000000001,13.30165,13.0657504642925,2.65150205149409e-06,0.000389674383313214,5.43468447881207,"FADS2_HUMAN",14,-19.7664019856653,2.11975040597843e-07,7.1391427214682e-05,-0.344950000000001,"Non-significant",4.14635393579928,"FADS2","Acyl-CoA 6-desaturase","FADS2_HUMAN",0.344950000000001
0.595900000000002,13.4493,18.4930262072648,2.281150819416e-07,7.68272586389147e-05,7.9412823069063,"ITIH2_HUMAN",47,-18.8528404972236,2.93616953138069e-07,9.40695184213458e-05,-0.595900000000002,"Up in BT",4.02655107929267,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","ITIH2_HUMAN",0.595900000000002
-0.381874999999994,16.1933375,-13.2952991105082,2.34743162352836e-06,0.000358005468169429,5.5626109994751,"ALDOA_HUMAN",29,18.6872250148349,3.11989708611924e-07,9.40695184213458e-05,0.381874999999994,"Non-significant",4.02655107929267,"ALDOA","Fructose-bisphosphate aldolase A","ALDOA_HUMAN",-0.381874999999994
6.0168175,8.85776625,19.0039804911705,1.87866473671411e-07,6.87174024226927e-05,8.13197199668016,"TSP4_HUMAN",21,-18.5934614853372,3.22971118863548e-07,9.40695184213458e-05,-6.0168175,"Up in BT",4.02655107929267,"THBS4","Thrombospondin-4","TSP4_HUMAN",6.0168175
-0.709699999999998,14.107475,-19.0022858341496,1.87985894405017e-07,6.87174024226927e-05,8.13134997249305,"NDRG1_HUMAN",15,18.5693775681302,3.25862491129244e-07,9.40695184213458e-05,0.709699999999998,"Up in C",4.02655107929267,"NDRG1","Protein NDRG1","NDRG1_HUMAN",-0.709699999999998
1.0750425,9.55448375,17.9683972510077,2.79950846772534e-07,8.55178299301944e-05,7.73870396611795,"PTPRF_HUMAN",57,-18.4197177347163,3.44505592749971e-07,9.60220243516557e-05,-1.0750425,"Up in BT",4.0176291424047,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN",1.0750425
-0.813320000000004,10.21264,-16.7649479288231,4.5800668046558e-07,0.000123402266606776,7.24604762042105,"VLDLR_HUMAN",32,18.2840652146105,3.6246064203811e-07,9.7658978986468e-05,0.813320000000004,"Up in C",4.01028782052764,"VLDLR","Very low-density lipoprotein receptor","VLDLR_HUMAN",-0.813320000000004
0.360124999999996,10.2081375,14.3843625391453,1.35108240026525e-06,0.00025397207072893,6.13891816326065,"ITA2_HUMAN",32,-17.8995047752799,4.1944941811774e-07,0.000109368053117603,-0.360124999999996,"Non-significant",3.96110951877883,"ITGA2","Integrin alpha-2","ITA2_HUMAN",0.360124999999996
0.555999999999997,11.225675,14.9941899808809,1.00852584543549e-06,0.00021452406338566,6.44118436309142,"K1C19_HUMAN",26,-17.2490800759212,5.40737150174204e-07,0.000136586824526815,-0.555999999999997,"Up in BT",3.8645911916594,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",0.555999999999997
4.24274,7.676545,17.3523796394955,3.58708207337835e-07,9.99806358590248e-05,7.49157698584944,"FMOD_HUMAN",7,-17.097472756378,5.74474760894809e-07,0.000138159725503565,-4.24274,"Up in BT",3.85961853829819,"FMOD","Fibromodulin","FMOD_HUMAN",4.24274
0.886075,11.5685625,16.1164113470176,6.05687054941349e-07,0.000152056297115065,6.96305164869409,"DDB2_HUMAN",18,-17.0686817246652,5.81149408279254e-07,0.000138159725503565,-0.886075,"Up in BT",3.85961853829819,"DDB2","DNA damage-binding protein 2","DDB2_HUMAN",0.886075
-0.6541,11.484825,-18.2219474908412,2.53393814110447e-07,8.19272879781896e-05,7.83748908778802,"ACO12_HUMAN",27,16.1092416008117,8.63528963889638e-07,0.000199425846146284,0.6541,"Up in C",3.70021855659962,"ACOT12","Acetyl-coenzyme A thioesterase","ACO12_HUMAN",-0.6541
-0.355225000000001,13.7203375,-12.0896199468736,4.55501802065968e-06,0.000541444274426356,4.86304622010226,"BUP1_HUMAN",23,15.9778238943239,9.13256523805398e-07,0.000205051457831084,0.355225000000001,"Non-significant",3.68813713871132,"UPB1","Beta-ureidopropionase","BUP1_HUMAN",-0.355225000000001
0.562624999999997,11.5712625,14.406567872492,1.33650154397504e-06,0.00025397207072893,6.15017056804282,"CO5_HUMAN",67,-15.8707794010032,9.56181126229159e-07,0.000208886811981359,-0.562624999999997,"Up in BT",3.68008897823185,"C5","Complement C5","CO5_HUMAN",0.562624999999997
0.827224999999999,10.9026375,15.7419391913964,7.15266490819739e-07,0.000165185687008456,6.7936138903884,"CNBP_HUMAN",11,-15.6765398227882,1.04007659431284e-06,0.000214380964977934,-0.827224999999999,"Up in BT",3.66881377855036,"CNBP","CCHC-type zinc finger nucleic acid binding protein","CNBP_HUMAN",0.827224999999999
0.361050000000002,13.058075,11.7829903598042,5.44395951524473e-06,0.00061205990667391,4.67360695009676,"UD13_HUMAN",10,-15.6441656597764,1.05486003155638e-06,0.000214380964977934,-0.361050000000002,"Non-significant",3.66881377855036,"UGT1A3","UDP-glucuronosyltransferase 1A3","UD13_HUMAN",0.361050000000002
-0.471224999999999,10.7067875,-16.0472504780954,6.24403748482491e-07,0.000152056297115065,6.93209948921354,"KANK1_HUMAN",51,15.6310914946218,1.06089800805609e-06,0.000214380964977934,0.471224999999999,"Non-significant",3.66881377855036,"KANK1","KN motif and ankyrin repeat domain-containing protein 1","KANK1_HUMAN",-0.471224999999999
0.945097499999999,9.64542625,14.8447861727171,1.08228957527762e-06,0.000224311452229974,6.3684067682629,"PERM_HUMAN",27,-15.46075330787,1.14327370520431e-06,0.000225392228272352,-0.945097499999999,"Up in BT",3.64706106289782,"MPO","Myeloperoxidase","PERM_HUMAN",0.945097499999999
-0.637974999999997,11.8049875,-14.0597754641293,1.58619298084199e-06,0.000272791443917995,5.97223325325284,"BCAP_HUMAN",31,15.2939126750886,1.23109339328091e-06,0.000236926854711657,0.637974999999997,"Up in C",3.62538571094422,"PIK3AP1","Phosphoinositide 3-kinase adapter protein 1","BCAP_HUMAN",-0.637974999999997
2.9621375,7.47710875,15.4108245837329,8.3118477028619e-07,0.000181580175627656,6.63993081971377,"MATN3_HUMAN",18,-15.1363480032257,1.32114850366492e-06,0.000248345194305199,-2.9621375,"Up in BT",3.60494423956216,"MATN3","Matrilin-3","MATN3_HUMAN",2.9621375
0.335174999999996,15.9735625,11.4231806756268,6.74753104139637e-06,0.000697758508506435,4.44483607510422,"APOE_HUMAN",29,-14.8954111855178,1.4737551933197e-06,0.000270735527900071,-0.335174999999996,"Non-significant",3.56745474918509,"APOE","Apolipoprotein E","APOE_HUMAN",0.335174999999996
0.695574999999998,13.3651125,15.5551364519582,7.78226983447698e-07,0.000174733575200215,6.70736655145075,"RL19_HUMAN",8,-14.7743240153038,1.55796998043689e-06,0.000275067899407551,-0.695574999999998,"Up in BT",3.56056008908543,"RPL19","Large ribosomal subunit protein eL19","RL19_HUMAN",0.695574999999998
-0.44805,12.616375,-12.1333980119448,4.44204448473702e-06,0.000535896202539244,4.8896917362316,"PURA1_HUMAN",29,14.7640011437353,1.56539940278948e-06,0.000275067899407551,0.44805,"Non-significant",3.56056008908543,"ADSS1","Adenylosuccinate synthetase isozyme 1","PURA1_HUMAN",-0.44805
0.735575000000001,12.3882125,14.7154691087258,1.15110300186369e-06,0.000232609139101604,6.30475398072593,"RIR2B_HUMAN",23,-14.6756389301789,1.63067166795347e-06,0.000276523058763595,-0.735575000000001,"Up in BT",3.55826864780869,"RRM2B","Ribonucleoside-diphosphate reductase subunit M2 B","RIR2B_HUMAN",0.735575000000001
-0.470849999999997,12.09685,-12.2597103648704,4.13345807137548e-06,0.000509898329013791,4.96602196826368,"PALMD_HUMAN",22,14.6605805111362,1.64210154901058e-06,0.000276523058763595,0.470849999999997,"Non-significant",3.55826864780869,"PALMD","Palmdelphin","PALMD_HUMAN",-0.470849999999997
0.618199999999996,10.47515,13.4882363737028,2.12218726748788e-06,0.000343072793662091,5.66833135602032,"LAMC1_HUMAN",52,-14.4851494147633,1.78220857172505e-06,0.000293991671127624,-0.618199999999996,"Up in BT",3.53166497310672,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN",0.618199999999996
0.467700000000001,11.2905,12.4233829889193,3.76905565721223e-06,0.000483575823448356,5.06373230315939,"TSN6_HUMAN",9,-14.4275644799024,1.83112975324589e-06,0.00029602043590973,-0.467700000000001,"Non-significant",3.52867830618272,"TSPAN6","Tetraspanin-6","TSN6_HUMAN",0.467700000000001
-0.329699999999997,14.717375,-11.780489660992,5.45197492026742e-06,0.00061205990667391,4.67204145262345,"PUR6_HUMAN",21,14.2637444753395,1.97888058191728e-06,0.000309902276127721,0.329699999999997,"Non-significant",3.50877523400247,"PAICS","Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase","PUR6_HUMAN",-0.329699999999997
0.231425000000005,16.9499375,9.0238765571388,3.37210503172769e-05,0.00168251388712685,2.71162714859886,"VTNC_HUMAN",29,-14.2481068429452,1.99368036108394e-06,0.000309902276127721,-0.231425000000005,"Non-significant",3.50877523400247,"VTN","Vitronectin","VTNC_HUMAN",0.231425000000005
-0.219949999999994,16.04015,-8.37585693160666,5.5496581414285e-05,0.00231226220397766,2.16997996078478,"C1TC_HUMAN",59,14.0291371641928,2.21473545454593e-06,0.00033616075410279,0.219949999999994,"Non-significant",3.47345299069278,"MTHFD1","C-1-tetrahydrofolate synthase, cytoplasmic","C1TC_HUMAN",-0.219949999999994
-0.405275,11.4092875,-11.4665891280182,6.57289949272696e-06,0.000689983722074183,4.47281731976797,"CGNL1_HUMAN",84,14.0003832472763,2.24578507009163e-06,0.00033616075410279,0.405275,"Non-significant",3.47345299069278,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN",-0.405275
-0.507689999999997,9.952505,-13.4296851553359,2.18784540324643e-06,0.000346752046949822,5.63641948286507,"MET17_HUMAN",15,13.8971362230293,2.36143132145547e-06,0.000347044534024083,0.507689999999997,"Up in C",3.45961479137651,"METTL17","Ribosome assembly protein METTL17, mitochondrial","MET17_HUMAN",-0.507689999999997
-0.5504,13.174875,-12.2744782198728,4.09899125449361e-06,0.000509898329013791,4.97489327009184,"CRIP2_HUMAN",10,13.6287036042066,2.69519780126392e-06,0.000389022925493148,0.5504,"Up in C",3.41002480453087,"CRIP2","Cysteine-rich protein 2","CRIP2_HUMAN",-0.5504
0.204975000000003,12.4067375,7.86902649344163,8.38416125732522e-05,0.00292495133984122,1.72021267954259,"MPRI_HUMAN",111,-13.5557080980273,2.79503219573117e-06,0.000396355179615703,-0.204975000000003,"Non-significant",3.40191546202257,"IGF2R","Cation-independent mannose-6-phosphate receptor","MPRI_HUMAN",0.204975000000003
-1.12811,8.3353725,-13.3030787381039,2.33784147659341e-06,0.000358005468169429,5.56690540280068,"PP13G_HUMAN",8,13.4918321060985,2.88585769606806e-06,0.000396793478774058,1.12811,"Up in C",3.40143547400706,"PPP1R3G","Protein phosphatase 1 regulatory subunit 3G","PP13G_HUMAN",-1.12811
0.370949999999999,13.9851,12.5659125144374,3.48115219320412e-06,0.000461268576046203,5.14774105589442,"VIME_HUMAN",46,-13.484633246998,2.89630276477415e-06,0.000396793478774058,-0.370949999999999,"Non-significant",3.40143547400706,"VIM","Vimentin","VIME_HUMAN",0.370949999999999
-0.619637500000003,9.92690625,-14.6467940396611,1.18965573557167e-06,0.000234536275868922,6.27069827866315,"LX15B_HUMAN",22,13.3077954066003,3.16690323541782e-06,0.000422800563602361,0.619637500000003,"Up in C",3.37386444244022,"ALOX15B","Polyunsaturated fatty acid lipoxygenase ALOX15B","LX15B_HUMAN",-0.619637500000003
0.686259999999999,7.315255,12.59199738182,3.43120259646898e-06,0.000461268576046203,5.16300861160118,"P121C_HUMAN",17,-13.2930418343563,3.19075026348435e-06,0.000422800563602361,-0.686259999999999,"Up in BT",3.37386444244022,"POM121C","Nuclear envelope pore membrane protein POM 121C","P121C_HUMAN",0.686259999999999
-0.499000000000001,10.453875,-11.7443556539181,5.5692973511456e-06,0.000614543454108365,4.64938302291432,"NTPCR_HUMAN",12,13.0136421053318,3.68329916473032e-06,0.000480195276588954,0.499000000000001,"Non-significant",3.31858211616871,"NTPCR","Cancer-related nucleoside-triphosphatase","NTPCR_HUMAN",-0.499000000000001
-0.445175000000004,11.2490125,-11.2682976622661,7.41479865306945e-06,0.000730900213570248,4.34412378883564,"MRES1_HUMAN",4,12.9594288668894,3.78859368806371e-06,0.000486082583819349,0.445175000000004,"Non-significant",3.31328993927653,"MTRES1","Mitochondrial transcription rescue factor 1","MRES1_HUMAN",-0.445175000000004
-0.262224999999999,14.5501375,-9.20796952388243,2.9433896179005e-05,0.0015549946589209,2.85913560870674,"AL8A1_HUMAN",26,12.8916948319852,3.92499413337507e-06,0.000495033558388577,0.262224999999999,"Non-significant",3.30536535918971,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN",-0.262224999999999
-0.332599999999998,15.443575,-11.0008771746637,8.75031052196042e-06,0.00077405287285295,4.16694854997557,"PBLD_HUMAN",23,12.8510125196402,4.0096010134308e-06,0.000495033558388577,0.332599999999998,"Non-significant",3.30536535918971,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN",-0.332599999999998
-0.349974999999993,18.2100375,-10.2861856466411,1.38750047393445e-05,0.00102047225166576,3.67186935380095,"LDHA_HUMAN",24,12.7864140346177,4.14824453712567e-06,0.000495033558388577,0.349974999999993,"Non-significant",3.30536535918971,"LDHA","L-lactate dehydrogenase A chain","LDHA_HUMAN",-0.349974999999993
0.637399999999998,11.825125,15.9927941006368,6.39603377695437e-07,0.000152056297115065,6.90762039400964,"ASM3A_HUMAN",18,-12.7624757307787,4.20100042869667e-06,0.000495033558388577,-0.637399999999998,"Up in BT",3.30536535918971,"SMPDL3A","Cyclic GMP-AMP phosphodiesterase SMPDL3A","ASM3A_HUMAN",0.637399999999998
-0.271900000000002,15.1982,-9.7244525604757,2.03445318878029e-05,0.00128106828536725,3.25897376837687,"ECI2_HUMAN",23,12.7485958768007,4.23193858078065e-06,0.000495033558388577,0.271900000000002,"Non-significant",3.30536535918971,"ECI2","Enoyl-CoA delta isomerase 2","ECI2_HUMAN",-0.271900000000002
0.640134999999997,8.835525,12.2469663712947,4.16346526226775e-06,0.000509898329013791,4.95835758142544,"DDX27_HUMAN",28,-12.7313410517807,4.27076152048971e-06,0.000495033558388577,-0.640134999999997,"Up in BT",3.30536535918971,"DDX27","Probable ATP-dependent RNA helicase DDX27","DDX27_HUMAN",0.640134999999997
-0.515099999999999,15.776025,-11.89959043659,5.08461989571522e-06,0.000587128323100945,4.74622927545782,"BAAT_HUMAN",15,12.7241479548964,4.28706533306945e-06,0.000495033558388577,0.515099999999999,"Up in C",3.30536535918971,"BAAT","Bile acid-CoA:amino acid N-acyltransferase","BAAT_HUMAN",-0.515099999999999
-0.446607499999999,9.55175875,-10.9899863118655,8.81020219008677e-06,0.00077405287285295,4.15964296713961,"FIL1L_HUMAN",39,12.6827190008865,4.38235734931655e-06,0.000498909781049657,0.446607499999999,"Non-significant",3.30197798170072,"FILIP1L","Filamin A-interacting protein 1-like","FIL1L_HUMAN",-0.446607499999999
-0.278800000000006,15.9692,-9.97371888834639,1.71267680033355e-05,0.00119341091181863,3.44491059108847,"NAMPT_HUMAN",34,12.645988594878,4.46886090146425e-06,0.000499612726264005,0.278800000000006,"Non-significant",3.30136650769614,"NAMPT","Nicotinamide phosphoribosyltransferase","NAMPT_HUMAN",-0.278800000000006
-0.303824999999996,14.3726125,-10.4103846633951,1.2781094310337e-05,0.000993361397215907,3.76025340303446,"PFKAL_HUMAN",43,12.6179170302885,4.53628232100801e-06,0.000499612726264005,0.303824999999996,"Non-significant",3.30136650769614,"PFKL","ATP-dependent 6-phosphofructokinase, liver type","PFKAL_HUMAN",-0.303824999999996
-0.4245,14.513075,-11.1906682300688,7.77710889573509e-06,0.000745321242554116,4.29312500777226,"GBP1_HUMAN",22,12.5957780865118,4.59027151921438e-06,0.000499612726264005,0.4245,"Non-significant",3.30136650769614,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN",-0.4245
-0.9497,15.2167,-12.5366732413717,3.53812343373309e-06,0.000461268576046203,5.13058798388833,"CP2C8_HUMAN",33,12.5773483182221,4.63577316216756e-06,0.000499612726264005,0.9497,"Up in C",3.30136650769614,"CYP2C8","Cytochrome P450 2C8","CP2C8_HUMAN",-0.9497
-0.356850000000001,15.3943,-10.2577700335357,1.41399099575114e-05,0.00102047225166576,3.65150383135584,"ACON_HUMAN",46,12.5308657014735,4.75283131038008e-06,0.000501022136937742,0.356850000000001,"Non-significant",3.30014308503592,"ACO2","Aconitate hydratase, mitochondrial","ACON_HUMAN",-0.356850000000001
0.754900000000005,12.195425,18.9407589647023,1.92380564960414e-07,6.87174024226927e-05,8.10872018913495,"MA1A1_HUMAN",24,-12.5230585902335,4.77282005990426e-06,0.000501022136937742,-0.754900000000005,"Up in BT",3.30014308503592,"MAN1A1","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA","MA1A1_HUMAN",0.754900000000005
7.7822775,9.08758625,12.671414477714,3.28405382072009e-06,0.000449915373438652,5.209289673306,"Q6VBP1_HBV",1,-12.4530443597539,4.95641646957046e-06,0.000509199657883627,-7.7822775,"Up in BT",3.29311189680806,"S","Large envelope protein","Q6VBP1_HBV",7.7822775
-0.225999999999997,11.32275,-8.19517461677991,6.41349322523466e-05,0.00250436066374743,2.01238962796015,"ACD10_HUMAN",51,12.4454857226308,4.97671322192336e-06,0.000509199657883627,0.225999999999997,"Non-significant",3.29311189680806,"ACAD10","Acyl-CoA dehydrogenase family member 10","ACD10_HUMAN",-0.225999999999997
-0.248349999999999,12.70765,-9.53685679715199,2.32184716000513e-05,0.00139018448846825,3.11607041030058,"OPLA_HUMAN",65,12.4191352160292,5.04821337356275e-06,0.000510058858731347,0.248349999999999,"Non-significant",3.29237970518186,"OPLAH","5-oxoprolinase","OPLA_HUMAN",-0.248349999999999
0.697675000000002,15.4135625,13.774816404345,1.83137714594966e-06,0.000302102478994104,5.82241263973216,"S10A6_HUMAN",4,-12.3493788022368,5.24319981631934e-06,0.000523219556979126,-0.697675000000002,"Up in BT",3.28131603125608,"S100A6","Protein S100-A6","S10A6_HUMAN",0.697675000000002
1.1051225,10.66553875,12.0539407483265,4.64950023273185e-06,0.000544665367843066,4.84125686215541,"TRFL_HUMAN",33,-12.1948530643086,5.70641590158432e-06,0.000562499508933001,-1.1051225,"Up in BT",3.24987785235932,"LTF","Lactotransferrin","TRFL_HUMAN",1.1051225
0.439587499999998,9.98328125,11.4050976339349,6.82182270012041e-06,0.000697758508506435,4.43314823483596,"CDHR2_HUMAN",30,-12.019332968912,6.28998232565097e-06,0.000612553339014901,-0.439587499999998,"Non-significant",3.21285608846342,"CDHR2","Cadherin-related family member 2","CDHR2_HUMAN",0.439587499999998
0.208699999999995,11.207375,7.8628883831574,8.4272753573709e-05,0.00292495133984122,1.7146160856064,"PRG4_HUMAN",49,-11.8990546100046,6.72907520581246e-06,0.000647513272483121,-0.208699999999995,"Non-significant",3.1887513251508,"PRG4","Proteoglycan 4","PRG4_HUMAN",0.208699999999995
-0.421974999999996,11.8305875,-12.7742053679898,3.10409073889116e-06,0.000432592507628573,5.2687445249997,"QKI_HUMAN",14,11.816388191809,7.05106986888565e-06,0.000670515267649444,0.421974999999996,"Non-significant",3.17359132880356,"QKI","KH domain-containing RNA-binding protein QKI","QKI_HUMAN",-0.421974999999996
-0.409925000000001,12.3246125,-10.2653678839997,1.40685235227687e-05,0.00102047225166576,3.6569545167006,"COQ8A_HUMAN",22,11.7598388767665,7.28142437356458e-06,0.000684369223389796,0.409925000000001,"Non-significant",3.16470952924859,"COQ8A","Atypical kinase COQ8A, mitochondrial","COQ8A_HUMAN",-0.409925000000001
-0.654025000000003,12.7958875,-11.201169915582,7.72694402498951e-06,0.000745321242554116,4.30004464665136,"EDF1_HUMAN",12,11.7086706454597,7.49725300353371e-06,0.000696555126753597,0.654025000000003,"Up in C",3.1570445069536,"EDF1","Endothelial differentiation-related factor 1","EDF1_HUMAN",-0.654025000000003
