"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B2_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
2.43506,10.47117,53.7823840235533,7.1269609599847e-11,2.88036127197782e-08,15.9673385049506,"SYUG_HUMAN",9,56.9185728729514,8.01154228895885e-11,3.59762757342524e-08,2.43506,"Up in BD",7.44398379684868,"SNCG","Gamma-synuclein","SYUG_HUMAN"
1.2351,11.9439,43.739784699503,3.27888153200795e-10,8.83439980774009e-08,14.4442396548225,"5NTD_HUMAN",22,56.1881837038002,8.79063267176432e-11,3.73972020451953e-08,1.2351,"Up in BD",7.42716088929117,"NT5E","5'-nucleotidase","5NTD_HUMAN"
4.8035275,12.40748625,52.4884676948837,8.5317424879359e-11,3.28390831095171e-08,15.7918647240301,"OAS2_HUMAN",31,52.7719992640801,1.37954153643638e-10,5.57541711950761e-08,4.8035275,"Up in BD",7.2537226357374,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN"
0.977950000000003,16.370925,37.4771907281719,1.02486737426709e-09,1.76255382685125e-07,13.2638904527164,"AMPL_HUMAN",38,51.8515433364291,1.56540767968546e-10,6.02532870233218e-08,0.977950000000003,"Up in BD",7.22001925585432,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN"
1.011675,11.0459875,36.9103481361961,1.14669340225037e-09,1.89157607558974e-07,13.1459450840427,"PAR14_HUMAN",91,50.8849353442812,1.79195224387395e-10,6.2912533730712e-08,1.011675,"Up in BD",7.20126282374667,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
3.7924325,10.56393375,77.4792251504135,4.79488945462481e-12,3.32025015471337e-09,18.4288679486366,"CMPK2_HUMAN",26,50.6863890214116,1.8429807285897e-10,6.2912533730712e-08,3.7924325,"Up in BD",7.20126282374667,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN"
1.9784,12.165225,46.3495116396883,2.13776117332977e-10,6.64597060154788e-08,14.8785234425965,"5NT3A_HUMAN",23,50.5913323772819,1.86799555800704e-10,6.2912533730712e-08,1.9784,"Up in BD",7.20126282374667,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
2.17025,11.71355,72.8845380665413,7.53616281433665e-12,4.35105743059165e-09,18.0420299222362,"TAP1_HUMAN",24,50.2593532354378,1.95844067786319e-10,6.33203039966728e-08,2.17025,"Up in BD",7.19845700878504,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
2.247475,12.1637875,45.8787644901678,2.30508572080263e-10,6.65428852901702e-08,14.8023974176953,"SAMH1_HUMAN",38,49.91629076343,2.05718256917664e-10,6.39546411794415e-08,2.247475,"Up in BD",7.19412793335137,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
-0.958895,10.3538275,-34.3547715308958,1.94534629919074e-09,2.80789895292121e-07,12.5875288661226,"SYNE2_HUMAN",160,-48.6560351343026,2.47185158685529e-10,7.39999125057456e-08,-0.958895,"Up in B2",7.13076879375949,"SYNE2","Nesprin-2","SYNE2_HUMAN"
1.519015,10.7662675,40.0882963041509,6.23759509263487e-10,1.40867497984613e-07,13.7820166229019,"PAR10_HUMAN",43,46.3493080018072,3.50319509449212e-10,9.92957643073486e-08,1.519015,"Up in BD",7.00306927695457,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
2.2453,11.480925,60.6323923094654,2.93864944371519e-11,1.39724137962058e-08,16.8128723327937,"DDX60_HUMAN",75,46.1886445314652,3.59161477469063e-10,9.92957643073486e-08,2.2453,"Up in BD",7.00306927695457,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
2.714875,13.1927375,47.9337620588279,1.6679923400794e-10,5.61765920202574e-08,15.1279672283019,"HLAB_HUMAN",2,45.8325938832405,3.79676974648486e-10,9.92957643073486e-08,2.714875,"Up in BD",7.00306927695457,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN"
1.412025,12.5305875,38.6983625757206,8.09127680412892e-10,1.52033933217084e-07,13.5112102596805,"AMPE_HUMAN",38,45.813403028338,3.80820078377806e-10,9.92957643073486e-08,1.412025,"Up in BD",7.00306927695457,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN"
1.70167500000001,12.3223625,42.8357116664449,3.82523078795053e-10,9.97398079322715e-08,14.2865128535203,"NUB1_HUMAN",27,44.7081772953666,4.53776104751631e-10,1.14621007959607e-07,1.70167500000001,"Up in BD",6.94073577674225,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
1.153775,10.8471875,36.004519103461,1.37708227350345e-09,2.18254039543693e-07,12.9531350500922,"ALAT2_HUMAN",21,44.2851462238311,4.85817947274662e-10,1.17752096568133e-07,1.153775,"Up in BD",6.92903135154629,"GPT2","Alanine aminotransferase 2","ALAT2_HUMAN"
1.393475,12.6363125,38.3348292408223,8.67432825880123e-10,1.52423033295414e-07,13.4385298368792,"SP100_HUMAN",21,44.1659310530691,4.95307594125511e-10,1.17752096568133e-07,1.393475,"Up in BD",6.92903135154629,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN"
2.121975,12.3791875,40.9005509272875,5.37981403829579e-10,1.2789716726925e-07,13.9352818293305,"BST2_HUMAN",7,43.793037148748,5.26380843118597e-10,1.21342937961202e-07,2.121975,"Up in BD",6.91598549410524,"BST2","Bone marrow stromal antigen 2","BST2_HUMAN"
-0.55612,10.141165,-23.3726230310704,3.29110036247357e-08,2.16211346700001e-06,9.52688532975221,"DLP1_HUMAN",22,-43.5688098565062,5.46132148527858e-10,1.21342937961202e-07,-0.55612,"Up in B2",6.91598549410524,"PDSS2","All trans-polyprenyl-diphosphate synthase PDSS2","DLP1_HUMAN"
-0.973374999999997,14.7110375,-32.5961590898156,2.8641202390096e-09,3.79519408064173e-07,12.1755955345037,"ACOHC_HUMAN",48,-43.4662301715119,5.55448311835268e-10,1.21342937961202e-07,-0.973374999999997,"Up in B2",6.91598549410524,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
1.742725,11.8593375,40.0537709721012,6.27735496368754e-10,1.40867497984613e-07,13.7754221783834,"E2AK2_HUMAN",23,41.7945427373068,7.35944854064244e-10,1.56543217247402e-07,1.742725,"Up in BD",6.80536574488412,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
2.65193,9.947135,39.9081725869617,6.44822148389297e-10,1.40867497984613e-07,13.7475397238418,"IRF9_HUMAN",16,41.2990797137377,8.01673376338405e-10,1.66151946178034e-07,2.65193,"Up in BD",6.7794945673589,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
2.3665,11.55345,39.4213426077986,7.05905463441086e-10,1.50153522657745e-07,13.6534479002629,"NAT8_HUMAN",11,40.3048436410913,9.54780331594474e-10,1.91428651977296e-07,2.3665,"Up in BD",6.71799305890839,"NAT8","N-acetyltransferase 8","NAT8_HUMAN"
-1.048875,13.1907375,-32.2935742428699,3.06758482517585e-09,3.98534196542318e-07,12.1022452211864,"GNMT_HUMAN",15,-40.2102970339755,9.70997739832878e-10,1.91428651977296e-07,-1.048875,"Up in B2",6.71799305890839,"GNMT","Glycine N-methyltransferase","GNMT_HUMAN"
1.665075,15.5506125,37.2504182958733,1.07175197895922e-09,1.80478567623486e-07,13.2169500180199,"HLAC_HUMAN",7,39.9569680596226,1.0160190808735e-09,1.95535291207156e-07,1.665075,"Up in BD",6.70877484750946,"HLA-C","HLA class I histocompatibility antigen, C alpha chain","HLAC_HUMAN"
2.464905,9.7222475,38.5800523478762,8.27600279791131e-10,1.52033933217084e-07,13.4876430908717,"TREX1_HUMAN",15,39.7751919545991,1.04978966193153e-09,1.97252992545284e-07,2.464905,"Up in BD",6.70497639934265,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
1.98357,8.2747475,38.4404723587464,8.50012021349034e-10,1.52423033295414e-07,13.4597320922197,"KCRB_HUMAN",12,39.6502053290561,1.07375128937183e-09,1.97252992545284e-07,1.98357,"Up in BD",6.70497639934265,"CKB","Creatine kinase B-type","KCRB_HUMAN"
-0.680575000000001,11.4032125,-27.1098519824789,1.10982877580377e-08,9.75081086393684e-07,10.7150410814871,"DDC_HUMAN",22,-39.0605877186985,1.19552443643393e-09,2.14742755993233e-07,-0.680575000000001,"Up in B2",6.66808147748614,"DDC","Aromatic-L-amino-acid decarboxylase","DDC_HUMAN"
-0.693975000000004,13.9750375,-26.6941912896418,1.24307256333643e-08,1.06891016270727e-06,10.5916949545717,"PGDH_HUMAN",12,-38.9323618487008,1.22404400224119e-09,2.15085818915555e-07,-0.693975000000004,"Up in B2",6.66738822266576,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","PGDH_HUMAN"
2.277985,10.2451325,51.1965367951221,1.02562256109628e-10,3.76823052788239e-08,15.6110965692122,"HELZ2_HUMAN",117,38.6117443211567,1.29880732879471e-09,2.23367226354205e-07,2.277985,"Up in BD",6.65098054857794,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
5.1532925,9.21440375,38.7454651850304,8.01903758901282e-10,1.52033933217084e-07,13.5205699767201,"OASL_HUMAN",28,38.3435748918457,1.36534946022113e-09,2.25993783399981e-07,5.1532925,"Up in BD",6.64590350718984,"OASL","2'-5'-oligoadenylate synthase-like protein","OASL_HUMAN"
1.08695,15.0086,45.197315730037,2.57430314961728e-10,7.17520426150222e-08,14.6905089969398,"APOL2_HUMAN",21,38.325398774361,1.36999819208203e-09,2.25993783399981e-07,1.08695,"Up in BD",6.64590350718984,"APOL2","Apolipoprotein L2","APOL2_HUMAN"
1.6105125,10.18054375,38.5886018348675,8.26249466985139e-10,1.52033933217084e-07,13.4893489131703,"KPCD2_HUMAN",30,38.1188401084148,1.42411334829863e-09,2.30222163885957e-07,1.6105125,"Up in BD",6.63785286841251,"PRKD2","Serine/threonine-protein kinase D2","KPCD2_HUMAN"
-1.224825,11.4502875,-36.3012541602492,1.29627397260083e-09,2.0955565041065e-07,13.0168950801078,"FADS1_HUMAN",17,-37.981632343717,1.46140434313766e-09,2.3161826089376e-07,-1.224825,"Up in B2",6.63522720361144,"FADS1","Acyl-CoA (8-3)-desaturase","FADS1_HUMAN"
2.10932,9.11314,39.0146947281799,7.61991187015865e-10,1.52033933217084e-07,13.5738183407947,"SAMD9_HUMAN",42,37.1964099014249,1.69745336418791e-09,2.59194803647676e-07,2.10932,"Up in BD",6.58637370947491,"SAMD9","Sterile alpha motif domain-containing protein 9","SAMD9_HUMAN"
1.244425,13.6339625,32.1697517156449,3.15553489777414e-09,3.98534196542318e-07,12.0720108683486,"LG3BP_HUMAN",20,37.1900558982723,1.69953292011961e-09,2.59194803647676e-07,1.244425,"Up in BD",6.58637370947491,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-0.722974999999998,16.7039625,-28.713545716355,7.2775798722351e-09,7.17374123259467e-07,11.1727623172326,"AL1L1_HUMAN",79,-36.4618509680776,1.95827150944945e-09,2.93124233534814e-07,-0.722974999999998,"Up in B2",6.53294827553841,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
1.53175,9.56305,34.9696559692124,1.70709995188306e-09,2.55527572427237e-07,12.7260516569306,"ZNFX1_HUMAN",61,36.114611119468,2.09724610042825e-09,3.08218913268392e-07,1.53175,"Up in BD",6.51114071514363,"ZNFX1","NFX1-type zinc finger-containing protein 1","ZNFX1_HUMAN"
1.78065,16.722875,45.9927225813373,2.2632567548582e-10,6.65428852901702e-08,14.8209124682052,"HLAA_HUMAN",17,35.6535797162759,2.29945454583754e-09,3.31901626678657e-07,1.78065,"Up in BD",6.47899061907126,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
-0.972699999999998,16.040625,-33.2291409047821,2.48607920018696e-09,3.34916302918519e-07,12.3266396198005,"ALDOC_HUMAN",31,-35.5094894218846,2.36713884520811e-09,3.33204447662692e-07,-0.972699999999998,"Up in B2",6.477289210199,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
-0.972175000000002,12.2932625,-29.2927838301386,6.28432053213741e-09,6.46620824218731e-07,11.3313930290321,"PROS_HUMAN",30,-35.4599594290045,2.39092638431723e-09,3.33204447662692e-07,-0.972175000000002,"Up in B2",6.477289210199,"PROS1","Vitamin K-dependent protein S","PROS_HUMAN"
2.5812625,6.94661875,34.4629721356745,1.90081718647803e-09,2.79351005787307e-07,12.6121043839324,"IRF7_HUMAN",9,35.1515464249019,2.54531603549433e-09,3.38378649905512e-07,2.5812625,"Up in BD",6.47059704669902,"IRF7","Interferon regulatory factor 7","IRF7_HUMAN"
-0.960399999999996,13.21885,-29.463279207079,6.02193975549652e-09,6.40464987416821e-07,11.3774425859691,"BUP1_HUMAN",23,-35.1111427524467,2.56637025860479e-09,3.38378649905512e-07,-0.960399999999996,"Up in B2",6.47059704669902,"UPB1","Beta-ureidopropionase","BUP1_HUMAN"
-1.056975,13.9567875,-29.9339291983218,5.35981351012408e-09,6.01713508365736e-07,11.503084059909,"AL8A1_HUMAN",26,-35.0550823548113,2.59591229099763e-09,3.38378649905512e-07,-1.056975,"Up in B2",6.47059704669902,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN"
-0.744949999999999,15.014325,-29.4068646121042,6.10735755693437e-09,6.41113910814292e-07,11.3622372842073,"PBLD_HUMAN",23,-35.0513728146823,2.59788071218742e-09,3.38378649905512e-07,-0.744949999999999,"Up in B2",6.47059704669902,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN"
1.230925,14.7393125,30.9267346091113,4.21660179127377e-09,5.01217533512733e-07,11.7612401653,"TPSN_HUMAN",9,34.9776244647343,2.6373691629404e-09,3.38378649905512e-07,1.230925,"Up in BD",6.47059704669902,"TAPBP","Tapasin","TPSN_HUMAN"
-2.8307625,9.34704375,-35.6645720882797,1.47676756969461e-09,2.25220986147953e-07,12.8793576199412,"NUA4L_HUMAN",5,-34.6122220057236,2.84338612334326e-09,3.59110781796619e-07,-2.8307625,"Up in B2",6.44477155559661,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
3.778325,14.6001375,34.0741506738874,2.06645308133357e-09,2.83104072142699e-07,12.5233875087665,"OAS3_HUMAN",45,34.0558437663633,3.19325804755598e-09,3.97093919975308e-07,3.778325,"Up in BD",6.40110676249892,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN"
-1.146225,11.5504625,-29.2703421880472,6.31981258360507e-09,6.46620824218731e-07,11.325310202521,"HRG_HUMAN",21,-33.8856943336237,3.30985746400637e-09,4.0535724062975e-07,-1.146225,"Up in B2",6.39216206506076,"HRG","Histidine-rich glycoprotein","HRG_HUMAN"
1.3565,12.726275,31.9866161561491,3.29090835564349e-09,4.09237111364098e-07,12.0270586379528,"SP14L_HUMAN",9,33.766519246858,3.39441205939119e-09,4.0950795038894e-07,1.3565,"Up in BD",6.38773766221485,"SP140L","Nuclear body protein SP140-like protein","SP14L_HUMAN"
1.2721125,10.28986875,30.8540546592285,4.2901958237491e-09,5.02574678889333e-07,11.7426489286376,"FMOD_HUMAN",7,33.5090541861994,3.58561253034195e-09,4.26213324746382e-07,1.2721125,"Up in BD",6.37037297702124,"FMOD","Fibromodulin","FMOD_HUMAN"
1.21745,10.815525,30.0360324967043,5.22731686183385e-09,6.01713508365736e-07,11.53005894132,"MTAP2_HUMAN",13,33.359780216607,3.70206836895135e-09,4.29265548559261e-07,1.21745,"Up in BD",6.36727396516835,"MAP2","Microtubule-associated protein 2","MTAP2_HUMAN"
1.088975,15.0545875,29.9384847526477,5.3538213442705e-09,6.01713508365736e-07,11.50428972211,"GBP1_HUMAN",22,33.3403959140996,3.7175044413149e-09,4.29265548559261e-07,1.088975,"Up in BD",6.36727396516835,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN"
0.729699999999998,13.18405,26.3070758188299,1.38368449656804e-08,1.16503351934994e-06,10.4749773050051,"SYWC_HUMAN",27,33.1618338141643,3.86319464709664e-09,4.39805666654678e-07,0.729699999999998,"Up in BD",6.35673917929309,"WARS1","Tryptophan--tRNA ligase, cytoplasmic","SYWC_HUMAN"
-0.880799999999999,13.542075,-26.1980736634691,1.42647129187939e-08,1.17148706135056e-06,10.4417849813271,"HDAC6_HUMAN",26,-33.0068649640212,3.99491879097728e-09,4.48485119270408e-07,-0.880799999999999,"Up in B2",6.34825196226529,"HDAC6","Histone deacetylase 6","HDAC6_HUMAN"
-0.946824999999999,11.6417875,-28.2084735450469,8.29081005126120e-09,7.70282961429244e-07,11.0316142041044,"PIN4_HUMAN",6,-32.8551739160716,4.12882916216437e-09,4.57168850928419e-07,-0.946824999999999,"Up in B2",6.33992336780159,"PIN4","Peptidyl-prolyl cis-trans isomerase NIMA-interacting 4","PIN4_HUMAN"
1.20764999999999,10.66235,34.1869530209875,2.0167716974189e-09,2.83104072142699e-07,12.5492411549588,"TNR5_HUMAN",6,32.6523726173242,4.31591462835222e-09,4.714261883915e-07,1.20764999999999,"Up in BD",6.32658629546887,"CD40","Tumor necrosis factor receptor superfamily member 5","TNR5_HUMAN"
-0.739525000000006,16.0006875,-26.8253615538252,1.19915909170181e-08,1.04223687507804e-06,10.6308378942245,"FAS_HUMAN",149,-32.3441682637082,4.61900984171144e-09,4.97806087340714e-07,-0.739525000000006,"Up in B2",6.30293979699557,"FASN","Fatty acid synthase","FAS_HUMAN"
-0.845874999999999,10.7704125,-25.8801799772189,1.5600758650425e-08,1.22474229034616e-06,10.3441449781145,"ACD10_HUMAN",51,-32.1483314180422,4.82417263196072e-09,5.13076149791297e-07,-0.845874999999999,"Up in B2",6.28981817293918,"ACAD10","Acyl-CoA dehydrogenase family member 10","ACD10_HUMAN"
0.819324999999997,13.8886125,25.8447725710454,1.575815887616e-08,1.22474229034616e-06,10.3331916042879,"EHD4_HUMAN",31,31.983079169752,5.00538775132606e-09,5.25435703817773e-07,0.819324999999997,"Up in BD",6.27948041985561,"EHD4","EH domain-containing protein 4","EHD4_HUMAN"
-1.1454,11.060325,-29.4733667695572,6.00680930372126e-09,6.40464987416821e-07,11.3801581554078,"IYD1_HUMAN",13,-31.8362572995114,5.17291325443726e-09,5.36059715841235e-07,-1.1454,"Up in B2",6.27078682818826,"IYD","Iodotyrosine deiodinase 1","IYD1_HUMAN"
-1.182625,12.7502125,-28.4842602003508,7.71904454407621e-09,7.25500430811256e-07,11.1090182788972,"FADS2_HUMAN",14,-31.5016482250214,5.57909945937202e-09,5.70833682659545e-07,-1.182625,"Up in B2",6.24349040878516,"FADS2","Acyl-CoA 6-desaturase","FADS2_HUMAN"
-0.602527500000001,9.56113125,-22.3975454657523,4.49445015301888e-08,2.7314767358535e-06,9.18421681026051,"BCAM_HUMAN",25,-31.0846863172691,6.13702471177762e-09,6.20069634316232e-07,-0.602527500000001,"Up in B2",6.20755953614507,"BCAM","Basal cell adhesion molecule","BCAM_HUMAN"
-0.70345,11.815875,-23.9603190414092,2.74415620704593e-08,1.87974700182646e-06,9.72635398440585,"AS3MT_HUMAN",25,-30.7597843828757,6.61597765064938e-09,6.60209226545666e-07,-0.70345,"Up in B2",6.18031841061784,"AS3MT","Arsenite methyltransferase","AS3MT_HUMAN"
-0.572224999999996,12.3479875,-21.0506321176777,7.06925746428754e-08,3.75926368972606e-06,8.68481220867474,"CSDE1_HUMAN",47,-30.6472691076707,6.79165224011367e-09,6.69474695815107e-07,-0.572224999999996,"Up in B2",6.17426583340261,"CSDE1","Cold shock domain-containing protein E1","CSDE1_HUMAN"
-0.650300000000001,14.956125,-21.8716378876134,5.34653544805271e-08,3.04338352300071e-06,8.99297313657758,"KPYR_HUMAN",45,-30.1283664750714,7.67368099443904e-09,7.473055840729e-07,-0.650300000000001,"Up in B2",6.12650177256387,"PKLR","Pyruvate kinase PKLR","KPYR_HUMAN"
1.277175,13.7850125,27.1485277371969,1.09827751401835e-08,9.75081086393684e-07,10.7264158645387,"PSB9_HUMAN",15,29.7379912544304,8.42353538991687e-09,8.10564720913072e-07,1.277175,"Up in BD",6.09121230245246,"PSMB9","Proteasome subunit beta type-9","PSB9_HUMAN"
1.464615,9.4596175,28.0976485701438,8.53398536072818e-09,7.83865950804158e-07,11.0002810488273,"TMM62_HUMAN",13,29.3665910005089,9.21523076547199e-09,8.7631423855659e-07,1.464615,"Up in BD",6.05734013173219,"TMEM62","Transmembrane protein 62","TMM62_HUMAN"
4.750315,7.8081425,29.4764612575082,6.00217648971135e-09,6.40464987416821e-07,11.3809909899169,"LEG9_HUMAN",7,29.1609016389186,9.68994876045798e-09,9.10742509660254e-07,4.750315,"Up in BD",6.04060439189675,"LGALS9","Galectin-9","LEG9_HUMAN"
-0.361500000000003,15.533475,-15.3120917912366,7.11368762512169e-07,1.94256544168441e-05,6.12026394938782,"CRYL1_HUMAN",21,-28.9128453883795,1.02998918715392e-08,9.56942827559215e-07,-0.361500000000003,"Non-significant",6.01911400832269,"CRYL1","Lambda-crystallin homolog","CRYL1_HUMAN"
0.870975000000001,11.7341625,24.2188491840119,2.53678421545034e-08,1.78302841856392e-06,9.8124983424804,"DSRAD_HUMAN",59,28.7341229252126,1.07664605879323e-08,9.88923874230193e-07,0.870975000000001,"Up in BD",6.00483713840708,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
-0.808850000000001,13.321,-25.8954238846672,1.55335427908502e-08,1.22474229034616e-06,10.3488558647189,"A1CF_HUMAN",34,-28.6850533080693,1.08987362424356e-08,9.89825674692209e-07,-0.808850000000001,"Up in B2",6.00444128538793,"A1CF","APOBEC1 complementation factor","A1CF_HUMAN"
1.6152175,8.94269625,28.9287801773192,6.88906098004388e-09,6.96053498771183e-07,11.2321049608719,"ASNS_HUMAN",22,28.5540359596748,1.12610708679187e-08,9.91442764185407e-07,1.6152175,"Up in BD",6.00373235247828,"ASNS","Asparagine synthetase [glutamine-hydrolyzing]","ASNS_HUMAN"
1.96675,7.069,28.5588135174068,7.57225172984172e-09,7.25500430811256e-07,11.1298051384724,"DDX6L_HUMAN",25,28.5464205168536,1.12825495920177e-08,9.91442764185407e-07,1.96675,"Up in BD",6.00373235247828,"DDX60L","Probable ATP-dependent RNA helicase DDX60-like","DDX6L_HUMAN"
