"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","B1_vs_D","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names","D_vs_B1"
-0.950200000000001,11.956275,-23.8329066704863,2.589649933926e-08,7.91091890342802e-06,10.0784511012666,"NUB1_HUMAN",27,27.2045998925718,4.31514567365896e-09,1.49871378773165e-06,0.950200000000001,"Up in D",5.8242812972898,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN",-0.950200000000001
-1.2027075,10.03109625,-23.6471715778822,2.74343487312198e-08,7.91091890342802e-06,10.0197827290342,"TDRD7_HUMAN",52,27.1468096965411,4.38754951275428e-09,1.49871378773165e-06,1.2027075,"Up in D",5.8242812972898,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN",-1.2027075
-0.970650000000003,12.006575,-23.6872829690293,2.70936705016239e-08,7.91091890342802e-06,10.0324984900652,"RO52_HUMAN",27,26.8735927190109,4.74889929348611e-09,1.55725905631997e-06,0.970650000000003,"Up in D",5.80763913478463,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN",-0.970650000000003
-1.6758875,9.29630625,-26.2389680505286,1.27321895298122e-08,4.74447680751819e-06,10.7926142637359,"TREX1_HUMAN",15,26.5359168090063,5.24263285166828e-09,1.65304246607602e-06,1.6758875,"Up in D",5.78171598941368,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN",-1.6758875
-1.291075,11.7998625,-23.5739782664471,2.80685798115528e-08,7.91091890342802e-06,9.99651427419836,"TAP2_HUMAN",22,25.0651771157723,8.18679306269533e-09,2.48575294548061e-06,1.291075,"Up in D",5.60454203729784,"TAP2","Antigen peptide transporter 2","TAP2_HUMAN",-1.291075
-1.401075,11.6905125,-23.4753712100307,2.89494470728032e-08,7.91091890342802e-06,9.96503245375903,"E2AK2_HUMAN",23,24.9207468752513,8.56481470775174e-09,2.50765539193388e-06,1.401075,"Up in D",5.60073214553848,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN",-1.401075
-5.77568,8.21716,-24.4913405532197,2.11805480723798e-08,6.9455253238948e-06,10.2821678825218,"SHDAG_HDVD3;LHDAG_HDVD3",6,24.4959688803338,9.79546707946059e-09,2.76907721094545e-06,5.77568,"Up in D",5.55766493453249,"","Small delta antigen;Large delta antigen","SHDAG_HDVD3;LHDAG_HDVD3",-5.77568
-0.847475000000001,14.7784125,-22.1358681912929,4.46266065850339e-08,1.04528263081174e-05,9.52149129260111,"APOL2_HUMAN",21,24.1595112806363,1.09122482228964e-08,2.98195369771015e-06,0.847475000000001,"Up in D",5.52549910433879,"APOL2","Apolipoprotein L2","APOL2_HUMAN",-0.847475000000001
6.7645125,9.08281875,25.4998530635575,1.57242334048221e-08,5.37113606053046e-06,10.5818829028288,"Q6VBP1_HBV",1,-23.8974304937991,1.18817884541048e-08,3.0868581540511e-06,-6.7645125,"Up in B1",5.51048332656852,"S","Large envelope protein","Q6VBP1_HBV",6.7645125
2.343575,11.8384375,22.6355592251423,3.78629718407129e-08,9.70002009844263e-06,9.69049762374199,"TSP1_HUMAN",50,-23.8546145959639,1.20492145559448e-08,3.0868581540511e-06,-2.343575,"Up in B1",5.51048332656852,"THBS1","Thrombospondin-1","TSP1_HUMAN",2.343575
-1.06943,10.53601,-21.8515825553568,4.90802007194589e-08,1.08745806891385e-05,9.42337229070455,"IFIT5_HUMAN",24,23.6982889824603,1.26834367561756e-08,3.15087316748872e-06,1.06943,"Up in D",5.50156907818696,"IFIT5","Interferon-induced protein with tetratricopeptide repeats 5","IFIT5_HUMAN",-1.06943
-0.80391,10.084495,-20.6062295728617,7.55548641891057e-08,1.49753313734514e-05,8.97575416865672,"TLR3_HUMAN",25,23.2934445926596,1.45079064488113e-08,3.42968811574544e-06,0.80391,"Up in D",5.46474537143514,"TLR3","Toll-like receptor 3","TLR3_HUMAN",-0.80391
2.2681825,8.72570125,23.2095023472408,3.14846928172508e-08,8.32617779728459e-06,9.87937315571075,"AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",12,-23.265879564872,1.46424840267249e-08,3.42968811574544e-06,-2.2681825,"Up in B1",5.46474537143514,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN;AMY1C_HUMAN;AMY1A_HUMAN",2.2681825
-5.9337225,8.30131375,-22.2407336528976,4.31007683829966e-08,1.03923558589355e-05,9.55732068829487,"IFI44_HUMAN",27,22.934257920195,1.63765851769861e-08,3.72931236891478e-06,5.9337225,"Up in D",5.42837123841011,"IFI44","Interferon-induced protein 44","IFI44_HUMAN",-5.9337225
-3.172125,11.8309375,-21.9103320323325,4.81200589002787e-08,1.08745806891385e-05,9.4437685201318,"OAS1_HUMAN",20,22.6176310371097,1.82505845552714e-08,4.0437376265977e-06,3.172125,"Up in D",5.3932170308796,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN",-3.172125
-1.056855,10.4830975,-19.8716227223692,9.86274518066223e-08,1.83760874979702e-05,8.69721684417771,"PAR10_HUMAN",43,22.3480377017824,2.00377263569737e-08,4.32287580722291e-06,1.056855,"Up in D",5.36422724122151,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN",-1.056855
-1.127525,16.3749625,-20.56328255612,7.67216293833813e-08,1.49753313734514e-05,8.95977735598128,"HLAA_HUMAN",17,21.1547372727642,3.07139347491693e-08,6.45622659163308e-06,1.127525,"Up in D",5.19002123575671,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN",-1.127525
-3.09113,7.040225,-20.7877841617838,7.0839443147802e-08,1.48908142288636e-05,9.04288440071381,"LEG9_HUMAN",7,20.3104592795944,4.215028298331e-08,8.63870049742939e-06,3.09113,"Up in D",5.06355158266483,"LGALS9","Galectin-9","LEG9_HUMAN",-3.09113
0.551575000000001,11.7214625,16.1710101003222,4.44685363895733e-07,6.3811716233444e-05,7.09869843893024,"A0AAG2UXZ5_HUMAN;COIA1_HUMAN",30,-19.7971409871713,5.14167808810361e-08,1.02808480405545e-05,-0.551575000000001,"Up in B1",4.98797106003502,"COL18A1","Collagen type XVIII alpha 1 chain;Collagen alpha-1(XVIII) chain","A0AAG2UXZ5_HUMAN;COIA1_HUMAN",0.551575000000001
2.500295,10.3298275,18.4270534699301,1.71461395589746e-07,3.12364560232163e-05,8.11473518179128,"TSP4_HUMAN",21,-19.0462700005645,6.93932278036663e-08,1.26901806854996e-05,-2.500295,"Up in B1",4.8965321942838,"THBS4","Thrombospondin-4","TSP4_HUMAN",2.500295
-1.233075,11.2155625,-17.9855193240734,2.04739081374965e-07,3.55086509708338e-05,7.92672575276806,"TAP1_HUMAN",24,18.9964127977728,7.08169384376096e-08,1.26901806854996e-05,1.233075,"Up in D",4.8965321942838,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN",-1.233075
-1.008875,11.0447375,-16.8003619331741,3.36746634187106e-07,5.11231279086277e-05,7.39655867970965,"PAR14_HUMAN",91,18.9539632189907,7.20550312667067e-08,1.26901806854996e-05,1.008875,"Up in D",4.8965321942838,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN",-1.008875
0.393649999999999,12.5668,11.7253350634474,4.5062453757679e-06,0.000376961220311686,4.58360512652636,"LRP1_HUMAN",189,-18.9465161973741,7.22747317478514e-08,1.26901806854996e-05,-0.393649999999999,"Non-significant",4.8965321942838,"LRP1","Prolow-density lipoprotein receptor-related protein 1","LRP1_HUMAN",0.393649999999999
-2.173695,10.1597275,-17.9477892541338,2.07906226713835e-07,3.55086509708338e-05,7.91042972046769,"HELZ2_HUMAN",117,18.8815780555931,7.42227622876768e-08,1.26901806854996e-05,2.173695,"Up in D",4.8965321942838,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN",-2.173695
-0.65945,16.18725,-15.8885176592881,5.05490582983157e-07,6.90668633215987e-05,6.96103688066187,"AMPL_HUMAN",38,18.8298397624913,7.58171098687861e-08,1.26901806854996e-05,0.65945,"Up in D",4.8965321942838,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN",-0.65945
-2.4261775,10.51386125,-21.172827369531,6.19007101057825e-08,1.33542637222949e-05,9.18309731160175,"NUA4L_HUMAN",5,18.825388493678,7.59560671541804e-08,1.26901806854996e-05,2.4261775,"Up in D",4.8965321942838,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN",-2.4261775
-0.752699999999997,13.1191,-16.7223315377675,3.48367898471393e-07,5.19258187576087e-05,7.36027072474909,"HOIL1_HUMAN",29,18.7967636588129,7.68565314398778e-08,1.26901806854996e-05,0.752699999999997,"Up in D",4.8965321942838,"RBCK1","RanBP-type and C3HC4-type zinc finger-containing protein 1","HOIL1_HUMAN",-0.752699999999997
-1.099375,10.3205375,-17.2058188787579,2.8299260223385e-07,4.46148721752519e-05,7.58229391674203,"CMTR1_HUMAN",42,18.7797309564652,7.73980280891654e-08,1.26901806854996e-05,1.099375,"Up in D",4.8965321942838,"CMTR1","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1","CMTR1_HUMAN",-1.099375
-0.972225000000002,12.3666125,-17.3779179355274,2.63165908171715e-07,4.31486823038343e-05,7.65973177745867,"SP100_HUMAN",21,18.3663178729388,9.19524460391245e-08,1.47809049535048e-05,0.972225000000002,"Up in D",4.830298975665,"SP100","Nuclear autoantigen Sp-100","SP100_HUMAN",-0.972225000000002
-0.660800000000002,11.63325,-15.722875559876,5.4549198613203e-07,7.33105459395145e-05,6.87913022610163,"OGFR_HUMAN",31,18.0927635862856,1.03269905261148e-07,1.62808977563633e-05,0.660800000000002,"Up in D",4.78832165105094,"OGFR","Opioid growth factor receptor","OGFR_HUMAN",-0.660800000000002
-3.0025775,10.14166125,-17.4208878558537,2.58463935376746e-07,4.31486823038343e-05,7.67893926694564,"CMPK2_HUMAN",26,18.0116711216387,1.06919722258157e-07,1.65382619447618e-05,3.0025775,"Up in D",4.78151013368682,"CMPK2","UMP-CMP kinase 2, mitochondrial","CMPK2_HUMAN",-3.0025775
0.560049999999991,15.747275,15.2017933280437,6.96678999009639e-07,9.06567370457305e-05,6.61553087495781,"APOE_HUMAN",29,-17.9641748366476,1.09124645720991e-07,1.65667378818644e-05,-0.560049999999991,"Up in B1",4.78076299908688,"APOE","Apolipoprotein E","APOE_HUMAN",0.560049999999991
-4.2023025,12.03397375,-17.2193821838963,2.81370150451007e-07,4.46148721752519e-05,7.58842669866983,"OAS2_HUMAN",31,17.7720262627287,1.18581556717721e-07,1.76751200358523e-05,4.2023025,"Up in D",4.75263762812618,"OAS2","2'-5'-oligoadenylate synthase 2","OAS2_HUMAN",-4.2023025
-1.650075,12.0614875,-20.0745166881167,9.15427169647194e-08,1.74527254343435e-05,8.77527910647701,"BST2_HUMAN",7,17.7295174490851,1.20796027798779e-07,1.76836756409713e-05,1.650075,"Up in D",4.75242745964652,"BST2","Bone marrow stromal antigen 2","BST2_HUMAN",-1.650075
-1.4561,11.088625,-18.0761809548834,1.97349458428896e-07,3.51711056565237e-05,7.96573360776975,"NAT8_HUMAN",11,17.657210715169,1.24670387299284e-07,1.7815211473679e-05,1.4561,"Up in D",4.74920901803333,"NAT8","N-acetyltransferase 8","NAT8_HUMAN",-1.4561
-0.973350000000003,14.932425,-16.6185332310806,3.64536332273926e-07,5.3365515213958e-05,7.31172209310829,"GBP1_HUMAN",22,17.5951435777138,1.28107694859132e-07,1.7815211473679e-05,0.973350000000003,"Up in D",4.74920901803333,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN",-0.973350000000003
-2.2298225,9.83431375,-17.1303627733661,2.92214195283872e-07,4.5199471187494e-05,7.54808173727327,"IRF9_HUMAN",16,17.5932559090693,1.28213890820573e-07,1.7815211473679e-05,2.2298225,"Up in D",4.74920901803333,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN",-2.2298225
0.755825000000003,11.4285375,15.9280153750736,4.96448833148356e-07,6.8981144646614e-05,6.9804369195863,"K1C19_HUMAN",26,-17.5166187074633,1.32610019630946e-07,1.81189490155749e-05,-0.755825000000003,"Up in B1",4.74186699705511,"KRT19","Keratin, type I cytoskeletal 19","K1C19_HUMAN",0.755825000000003
-1.97342500000001,12.5936125,-37.7159256215675,8.65579544474573e-10,5.45847777354042e-07,13.3287295761865,"HLAB_HUMAN",2,16.9332092343963,1.72219006883165e-07,2.31451052201342e-05,1.97342500000001,"Up in D",4.63554084052732,"HLA-B","HLA class I histocompatibility antigen, B alpha chain","HLAB_HUMAN",-1.97342500000001
-3.2934,14.33045,-16.1374306361044,4.51461276108777e-07,6.3811716233444e-05,7.08246650474632,"OAS3_HUMAN",45,16.7008490523547,1.91570247490952e-07,2.53305304666262e-05,3.2934,"Up in D",4.59635571521078,"OAS3","2'-5'-oligoadenylate synthase 3","OAS3_HUMAN",-3.2934
0.516100000000002,14.975625,12.6384984528002,2.63787357204833e-06,0.000237640522457717,5.16953065979914,"CO3_HUMAN",111,-16.4808804368156,2.12166009394996e-07,2.76085229368282e-05,-0.516100000000002,"Up in B1",4.55895682760718,"C3","Complement C3","CO3_HUMAN",0.516100000000002
0.508625000000002,11.4811875,12.259278676669,3.2802207612261e-06,0.00028915322366163,4.93131642871153,"VP13C_HUMAN",153,-16.0430756422478,2.60998538125152e-07,3.31705291894179e-05,-0.508625000000002,"Up in B1",4.47924759986397,"VPS13C","Intermembrane lipid transfer protein VPS13C","VP13C_HUMAN",0.508625000000002
-0.92395,12.03155,-14.6347978489632,9.17523196173345e-07,0.000105941622003227,6.31797365866301,"PML_HUMAN",44,16.0271326042282,2.63001268274233e-07,3.31705291894179e-05,0.92395,"Up in D",4.47924759986397,"PML","Protein PML","PML_HUMAN",-0.92395
0.992225000000001,11.9018375,14.8617796332008,8.20785015848488e-07,9.89934736718086e-05,6.4384802585181,"APOA5_HUMAN",23,-15.6759761252398,3.11803716664101e-07,3.87298010486712e-05,-0.992225000000001,"Up in B1",4.41195473393791,"APOA5","Apolipoprotein A-V","APOA5_HUMAN",0.992225000000001
-0.820747500000001,9.72697625,-14.3916381700162,1.03572003061612e-06,0.000116312778232753,6.18675686390065,"ECE1_HUMAN",28,15.5794736181811,3.26941831175587e-07,4.0004016895186e-05,0.820747500000001,"Up in D",4.3978963979764,"ECE1","Endothelin-converting enzyme 1","ECE1_HUMAN",-0.820747500000001
0.659350000000002,13.35655,13.4849106275723,1.65617543164299e-06,0.000171864888463408,5.67700525532319,"ITIH2_HUMAN",47,-15.5380264991161,3.33695513041635e-07,4.0229938469343e-05,-0.659350000000002,"Up in B1",4.39545063167048,"ITIH2","Inter-alpha-trypsin inhibitor heavy chain H2","ITIH2_HUMAN",0.659350000000002
0.822199999999999,11.396025,13.7613548548658,1.43096573679333e-06,0.000154356014608312,5.83595988987044,"CO5_HUMAN",67,-15.4208173500625,3.53657913546697e-07,4.11849493045137e-05,-0.822199999999999,"Up in B1",4.38526146426288,"C5","Complement C5","CO5_HUMAN",0.822199999999999
-1.3821525,9.69912375,-15.4463970533239,6.20494547099375e-07,8.20453918890431e-05,6.74040859048704,"CDHR5_HUMAN",12,15.408319107106,3.55864514305301e-07,4.11849493045137e-05,1.3821525,"Up in D",4.38526146426288,"CDHR5","Cadherin-related family member 5","CDHR5_HUMAN",-1.3821525
-1.566475,11.8734125,-14.6876319729865,8.93904729091099e-07,0.000104689013844126,6.34619248953919,"SAMH1_HUMAN",38,15.403674961909,3.5668838748725e-07,4.11849493045137e-05,1.566475,"Up in D",4.38526146426288,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN",-1.566475
-1.381475,11.0668375,-14.9127834340637,8.00667620620006e-07,9.89934736718086e-05,6.46530088229501,"T23O_HUMAN",17,15.3442421183831,3.67423089477866e-07,4.1835201215827e-05,1.381475,"Up in D",4.37845813783607,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN",-1.381475
-1.67905,12.40015,-25.6560010050945,1.50310275516988e-08,5.35758103777509e-06,10.6270140402934,"IFM3_HUMAN",3,15.2910080651714,3.77346871117417e-07,4.2376570540008e-05,1.67905,"Up in D",4.37287419287808,"IFITM3","Interferon-induced transmembrane protein 3","IFM3_HUMAN",-1.67905
-2.8432075,8.05364625,-14.8391719723839,8.29884372088878e-07,9.89934736718086e-05,6.42656188744346,"XAF1_HUMAN",16,15.2561262116881,3.84012587991848e-07,4.25423675183401e-05,2.8432075,"Up in D",4.37117834490954,"XAF1","XIAP-associated factor 1","XAF1_HUMAN",-2.8432075
-1.83655,9.40275,-14.8310108961583,8.33197082624396e-07,9.89934736718086e-05,6.42225496530731,"HLAF_HUMAN",14,15.1439979610423,4.06351825530429e-07,4.44169635426461e-05,1.83655,"Up in D",4.35245113425553,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN",-1.83655
-0.869172500000001,9.76663875,-13.844098819917,1.3704416491228e-06,0.000149798408526783,5.88291980801613,"KPCD2_HUMAN",30,14.906146025528,4.58737276446317e-07,4.94832656882488e-05,0.869172500000001,"Up in D",4.30554164648057,"PRKD2","Serine/threonine-protein kinase D2","KPCD2_HUMAN",-0.869172500000001
-0.685950000000002,12.6125,-13.4940482556284,1.64812019677418e-06,0.000171864888463408,5.6823108691936,"ITA5_HUMAN",29,14.8611377445139,4.69480791424042e-07,4.9984461403822e-05,0.685950000000002,"Up in D",4.30116498317176,"ITGA5","Integrin alpha-5","ITA5_HUMAN",-0.685950000000002
0.456049999999994,11.046575,11.3591659258895,5.64587962335724e-06,0.000458266546062204,4.33633136817625,"CGNL1_HUMAN",84,-14.7185676440702,5.05422076734746e-07,5.29832151139793e-05,-0.456049999999994,"Non-significant",4.2758616914919,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN",0.456049999999994
-4.0239325,7.33491875,-15.1153803765371,7.26078531263665e-07,9.30061218640551e-05,6.57092090825218,"LAMP3_HUMAN",3,14.6990724360458,5.10572577946373e-07,5.29832151139793e-05,4.0239325,"Up in D",4.2758616914919,"LAMP3","Lysosome-associated membrane glycoprotein 3","LAMP3_HUMAN",-4.0239325
-0.707675000000002,15.2640875,-13.1637234422401,1.96967450474249e-06,0.000192230852260464,5.48821898232076,"TYPH_HUMAN",30,14.4246533280727,5.89693073290469e-07,5.99965572506043e-05,0.707675000000002,"Up in D",4.2218736697824,"TYMP","Thymidine phosphorylase","TYPH_HUMAN",-0.707675000000002
0.875365,10.4585175,13.3780868173541,1.75371881297207e-06,0.000175329107667623,5.6147143290292,"TRFL_HUMAN",33,-14.4147558029437,5.9279350296401e-07,5.99965572506043e-05,-0.875365,"Up in B1",4.2218736697824,"LTF","Lactotransferrin","TRFL_HUMAN",0.875365
-0.474674999999998,10.7626375,-12.4676569129083,2.90781506735834e-06,0.00025911160785004,5.06308181664185,"CASP8_HUMAN",25,14.1669754167071,6.76703526457329e-07,6.76538476816729e-05,0.474674999999998,"Non-significant",4.16970749870568,"CASP8","Caspase-8","CASP8_HUMAN",-0.474674999999998
-0.807597499999998,9.20705625,-13.126423753258,2.01023974687138e-06,0.000193881711115901,5.46600140827202,"PHAR4_HUMAN",29,14.1338005842393,6.88917818586758e-07,6.80451599611354e-05,0.807597499999998,"Up in D",4.16720276064326,"PHACTR4","Phosphatase and actin regulator 4","PHAR4_HUMAN",-0.807597499999998
0.407824999999999,13.6335625,12.0499898935245,3.70932157550724e-06,0.000320094929221141,4.79678542872842,"IF5_HUMAN",25,-14.1093576599011,6.98075525182131e-07,6.81288470886085e-05,-0.407824999999999,"Non-significant",4.16666896035301,"EIF5","Eukaryotic translation initiation factor 5","IF5_HUMAN",0.407824999999999
-1.056175,12.1999875,-14.5799403643858,9.42795172113953e-07,0.000107347705847086,6.2885645992963,"PSB10_HUMAN",11,14.0783088855725,7.09905731630752e-07,6.81660847083942e-05,1.056175,"Up in D",4.16643165008797,"PSMB10","Proteasome subunit beta type-10","PSB10_HUMAN",-1.056175
-1.2828875,9.25364125,-13.2661132852727,1.86298918184611e-06,0.000184009461599692,5.54889045243666,"ZNFX1_HUMAN",61,14.0648927839676,7.15087007187351e-07,6.81660847083942e-05,1.2828875,"Up in D",4.16643165008797,"ZNFX1","NFX1-type zinc finger-containing protein 1","ZNFX1_HUMAN",-1.2828875
