"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BD_vs_BT","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
0.990724999999998,13.9236625,38.0132049251,1.29402263128273e-09,2.1948249998168e-07,13.0305736680787,"AL8A1_HUMAN",26,52.4036527696164,2.41437363914763e-10,6.09855691413446e-08,0.990724999999998,"Up in BT",7.2147729188208,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN"
0.8492,14.64895,33.8611077308293,2.98137787862991e-09,3.70745806045624e-07,12.1413349632634,"ACOHC_HUMAN",48,51.6314758747465,2.67812042904711e-10,6.49234853608879e-08,0.8492,"Up in BT",7.18759817349814,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
-2.060025,12.1244125,-47.8004327548345,2.47145494972564e-10,6.24274073707261e-08,14.7495159148116,"5NT3A_HUMAN",23,-51.487351633929,2.73091488589656e-10,6.49234853608879e-08,-2.060025,"Up in BD",7.18759817349814,"NT5C3A","Cytosolic 5'-nucleotidase 3A","5NT3A_HUMAN"
-3.5410575,10.54097125,-54.2972108036155,9.83054291499693e-11,2.94297327340445e-08,15.6731106219602,"IFIH1_HUMAN",45,-50.6642070581298,3.05623484515166e-10,7.05815607238882e-08,-3.5410575,"Up in BD",7.15130874260005,"IFIH1","Interferon-induced helicase C domain-containing protein 1","IFIH1_HUMAN"
0.520262500000001,10.24401875,23.9575007949083,3.59204281420147e-08,1.87319239143164e-06,9.42942669152163,"PLPL6_HUMAN",52,50.1829750842026,3.26685473276836e-10,7.33499633471296e-08,0.520262500000001,"Up in BT",7.13460009883697,"PNPLA6","Patatin-like phospholipase domain-containing protein 6","PLPL6_HUMAN"
-1.46675,11.033425,-45.0539734896301,3.79110296237148e-10,8.75528149852819e-08,14.3119743701398,"RN213_HUMAN",232,-48.5175571657935,4.13495370198592e-10,9.03319750625736e-08,-1.46675,"Up in BD",7.04415849403637,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN"
-2.35713,10.20556,-67.2693370552934,2.0846902321231e-11,9.91208890955944e-09,17.1544165225712,"HELZ2_HUMAN",117,-47.8341911993648,4.56539973098997e-10,9.7110857962084e-08,-2.35713,"Up in BD",7.01273220892428,"HELZ2","3'-5' exoribonuclease HELZ2","HELZ2_HUMAN"
-2.695535,11.3908075,-46.1861719759751,3.16838357677488e-10,7.53236601502099e-08,14.4961045816351,"SLFN5_HUMAN",37,-47.4557403616015,4.8257030073873e-10,1.00015788227465e-07,-2.695535,"Up in BD",6.99993143801155,"SLFN5","Schlafen family member 5","SLFN5_HUMAN"
-1.157875,14.7495125,-44.2051210177808,4.34988946443523e-10,9.7667101502861e-08,14.1702929077408,"VIME_HUMAN",46,-46.8136442183981,5.30712200663507e-10,1.07243667949078e-07,-1.157875,"Up in BD",6.96962834069062,"VIM","Vimentin","VIME_HUMAN"
-1.288675,14.7104375,-39.0880771602702,1.05803525404031e-09,1.90046643520174e-07,13.2430769937995,"TPSN_HUMAN",9,-46.5738066943646,5.50084801432756e-10,1.08447206097097e-07,-1.288675,"Up in BD",6.96478163214443,"TAPBP","Tapasin","TPSN_HUMAN"
-1.333625,13.7567875,-38.8533003157322,1.10508116321333e-09,1.94181979179421e-07,13.1972318641638,"PSB9_HUMAN",15,-46.3960796147261,5.64962264974244e-10,1.08728333042543e-07,-1.333625,"Up in BD",6.96365727025911,"PSMB9","Proteasome subunit beta type-9","PSB9_HUMAN"
-1.92999999999999,16.6482,-60.6761046336193,4.39966060921067e-11,1.77812283521249e-08,16.4536684323287,"HLAA_HUMAN",17,-45.4850427146595,6.48830106317319e-10,1.21964970915416e-07,-1.92999999999999,"Up in BD",6.91376488344457,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
-1.1404,16.2897,-37.4258735908921,1.44798137191501e-09,2.1948249998168e-07,12.9115669355775,"AMPL_HUMAN",38,-45.1295631594486,6.85348193359647e-10,1.23502685749984e-07,-1.1404,"Up in BD",6.90832359792079,"LAP3","Cytosol aminopeptidase","AMPL_HUMAN"
0.82340000000001,17.672325,31.7232773406127,4.77079778122086e-09,5.14164779541442e-07,11.6352161291962,"BHMT1_HUMAN",31,45.1086461570446,6.87569078157775e-10,1.23502685749984e-07,0.82340000000001,"Up in BT",6.90832359792079,"BHMT","Betaine--homocysteine S-methyltransferase 1","BHMT1_HUMAN"
0.431724999999997,15.9162875,20.3538709313147,1.15348802953418e-07,4.39794516166265e-06,8.13738770040858,"AOXA_HUMAN",91,44.096615029923,8.05532479355782e-10,1.36231284994252e-07,0.431724999999997,"Non-significant",6.86572314690076,"AOX1","Aldehyde oxidase","AOXA_HUMAN"
0.870725,16.7778375,34.9067315384193,2.39415099191634e-09,3.28340716698039e-07,12.3762614261965,"AL1L1_HUMAN",79,44.0706142635997,8.08854453046949e-10,1.36231284994252e-07,0.870725,"Up in BT",6.86572314690076,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
0.671044999999998,10.2099025,27.6134707849329,1.29530956008641e-08,9.87734639073435e-07,10.5496316506516,"SYNE2_HUMAN",160,43.9577973620672,8.23450901356772e-10,1.36231284994252e-07,0.671044999999998,"Up in BT",6.86572314690076,"SYNE2","Nesprin-2","SYNE2_HUMAN"
-1.651875,12.3472625,-42.0678682887028,6.22326913789334e-10,1.28981242157928e-07,13.7989522800815,"NUB1_HUMAN",27,-43.9394851528977,8.25848442993734e-10,1.36231284994252e-07,-1.651875,"Up in BD",6.86572314690076,"NUB1","NEDD8 ultimate buster 1","NUB1_HUMAN"
-1.4634975,9.59650125,-40.5603877048747,8.10064642923262e-10,1.48812557017017e-07,13.5235971185861,"PHAR4_HUMAN",29,-43.4177775522785,8.97622988643599e-10,1.45109732344124e-07,-1.4634975,"Up in BD",6.83830345895023,"PHACTR4","Phosphatase and actin regulator 4","PHAR4_HUMAN"
0.509024999999998,14.0779875,23.4232569688902,4.22242750062516e-08,2.0810903346069e-06,9.2509672363784,"AASS_HUMAN",44,43.0775514593387,9.48267241484932e-10,1.502910610377e-07,0.509024999999998,"Up in BT",6.82306684946931,"AASS","Alpha-aminoadipic semialdehyde synthase, mitochondrial","AASS_HUMAN"
0.818675000000006,17.8920125,30.826035343311,5.86627053725062e-09,5.70943551650916e-07,11.4116372045665,"ADH1B_HUMAN",14,42.5460851851002,1.03405331014435e-09,1.60735632805707e-07,0.818675000000006,"Up in BT",6.79388783564824,"ADH1B","All-trans-retinol dehydrogenase [NAD(+)] ADH1B","ADH1B_HUMAN"
-1.29825,14.94995,-37.7603412734887,1.35790231887346e-09,2.1948249998168e-07,12.9795936562001,"GBP1_HUMAN",22,-42.3030703872601,1.07620985034128e-09,1.64132155100162e-07,-1.29825,"Up in BD",6.7848063280599,"GBP1","Guanylate-binding protein 1","GBP1_HUMAN"
-2.60631,8.864645,-43.4657351575362,4.91389723798914e-10,1.07348733445044e-07,14.0442476960521,"SAMD9_HUMAN",42,-41.8886540481427,1.15271160115411e-09,1.72543849483864e-07,-2.60631,"Up in BD",6.76310051700319,"SAMD9","Sterile alpha motif domain-containing protein 9","SAMD9_HUMAN"
-2.7249125,11.37424375,-40.6095976000615,8.03000302642692e-10,1.48812557017017e-07,13.5327708662516,"NAT8_HUMAN",11,-41.0313711662395,1.33154732697899e-09,1.95689037163113e-07,-2.7249125,"Up in BD",6.70843350358536,"NAT8","N-acetyltransferase 8","NAT8_HUMAN"
1.3594,11.65705,35.5636845408797,2.09281588222287e-09,2.96775978526446e-07,12.5199151511521,"HRG_HUMAN",21,40.6511357748417,1.42087174336708e-09,2.02269994075974e-07,1.3594,"Up in BT",6.69406853825618,"HRG","Histidine-rich glycoprotein","HRG_HUMAN"
-1.70589,10.67283,-37.5940931778743,1.40185405846876e-09,2.1948249998168e-07,12.9458660056726,"PAR10_HUMAN",43,-40.6286080585142,1.42637506647662e-09,2.02269994075974e-07,-1.70589,"Up in BD",6.69406853825618,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
-2.2934,11.651975,-46.5607616658115,2.98863371038388e-10,7.32034129728271e-08,14.5558442810342,"TAP1_HUMAN",24,-40.1315869502279,1.55421395655339e-09,2.16598472600362e-07,-2.2934,"Up in BD",6.66434461023874,"TAP1","Antigen peptide transporter 1","TAP1_HUMAN"
0.804075000000003,13.1406875,30.0394128170349,7.06662462026048e-09,6.49085531881426e-07,11.2097678048642,"BUP1_HUMAN",23,39.2851810027629,1.80326338210573e-09,2.47047083348485e-07,0.804075000000003,"Up in BT",6.60722026904895,"UPB1","Beta-ureidopropionase","BUP1_HUMAN"
1.3046,11.139925,35.634904560679,2.06282299943791e-09,2.96775978526446e-07,12.5353113148414,"IYD1_HUMAN",13,38.735696911539,1.98932867128827e-09,2.67995727500385e-07,1.3046,"Up in BT",6.57187212961971,"IYD","Iodotyrosine deiodinase 1","IYD1_HUMAN"
-1.1913,11.793125,-34.901688687871,2.39664756713897e-09,3.28340716698039e-07,12.3751471610355,"OGFR_HUMAN",31,-38.2170272003633,2.18532677758396e-09,2.88552657946571e-07,-1.1913,"Up in BD",6.53977492091792,"OGFR","Opioid growth factor receptor","OGFR_HUMAN"
-2.5165975,9.69640125,-37.4187822768994,1.44996345820681e-09,2.1948249998168e-07,12.9101172447434,"TREX1_HUMAN",15,-38.1473036620541,2.21331990507082e-09,2.88552657946571e-07,-2.5165975,"Up in BD",6.53977492091792,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
-2.35975,11.4237,-43.1674053748526,5.16467943114866e-10,1.09858168005196e-07,13.9926770854082,"DDX60_HUMAN",75,-38.0400038909887,2.25720343028031e-09,2.89602782967551e-07,-2.35975,"Up in BD",6.53819726905761,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
-1.06655,12.75885,-37.6773285534265,1.37964973340988e-09,2.1948249998168e-07,12.9627733838734,"ITA5_HUMAN",29,-37.9248246020075,2.30541933571261e-09,2.91167257665078e-07,-1.06655,"Up in BD",6.5358574638881,"ITGA5","Integrin alpha-5","ITA5_HUMAN"
0.877675,16.0648375,30.7035716753332,6.03690542500526e-09,5.74074194709618e-07,11.3805766221605,"AK1C4_HUMAN",23,37.6281173790167,2.43514009629801e-09,3.02819036898105e-07,0.877675,"Up in BT",6.51881682613392,"AKR1C4","Aldo-keto reductase family 1 member C4","AK1C4_HUMAN"
1.1796,13.2561,32.5075754391001,4.00082937315044e-09,4.68676867002536e-07,11.8251035131203,"GNMT_HUMAN",15,37.446843685178,2.51849064695373e-09,3.08438786353439e-07,1.1796,"Up in BT",6.51083101440801,"GNMT","Glycine N-methyltransferase","GNMT_HUMAN"
0.934524999999999,12.2744375,30.3895338155071,6.50086960768837e-09,6.11006151615641e-07,11.3003127881423,"PROS_HUMAN",30,37.3205732274114,2.57847682688542e-09,3.11072062562908e-07,0.934524999999999,"Up in BT",6.50713899120434,"PROS1","Vitamin K-dependent protein S","PROS_HUMAN"
0.688025000000001,13.6478875,27.4308061926689,1.35862785551916e-08,1.02633541646368e-06,10.4974536368586,"ANX13_HUMAN",21,37.2334777757181,2.62080374740226e-09,3.11528774856654e-07,0.688025000000001,"Up in BT",6.50650183284333,"ANXA13","Annexin A13","ANX13_HUMAN"
-1.29835,13.2003,-33.1996233519886,3.43714783222559e-09,4.14663670565365e-07,11.9885538591468,"HOIL1_HUMAN",29,-37.1107755700215,2.68178861735881e-09,3.11888261256702e-07,-1.29835,"Up in BD",6.50600097076186,"RBCK1","RanBP-type and C3HC4-type zinc finger-containing protein 1","HOIL1_HUMAN"
-1.638595,10.1665025,-37.3607725397463,1.46629407386004e-09,2.1948249998168e-07,12.8982465844308,"KPCD2_HUMAN",30,-37.0727821483826,2.7009994170443e-09,3.11888261256702e-07,-1.638595,"Up in BD",6.50600097076186,"PRKD2","Serine/threonine-protein kinase D2","KPCD2_HUMAN"
0.870150000000001,15.284525,29.6105187717813,7.83750841132453e-09,6.73942345624853e-07,11.0972949522847,"TRFE_HUMAN",51,36.8991689645256,2.79080866712224e-09,3.16485055259289e-07,0.870150000000001,"Up in BT",6.49964679298206,"TF","Serotransferrin","TRFE_HUMAN"
0.668600000000001,12.396175,25.5973939088882,2.23350618209372e-08,1.44195819278402e-06,9.95253409459319,"CSDE1_HUMAN",47,36.845764266437,2.81911715683147e-09,3.16485055259289e-07,0.668600000000001,"Up in BT",6.49964679298206,"CSDE1","Cold shock domain-containing protein E1","CSDE1_HUMAN"
0.66835,14.04805,32.176576830957,4.30711012762219e-09,4.90343255796763e-07,11.7455794638532,"LPPRC_HUMAN",87,35.8300941762029,3.42524759831104e-09,3.79264059412988e-07,0.66835,"Up in BT",6.42105831083839,"LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial","LPPRC_HUMAN"
0.862275,10.7786125,28.235067422329,1.1036654107387e-08,8.66109467475818e-07,10.7244926023331,"ACD10_HUMAN",51,35.4147658400242,3.71504534337203e-09,4.05793398790218e-07,0.862275,"Up in BT",6.39169502209395,"ACAD10","Acyl-CoA dehydrogenase family member 10","ACD10_HUMAN"
0.992722500000001,9.95091375,29.8123438688006,7.46343776932955e-09,6.7029963877212e-07,11.1504374767724,"ABCA6_HUMAN",44,35.1172962899562,3.93984961612539e-09,4.24610725961887e-07,0.992722500000001,"Up in BT",6.37200903945117,"ABCA6","ATP-binding cassette sub-family A member 6","ABCA6_HUMAN"
-0.991724999999997,13.8024125,-29.6405602456857,7.78050128829177e-09,6.73942345624853e-07,11.105229702308,"EHD4_HUMAN",31,-34.8425943302465,4.16133831950733e-09,4.42580232060233e-07,-0.991724999999997,"Up in BD",6.35400798783055,"EHD4","EH domain-containing protein 4","EHD4_HUMAN"
-1.9164,11.7725,-34.0955235984112,2.83667184530173e-09,3.69819653638288e-07,12.1946917744582,"E2AK2_HUMAN",23,-34.6416165475862,4.33240669826189e-09,4.54790173273387e-07,-1.9164,"Up in BD",6.34218892775574,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
0.854700000000001,11.308925,31.5081414544025,5.01054889263399e-09,5.15806272059726e-07,11.5822371395671,"TTPA_HUMAN",15,34.4514496765685,4.50170478597939e-09,4.61137057765591e-07,0.854700000000001,"Up in BT",6.33616997572806,"TTPA","Alpha-tocopherol transfer protein","TTPA_HUMAN"
-1.11795,11.907725,-32.311000696163,4.17961794378743e-09,4.82626454851912e-07,11.777982432519,"IN35_HUMAN",18,-34.3999021432954,4.54888866929274e-09,4.61137057765591e-07,-1.11795,"Up in BD",6.33616997572806,"IFI35","Interferon-induced 35 kDa protein","IN35_HUMAN"
0.656175000000001,13.9561375,24.9963682566451,2.64894343844552e-08,1.55590158206826e-06,9.76496495916762,"PGDH_HUMAN",12,34.3795646136975,4.56765976225107e-09,4.61137057765591e-07,0.656175000000001,"Up in BT",6.33616997572806,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","PGDH_HUMAN"
-0.697225,12.0239875,-31.3723598755272,5.16891105243571e-09,5.15806272059726e-07,11.5485976204599,"TENS1_HUMAN",76,-34.3222164519109,4.62106911777965e-09,4.61137057765591e-07,-0.697225,"Up in BD",6.33616997572806,"TNS1","Tensin-1","TENS1_HUMAN"
0.906124999999999,16.3720375,28.9040721449647,9.32526395021964e-09,7.65683110904055e-07,10.9081815257834,"TMT1A_HUMAN",14,34.2243017150636,4.71391595664483e-09,4.6466564240927e-07,0.906124999999999,"Up in BT",6.3328594382672,"TMT1A","Thiol S-methyltransferase TMT1A","TMT1A_HUMAN"
-0.940825,13.4313875,-28.8814178442537,9.37803142144024e-09,7.65683110904055e-07,10.9020356601558,"TSP1_HUMAN",50,-34.0081838796596,4.92648964754801e-09,4.79768865314827e-07,-0.940825,"Up in BD",6.31896793907077,"THBS1","Thrombospondin-1","TSP1_HUMAN"
-0.665950000000002,12.5513,-26.4351472953388,1.77222272482107e-08,1.27900681113649e-06,10.2064466209224,"PSME3_HUMAN",17,-33.8280537208766,5.11205796504162e-09,4.86679737856424e-07,-0.665950000000002,"Up in BD",6.31275673454615,"PSME3","Proteasome activator complex subunit 3","PSME3_HUMAN"
0.437674999999995,17.0389125,20.7499762045608,1.00513104379203e-07,4.04202697859251e-06,8.29034153847335,"ADH4_HUMAN",25,33.8225291059092,5.11787426918175e-09,4.86679737856424e-07,0.437674999999995,"Non-significant",6.31275673454615,"ADH4","All-trans-retinol dehydrogenase [NAD(+)] ADH4","ADH4_HUMAN"
-0.739024999999998,12.6127375,-25.7681446425977,2.12936672607255e-08,1.41977811892974e-06,10.004985087923,"LIMC1_HUMAN",62,-33.6651179075899,5.28681549866629e-09,4.90980482060527e-07,-0.739024999999998,"Up in BD",6.30893577203567,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN"
0.724624999999996,13.8764875,26.1945657237826,1.89254825457072e-08,1.34188311769255e-06,10.1344015885813,"GLNA_HUMAN",20,33.6459764573901,5.30779004703877e-09,4.90980482060527e-07,0.724624999999996,"Up in BT",6.30893577203567,"GLUL","Glutamine synthetase","GLNA_HUMAN"
0.75385,18.39595,26.5016886084607,1.74049461149696e-08,1.26742504006576e-06,10.2262518109638,"ADH1G_HUMAN",33,33.5713486978605,5.39047713967788e-09,4.90980482060527e-07,0.75385,"Up in BT",6.30893577203567,"ADH1C","Alcohol dehydrogenase 1C","ADH1G_HUMAN"
-0.645250000000001,12.26675,-24.1171355136076,3.42496447431605e-08,1.79766154843484e-06,9.48195498824549,"CASP7_HUMAN",16,-33.5574222784326,5.40606988783705e-09,4.90980482060527e-07,-0.645250000000001,"Up in BD",6.30893577203567,"CASP7","Caspase-7","CASP7_HUMAN"
1.036875,12.3679375,33.2429562111772,3.40497501087579e-09,4.14663670565365e-07,11.9986641212916,"FMO5_HUMAN",32,33.3157178753493,5.68507257715211e-09,5.10582684901339e-07,1.036875,"Up in BT",6.29193391726249,"FMO5","Flavin-containing monooxygenase 5","FMO5_HUMAN"
