logFC,AveExpr,t,P.Value,adj.P.Val,B,gene,count,sca.t,sca.P.Value,sca.adj.pval,C_vs_B2,Diff_Abund,negLog10_sca_adjPval,Genes,ProtDesc,Protein.Names,Protein.Ids
0.0566823482513428,9.943024277687073,,0.21613176508114795,0.4864124909596484,,CA226_HUMAN,8,,0.21613176508114795,0.4864124909596484,-0.0566823482513428,Non-significant,0.31299528101082486,C1orf226,Uncharacterized protein C1orf226,CA226_HUMAN,A1L170
0.194458484649658,8.796027421951294,,0.11397976634577778,0.34501755391829586,,NDUF8_HUMAN,8,,0.11397976634577778,0.34501755391829586,-0.194458484649658,Non-significant,0.46215880818495453,NDUFAF8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8,NDUF8_HUMAN,A1L188
-0.0366637706756592,8.916744351387026,,0.6976150222051001,0.8778662121934988,,PKHG3_HUMAN,8,,0.6976150222051001,0.8778662121934988,0.0366637706756592,Non-significant,0.05657166602258694,PLEKHG3,Pleckstrin homology domain-containing family G member 3,PKHG3_HUMAN,A1L390
-0.0377373695373535,9.470934629440308,,0.4285273772344971,0.6904700445856812,,SPD2B_HUMAN,8,,0.4285273772344971,0.6904700445856812,0.0377373695373535,Non-significant,0.16085515814739154,SH3PXD2B,SH3 and PX domain-containing protein 2B,SPD2B_HUMAN,A1X283
0.285227656364441,7.4005007147789,,0.020705731381437182,0.12952163162302677,,MACD2_HUMAN,8,,0.020705731381437182,0.12952163162302677,-0.285227656364441,Non-significant,0.8876576932817535,MACROD2,ADP-ribose glycohydrolase MACROD2,MACD2_HUMAN,A1Z1Q3
0.0190598964691162,12.39846646785736,,0.7002309976044581,0.8798049788697291,,PIPSL_HUMAN,8,,0.7002309976044581,0.8798049788697291,-0.0190598964691162,Non-significant,0.05561358465339186,PIPSL,Putative PIP5K1A and PSMD4-like protein,PIPSL_HUMAN,A2A3N6
-0.0465013980865479,10.822192072868335,,0.3526923461371887,0.6262432239788364,,NBAS_HUMAN,8,,0.3526923461371887,0.6262432239788364,0.0465013980865479,Non-significant,0.20325696021375372,NBAS,NBAS subunit of NRZ tethering complex,NBAS_HUMAN,A2RRP1
0.173252701759338,7.677914917469024,,0.12740923794730236,0.36587206895162594,,SYTC2_HUMAN,8,,0.12740923794730236,0.36587206895162594,-0.173252701759338,Non-significant,0.43667074373337234,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",SYTC2_HUMAN,A2RTX5
-0.271106123924255,6.734821736812593,,0.21686705874141915,0.4873403665537741,,F234B_HUMAN,8,,0.21686705874141915,0.4873403665537741,0.271106123924255,Non-significant,0.3121676143821169,FAM234B,Protein FAM234B,F234B_HUMAN,A2RU67
-0.060030460357666,9.343946933746338,,0.42834810764990694,0.6904408662169454,,TYW5_HUMAN,8,,0.42834810764990694,0.6904408662169454,0.060030460357666,Non-significant,0.1608735112568291,TYW5,tRNA wybutosine-synthesizing protein 5,TYW5_HUMAN,A2RUC4
0.276223659515381,9.737442016601564,,0.011938580215733912,0.09446950031444379,,FUCM_HUMAN,8,,0.011938580215733912,0.09446950031444379,-0.276223659515381,Non-significant,1.0247083817884288,FUOM,Fucose mutarotase,FUCM_HUMAN,A2VDF0
-0.254462599754333,6.26253217458725,,0.4909428289356803,0.7419457381514105,,T131L_HUMAN,8,,0.4909428289356803,0.7419457381514105,0.254462599754333,Non-significant,0.12962785547990763,TMEM131L,Transmembrane protein 131-like,T131L_HUMAN,A2VDJ0
0.0128788948059082,12.691368341445916,,0.8381029270845188,0.959876560667068,,VWA8_HUMAN,8,,0.8381029270845188,0.959876560667068,-0.0128788948059082,Non-significant,0.01778461328129865,VWA8,von Willebrand factor A domain-containing protein 8,VWA8_HUMAN,A3KMH1
0.0289922952651978,7.904098093509674,,0.8127289295597262,0.9461757118169162,,SBNO1_HUMAN,8,,0.8127289295597262,0.9461757118169162,-0.0289922952651978,Non-significant,0.024028204416044956,SBNO1,Protein strawberry notch homolog 1,SBNO1_HUMAN,A3KN83
-0.408364295959473,,,1.0,1.0,,F221A_HUMAN,4,,1.0,1.0,0.408364295959473,Non-significant,-0.0,FAM221A,Protein FAM221A,F221A_HUMAN,A4D161
-0.21694803237915,8.49963092803955,,0.21745042748320628,0.48771365067642375,,GTPBA_HUMAN,8,,0.21745042748320628,0.48771365067642375,0.21694803237915,Non-significant,0.31183508871747867,GTPBP10,GTP-binding protein 10,GTPBA_HUMAN,A4D1E9
0.0217485427856445,10.33339738845825,,0.3591563371252447,0.631799112232607,,WDR91_HUMAN,8,,0.3591563371252447,0.631799112232607,-0.0217485427856445,Non-significant,0.19942098867580632,WDR91,WD repeat-containing protein 91,WDR91_HUMAN,A4D1P6
-0.040247917175293,9.460554122924805,,0.6104710713189075,0.8245920328493098,,DEN11_HUMAN,8,,0.6104710713189075,0.8245920328493098,0.040247917175293,Non-significant,0.08376086563737287,DENND11,DENN domain-containing protein 11,DEN11_HUMAN,A4D1U4
0.0975643396377563,8.005585014820099,,0.41401608949106977,0.6788536361154174,,MBLC1_HUMAN,8,,0.41401608949106977,0.6788536361154174,-0.0975643396377563,Non-significant,0.16822385146233199,MBLAC1,Metallo-beta-lactamase domain-containing protein 1,MBLC1_HUMAN,A4D2B0
,,,1.0,1.0,,MTMRB_HUMAN,4,,1.0,1.0,,Non-significant,-0.0,MTMR11,Myotubularin-related protein 11,MTMRB_HUMAN,A4FU01
0.234646558761597,12.90344679355621,,0.21046994098442487,0.4792663411233235,,POTEF_HUMAN,8,,0.21046994098442487,0.4792663411233235,-0.234646558761597,Non-significant,0.3194230704400961,POTEF,POTE ankyrin domain family member F,POTEF_HUMAN,A5A3E0
-0.127476453781128,9.208928227424622,,0.2723016056409231,0.5491673003091035,,VP37C_HUMAN,8,,0.2723016056409231,0.5491673003091035,0.127476453781128,Non-significant,0.2602953303539092,VPS37C,Vacuolar protein sorting-associated protein 37C,VP37C_HUMAN,A5D8V6
-0.466244061787923,7.215869267781574,,0.09415146790070003,0.3108122839501251,,PDES1_HUMAN,7,,0.09415146790070003,0.3108122839501251,0.466244061787923,Non-significant,0.5075018253076365,PEDS1,Plasmanylethanolamine desaturase 1,PDES1_HUMAN,A5PLL7
-0.13959789276123,10.209317684173584,,0.007226226114831809,0.07157631031328651,,TPC13_HUMAN,8,,0.007226226114831809,0.07157631031328651,0.13959789276123,Non-significant,1.1452306928121816,TRAPPC13,Trafficking protein particle complex subunit 13,TPC13_HUMAN,A5PLN9
-0.0156455039978027,10.251948595047,,0.6915766517246668,0.8741287295566426,,CNOT1_HUMAN,8,,0.6915766517246668,0.8741287295566426,0.0156455039978027,Non-significant,0.05842460578740936,CNOT1,CCR4-NOT transcription complex subunit 1,CNOT1_HUMAN,A5YKK6
0.338279008865356,6.444450736045838,,0.38146848493433616,0.6508124126930234,,ARG35_HUMAN,7,,0.38146848493433616,0.6508124126930234,-0.338279008865356,Non-significant,0.18654417252577915,ARHGEF35,Rho guanine nucleotide exchange factor 35,ARG35_HUMAN,A5YM69
0.0074753761291503,9.728544473648073,,0.9502805981447792,1.0,,MP3B2_HUMAN;MLP3B_HUMAN,8,,0.9502805981447792,1.0,-0.0074753761291503,Non-significant,-0.0,MAP1LC3B2;MAP1LC3B,Microtubule-associated proteins 1A/1B light chain 3 beta 2;Microtubule-associated proteins 1A/1B light chain 3B,MP3B2_HUMAN;MLP3B_HUMAN,A6NCE7;Q9GZQ8
-0.0655167102813721,11.179100632667556,,0.2907617534202194,0.5675225547745318,,CB072_HUMAN,8,,0.2907617534202194,0.5675225547745318,0.0655167102813721,Non-significant,0.24601687383621418,C2orf72,Uncharacterized protein C2orf72,CB072_HUMAN,A6NCS6
0.258246183395386,11.39163672924042,,0.021113538004065256,0.1312697324842416,,FA83G_HUMAN,8,,0.021113538004065256,0.1312697324842416,-0.258246183395386,Non-significant,0.8818353998085718,FAM83G,Protein FAM83G,FA83G_HUMAN,A6ND36
0.157217741012573,13.61315333843233,,0.00032787396554174607,0.01289742685607003,,ASPDH_HUMAN,8,,0.00032787396554174607,0.01289742685607003,-0.157217741012573,Up,1.8894969264199766,ASPDH,Aspartate dehydrogenase domain-containing protein,ASPDH_HUMAN,A6ND91
0.14337158203125,12.472122192382825,,0.0036969076833114063,0.046751311692200814,,PALM3_HUMAN,8,,0.0036969076833114063,0.046751311692200814,-0.14337158203125,Up,1.3302061997071155,PALM3,Paralemmin-3,PALM3_HUMAN,A6NDB9
0.086491584777832,11.65851068496705,,0.06994863378095129,0.26438966074474546,,PGP_HUMAN,8,,0.06994863378095129,0.26438966074474546,-0.086491584777832,Non-significant,0.5777555324288394,PGP,Glycerol-3-phosphate phosphatase,PGP_HUMAN,A6NDG6
-0.0455071926116943,10.323927521705635,,0.2951829609288112,0.571411224033914,,RIMC1_HUMAN,8,,0.2951829609288112,0.571411224033914,0.0455071926116943,Non-significant,0.24305123317252886,RIMOC1,RAB7A-interacting MON1-CCZ1 complex subunit 1,RIMC1_HUMAN,A6NDU8
0.0213913917541504,8.533304691314697,,0.8275036597763603,0.9525372740982245,,RCCD1_HUMAN,8,,0.8275036597763603,0.9525372740982245,-0.0213913917541504,Non-significant,0.02111802077733566,RCCD1,RCC1 domain-containing protein 1,RCCD1_HUMAN,A6NED2
-0.257679224014282,6.778175711631775,,0.4231812634140553,0.6873801115847461,,SWAHB_HUMAN,8,,0.4231812634140553,0.6873801115847461,0.257679224014282,Non-significant,0.1628030377413503,SOWAHB,Ankyrin repeat domain-containing protein SOWAHB,SWAHB_HUMAN,A6NEL2
-0.0304105281829834,11.132680535316474,,0.4552374868025886,0.712086312341729,,TCAF2_HUMAN,8,,0.4552374868025886,0.712086312341729,0.0304105281829834,Non-significant,0.1474673621189653,TCAF2,TRPM8 channel-associated factor 2,TCAF2_HUMAN,A6NFQ2
0.149683952331543,8.576549291610718,,0.3640369876126025,0.6348147128402203,,SDHF1_HUMAN,8,,0.3640369876126025,0.6348147128402203,-0.149683952331543,Non-significant,0.19735301633547164,SDHAF1,"Succinate dehydrogenase assembly factor 1, mitochondrial",SDHF1_HUMAN,A6NFY7
-0.125104188919067,9.418147683143614,,0.13369143761419058,0.3764980350591887,,WIPF3_HUMAN,8,,0.13369143761419058,0.3764980350591887,0.125104188919067,Non-significant,0.42423728603745975,WIPF3,WAS/WASL-interacting protein family member 3,WIPF3_HUMAN,A6NGB9
0.135292530059814,9.497574806213379,,0.04772199324765368,0.2147752193356999,,GLTD2_HUMAN,8,,0.04772199324765368,0.2147752193356999,-0.135292530059814,Non-significant,0.6680158287760337,GLTPD2,Glycolipid transfer protein domain-containing protein 2,GLTD2_HUMAN,A6NH11
0.115192890167236,9.59573125839233,,0.6106165428561426,0.8245920328493098,,TBAL3_HUMAN,8,,0.6106165428561426,0.8245920328493098,-0.115192890167236,Non-significant,0.08376086563737287,TUBAL3,Tubulin alpha chain-like 3,TBAL3_HUMAN,A6NHL2
-0.0116968154907227,8.379890203475952,,0.865533397963781,0.9722397394480583,,SMHD1_HUMAN,8,,0.865533397963781,0.9722397394480583,0.0116968154907227,Non-significant,0.012226631491999948,SMCHD1,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,SMHD1_HUMAN,A6NHR9
-0.0091522932052612,8.218903720378878,,0.9621576948030722,1.0,,CAST2_HUMAN,8,,0.9621576948030722,1.0,0.0091522932052612,Non-significant,-0.0,CASTOR2,Cytosolic arginine sensor for mTORC1 subunit 2,CAST2_HUMAN,A6NHX0
0.169040679931641,7.054452538490295,,0.12776363545806546,0.36640801448226135,,RHG42_HUMAN,8,,0.12776363545806546,0.36640801448226135,-0.169040679931641,Non-significant,0.4360350355299654,ARHGAP42,Rho GTPase-activating protein 42,RHG42_HUMAN,A6NI28
-0.0015065670013427,9.547499299049377,,0.9868987691329265,1.0,,CCD69_HUMAN,8,,0.9868987691329265,1.0,0.0015065670013427,Non-significant,-0.0,CCDC69,Coiled-coil domain-containing protein 69,CCD69_HUMAN,A6NI79
0.0261681079864502,9.895708918571467,,0.6525586679304284,0.8517441485252799,,U119B_HUMAN,8,,0.6525586679304284,0.8517441485252799,-0.0261681079864502,Non-significant,0.06969084134906196,UNC119B,Protein unc-119 homolog B,U119B_HUMAN,A6NIH7
