"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","BDM_vs_C","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
-1.803425,12.7649375,-39.7631351217971,9.15768435403432e-10,3.89587171756102e-07,13.4132847594652,"ANXA1_HUMAN",23,-43.109460631306,7.45309953459549e-10,2.68688064724495e-07,-1.803425,"Up in BDM",6.57075162474441,"ANXA1","Annexin A1","ANXA1_HUMAN"
0.651600000000006,15.824325,26.7122687920597,1.61631917943701e-08,1.42007694862928e-06,10.5415782004544,"C1TC_HUMAN",59,42.9529311852128,7.64742526640287e-10,2.68688064724495e-07,0.651600000000006,"Up in C",6.57075162474441,"MTHFD1","C-1-tetrahydrofolate synthase, cytoplasmic","C1TC_HUMAN"
0.946724999999999,15.1365125,36.7860727519992,1.60736938260557e-09,4.79819196563417e-07,12.8729571021113,"PBLD_HUMAN",23,42.6968971725194,7.97787152466643e-10,2.68688064724495e-07,0.946724999999999,"Up in C",6.57075162474441,"PBLD","Phenazine biosynthesis-like domain-containing protein","PBLD_HUMAN"
-1.01368,10.146735,-33.1756367713648,3.38974575012131e-09,6.37193369726292e-07,12.1376291326316,"AGRIN_HUMAN",63,-40.9258753591861,1.07657561132913e-09,3.33152760848587e-07,-1.01368,"Up in BDM",6.47735658336736,"AGRN","Agrin","AGRIN_HUMAN"
0.697224999999998,15.5033875,28.2872491647226,1.07004168317871e-08,1.18481464727856e-06,10.969504167257,"TRFE_HUMAN",51,40.7523992354354,1.10941275901081e-09,3.33152760848587e-07,0.697224999999998,"Up in C",6.47735658336736,"TF","Serotransferrin","TRFE_HUMAN"
0.792124999999995,14.9932625,28.5783495053724,9.93962873914755e-09,1.18200623526534e-06,11.0455735916042,"KPYR_HUMAN",45,40.5668863490652,1.1457986315174e-09,3.33152760848587e-07,0.792124999999995,"Up in C",6.47735658336736,"PKLR","Pyruvate kinase PKLR","KPYR_HUMAN"
-1.1594,11.3216,-39.7632315231218,9.15752379857268e-10,3.89587171756102e-07,13.4133013926612,"PRS23_HUMAN",19,-40.5102216423595,1.15718259243437e-09,3.33152760848587e-07,-1.1594,"Up in BDM",6.47735658336736,"PRSS23","Serine protease 23","PRS23_HUMAN"
0.584225,15.0644875,25.1515162764546,2.49214879489078e-08,1.94027954538622e-06,10.0880631328993,"GDE_HUMAN",104,40.2694666304591,1.20701052444329e-09,3.33152760848587e-07,0.584225,"Up in C",6.47735658336736,"AGL","Glycogen debranching enzyme","GDE_HUMAN"
0.75315,11.23535,28.379746116401,1.0451725376689e-08,1.18481464727856e-06,10.9937736960772,"CGNL1_HUMAN",84,40.0479948345168,1.25501790637166e-09,3.33152760848587e-07,0.75315,"Up in C",6.47735658336736,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN"
0.852074999999996,15.9799375,30.839984234165,5.74036870553905e-09,8.43625459034038e-07,11.6071745944379,"CP2E1_HUMAN",29,39.8464088346774,1.30061528024502e-09,3.33152760848587e-07,0.852074999999996,"Up in C",6.47735658336736,"CYP2E1","Cytochrome P450 2E1","CP2E1_HUMAN"
1.6193925,10.20727875,40.3148426885835,8.28907631704932e-10,3.89587171756102e-07,13.5076124979313,"TTC36_HUMAN",9,39.596739591604,1.35973053783237e-09,3.33152760848587e-07,1.6193925,"Up in C",6.47735658336736,"TTC36","Tetratricopeptide repeat protein 36","TTC36_HUMAN"
1.00729,10.437505,31.844706672916,4.55513899632389e-09,7.83386989516724e-07,11.8411317582276,"SYNE2_HUMAN",160,39.5470841220947,1.37184965809731e-09,3.33152760848587e-07,1.00729,"Up in C",6.47735658336736,"SYNE2","Nesprin-2","SYNE2_HUMAN"
-1.295825,13.9965875,-35.1321122462413,2.2411329302695e-09,5.22604537805502e-07,12.547876571391,"IL18_HUMAN",14,-39.4282343487139,1.40136012233725e-09,3.33152760848587e-07,-1.295825,"Up in BDM",6.47735658336736,"IL18","Interleukin-18","IL18_HUMAN"
1.087525,16.8765875,34.4294438030997,2.5932307852035e-09,5.51607485178945e-07,12.4038785743518,"AL1L1_HUMAN",79,38.7655372201237,1.57979750153376e-09,3.64842948711354e-07,1.087525,"Up in C",6.43789404290273,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
-2.139175,14.8095125,-36.378266642416,1.74221441434468e-09,4.79819196563417e-07,12.7945511540914,"FIBA_HUMAN",43,-38.2712212768274,1.72983781742857e-09,3.88396641063198e-07,-2.139175,"Up in BDM",6.41072453461889,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
0.70425,15.164525,27.462661067881,1.32410996244324e-08,1.27414057457485e-06,10.7489911265112,"HEM2_HUMAN",25,37.6908520262282,1.92716161125699e-09,3.98503502780648e-07,0.70425,"Up in C",6.39956785687359,"ALAD","Delta-aminolevulinic acid dehydratase","HEM2_HUMAN"
-0.628875000000004,13.2393625,-24.1848305992618,3.3026971818662e-08,2.41950603298301e-06,9.79097475472609,"ITAV_HUMAN",58,-37.6150834322368,1.95476918417163e-09,3.98503502780648e-07,-0.628875000000004,"Up in BDM",6.39956785687359,"ITGAV","Integrin alpha-V","ITAV_HUMAN"
1.047325,16.9436125,38.5184886019547,1.15253050893673e-09,4.3623280967919e-07,13.1940030056084,"SBP1_HUMAN",39,37.5364466169797,1.9838997877906e-09,3.98503502780648e-07,1.047325,"Up in C",6.39956785687359,"SELENBP1","Methanethiol oxidase","SBP1_HUMAN"
-0.876825000000002,12.8686625,-31.0675462629453,5.44391512944611e-09,8.30248414930433e-07,11.6609594061642,"MFGM_HUMAN",22,-37.421739160443,2.02728465781504e-09,3.98503502780648e-07,-0.876825000000002,"Up in BDM",6.39956785687359,"MFGE8","Lactadherin","MFGM_HUMAN"
-1.899275,14.7467125,-39.8887760405096,8.95112105478342e-10,3.89587171756102e-07,13.4349178784039,"FINC_HUMAN",120,-37.4003266820795,2.03550260519085e-09,3.98503502780648e-07,-1.899275,"Up in BDM",6.39956785687359,"FN1","Fibronectin","FINC_HUMAN"
1.109825,15.6281125,36.5973276465549,1.6682465510388e-09,4.79819196563417e-07,12.8368070102097,"TKFC_HUMAN",40,37.1985356608114,2.11484273672646e-09,3.98503502780648e-07,1.109825,"Up in C",6.39956785687359,"TKFC","Triokinase/FMN cyclase","TKFC_HUMAN"
-0.999699999999997,11.408875,-31.5468313608212,4.87471317896192e-09,8.08468283151378e-07,11.7727071606903,"5NTD_HUMAN",22,-37.1858137331834,2.11996172455374e-09,3.98503502780648e-07,-0.999699999999997,"Up in BDM",6.39956785687359,"NT5E","5'-nucleotidase","5NTD_HUMAN"
-1.187375,13.4322875,-32.6350682476338,3.81651443447523e-09,6.9038847495329e-07,12.0189853852224,"K2C7_HUMAN",37,-36.8861266345589,2.24473313850519e-09,4.02676280005317e-07,-1.187375,"Up in BDM",6.39504395213134,"KRT7","Keratin, type II cytoskeletal 7","K2C7_HUMAN"
-1.352425,10.8422625,-33.9916548942633,2.84430021579288e-09,5.74761966106347e-07,12.3122964108693,"LAMC1_HUMAN",52,-36.7630006481136,2.29840644918973e-09,4.02676280005317e-07,-1.352425,"Up in BDM",6.39504395213134,"LAMC1","Laminin subunit gamma-1","LAMC1_HUMAN"
-0.760775000000002,13.1302375,-28.6945983026902,9.65314079643605e-09,1.18200623526534e-06,11.0756991324403,"JUPI1_HUMAN",11,-36.6440803772132,2.35163973842191e-09,4.02676280005317e-07,-0.760775000000002,"Up in BDM",6.39504395213134,"JPT1","Jupiter microtubule associated homolog 1","JUPI1_HUMAN"
1.067775,18.4205875,31.4951085321191,4.9327630039595e-09,8.08468283151378e-07,11.7607464592695,"ADH1G_HUMAN",33,36.5793094482973,2.38122431131368e-09,4.02676280005317e-07,1.067775,"Up in C",6.39504395213134,"ADH1C","Alcohol dehydrogenase 1C","ADH1G_HUMAN"
-0.822800000000003,11.8812,-27.9520883228517,1.16595952008096e-08,1.23522485857789e-06,10.880784773234,"ITA6_HUMAN",48,-36.5575709203682,2.39124847708217e-09,4.02676280005317e-07,-0.822800000000003,"Up in BDM",6.39504395213134,"ITGA6","Integrin alpha-6","ITA6_HUMAN"
-1.97766,8.6361025,-37.2882547164948,1.45732788783071e-09,4.71183252693424e-07,12.9679942934808,"PGBM_HUMAN",106,-36.1220844695763,2.60256106798889e-09,4.29316349235801e-07,-1.97766,"Up in BDM",6.36722257239247,"HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN"
3.3520025,9.68647375,36.8482558140455,1.58786929336807e-09,4.79819196563417e-07,12.8848150619084,"NUA4L_HUMAN",5,35.8890668810597,2.72432985298459e-09,4.39753373348418e-07,3.3520025,"Up in C",6.35679082038446,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
0.969250000000001,14.0889,29.9029399490403,7.17076002523025e-09,9.82394123456544e-07,11.3806000401595,"PGDH_HUMAN",12,35.7962353855664,2.77464085621296e-09,4.39753373348418e-07,0.969250000000001,"Up in C",6.35679082038446,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","PGDH_HUMAN"
0.940375000000003,15.9386125,29.9715296017484,7.05329150006824e-09,9.82394123456544e-07,11.397469559591,"FTCD_HUMAN",36,35.6559767123834,2.85267822874652e-09,4.43426886979963e-07,0.940375000000003,"Up in C",6.35317797718225,"FTCD","Formimidoyltransferase-cyclodeaminase","FTCD_HUMAN"
-0.847300000000001,12.19985,-28.3126227369234,1.06315332188177e-08,1.18481464727856e-06,10.9761709207181,"PEG10_HUMAN",23,-35.5543063594784,2.91081119410862e-09,4.43926167584528e-07,-0.847300000000001,"Up in BDM",6.35268925438302,"PEG10","Retrotransposon-derived protein PEG10","PEG10_HUMAN"
0.463900000000002,13.620525,20.6088989634713,1.03981139828529e-07,4.88650903043024e-06,8.56596306856652,"GALM_HUMAN",17,35.2315905022689,3.10447874260669e-09,4.55453019493995e-07,0.463900000000002,"Non-significant",6.34155641435903,"GALM","Galactose mutarotase","GALM_HUMAN"
-0.883794999999997,9.3890875,-28.3961688138795,1.04082607488296e-08,1.18481464727856e-06,10.9980730844024,"INGR1_HUMAN",14,-35.0864927484315,3.19631273420284e-09,4.55453019493995e-07,-0.883794999999997,"Up in BDM",6.34155641435903,"IFNGR1","Interferon gamma receptor 1","INGR1_HUMAN"
0.771124999999996,14.0420125,27.5535280481207,1.29299040184448e-08,1.25918571302517e-06,10.7736641070818,"GLNA_HUMAN",20,35.0721239441342,3.2055742510082e-09,4.55453019493995e-07,0.771124999999996,"Up in C",6.34155641435903,"GLUL","Glutamine synthetase","GLNA_HUMAN"
1.2159,13.854375,37.3690265406248,1.43471341328473e-09,4.71183252693424e-07,12.983126866642,"NDRG1_HUMAN",15,35.0504559713647,3.21959841701545e-09,4.55453019493995e-07,1.2159,"Up in C",6.34155641435903,"NDRG1","Protein NDRG1","NDRG1_HUMAN"
0.74395,16.2325,28.6915195123389,9.66060623192099e-09,1.18200623526534e-06,11.0749031125255,"FAS_HUMAN",149,34.9071548382905,3.31412804195975e-09,4.55453019493995e-07,0.74395,"Up in C",6.34155641435903,"FASN","Fatty acid synthase","FAS_HUMAN"
0.765500000000001,15.044975,31.894001790621,4.50458352760506e-09,7.83386989516724e-07,11.8523806160229,"CBS_HUMAN",31,34.8917535841103,3.32447459484668e-09,4.55453019493995e-07,0.765500000000001,"Up in C",6.34155641435903,"CBS","Cystathionine beta-synthase","CBS_HUMAN"
0.964124999999999,17.9029625,29.0116241777445,8.9183737998469e-09,1.16269702297036e-06,11.1571351545229,"LDHA_HUMAN",24,34.7731324154161,3.40541001505997e-09,4.58389768526655e-07,0.964124999999999,"Up in C",6.3387650845878,"LDHA","L-lactate dehydrogenase A chain","LDHA_HUMAN"
-1.1217875,10.32438125,-33.4072251154007,3.22371804671885e-09,6.35544218820207e-07,12.1877343186778,"CDHR2_HUMAN",30,-34.695873910945,3.4593314215175e-09,4.58389768526655e-07,-1.1217875,"Up in BDM",6.3387650845878,"CDHR2","Cadherin-related family member 2","CDHR2_HUMAN"
-1.829475,15.2072875,-37.8890357793776,1.29832289857278e-09,4.56275825615816e-07,13.0795514348698,"FIBG_HUMAN",29,-34.3956652450568,3.67830147856538e-09,4.79543723407161e-07,-1.829475,"Up in BDM",6.31917178897557,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
0.984725000000001,12.8030375,29.1547962420369,8.60754051992465e-09,1.14056967250083e-06,11.1935711911561,"AK1D1_HUMAN",23,34.0146441453755,3.97934071564994e-09,5.10555730231721e-07,0.984725000000001,"Up in C",6.29195684513222,"AKR1D1","Aldo-keto reductase family 1 member D1","AK1D1_HUMAN"
1.00379999999999,16.7772,31.4321230414548,5.00451726587857e-09,8.08468283151378e-07,11.7461492847749,"GSTM1_HUMAN",24,33.6296540420848,4.3123843217305e-09,5.37243605106083e-07,1.00379999999999,"Up in C",6.2698287452803,"GSTM1","Glutathione S-transferase Mu 1","GSTM1_HUMAN"
0.8157,11.48325,27.7256979769052,1.23627885711106e-08,1.24766797886947e-06,10.8201565355477,"PHKG2_HUMAN",21,33.6209408509267,4.32028137224983e-09,5.37243605106083e-07,0.8157,"Up in C",6.2698287452803,"PHKG2","Phosphorylase b kinase gamma catalytic chain, liver/testis isoform","PHKG2_HUMAN"
-2.2582375,10.12098125,-32.6031560211536,3.84355825471954e-09,6.9038847495329e-07,12.0119062388001,"SYUG_HUMAN",9,-33.0966655690258,4.82725680463017e-09,5.91192678057964e-07,-2.2582375,"Up in BDM",6.2282709533323,"SNCG","Gamma-synuclein","SYUG_HUMAN"
-0.797174999999999,13.4788375,-26.4921732247974,1.71546565141356e-08,1.48875262185346e-06,10.479473766976,"BGH3_HUMAN",32,-32.8598915278652,5.07821631952695e-09,6.12645112100543e-07,-0.797174999999999,"Up in BDM",6.21279102709362,"TGFBI","Transforming growth factor-beta-induced protein ig-h3","BGH3_HUMAN"
0.491999999999999,14.366825,20.9028441076932,9.39623200623991e-08,4.62728763825725e-06,8.67504691361346,"SERC_HUMAN",22,32.5052372793758,5.48245743145668e-09,6.51686814977417e-07,0.491999999999999,"Non-significant",6.18596106562474,"PSAT1","Phosphoserine aminotransferase","SERC_HUMAN"
0.335150000000001,15.3115,14.8824277671969,1.05203317541835e-06,2.56905865767569e-05,6.04060616064382,"HDGF_HUMAN",22,32.395329175301,5.61508970426249e-09,6.57779276515271e-07,0.335150000000001,"Non-significant",6.18191981318361,"HDGF","Hepatoma-derived growth factor","HDGF_HUMAN"
-1.221925,10.8870875,-31.3489781069904,5.10106178902886e-09,8.08468283151378e-07,11.7268259989609,"ANGL3_HUMAN",22,-32.1337397856348,5.94574003191799e-09,6.86563095399901e-07,-1.221925,"Up in BDM",6.16331954477122,"ANGPTL3","Angiopoietin-related protein 3","ANGL3_HUMAN"
0.766624999999996,15.9718125,28.0473015673642,1.13775189516661e-08,1.23522485857789e-06,10.9061134884767,"ADH1A_HUMAN",8,31.8779126733968,6.29074082018318e-09,7.16169831683671e-07,0.766624999999996,"Up in C",6.14498397738899,"ADH1A","Alcohol dehydrogenase 1A","ADH1A_HUMAN"
-0.94735,11.190075,-30.1071736492364,6.82736629761005e-09,9.68168452343545e-07,11.4306965884926,"SCMC1_HUMAN",23,-31.4948393004949,6.85089251670947e-09,7.66021367520972e-07,-0.94735,"Up in BDM",6.11575911591959,"SLC25A24","Mitochondrial adenyl nucleotide antiporter SLC25A24","SCMC1_HUMAN"
0.793725000000006,17.1034875,28.5766511800346,9.94388519089983e-09,1.18200623526534e-06,11.0451324151941,"DOPD_HUMAN",14,31.451244691379,6.91816897550797e-09,7.66021367520972e-07,0.793725000000006,"Up in C",6.11575911591959,"DDT","D-dopachrome decarboxylase","DOPD_HUMAN"
-0.719824999999997,16.1801375,-27.924422889143,1.17430403703456e-08,1.23522485857789e-06,10.873406423875,"STOM_HUMAN",17,-31.3418783226651,7.09028655272907e-09,7.70249676512226e-07,-0.719824999999997,"Up in BDM",6.11336847540503,"STOM","Stomatin","STOM_HUMAN"
-0.671450000000002,12.1608,-23.4510132595279,4.12040283544505e-08,2.66441728951219e-06,9.55649188434728,"BIEA_HUMAN",19,-31.3065396225575,7.14694120232797e-09,7.70249676512226e-07,-0.671450000000002,"Up in BDM",6.11336847540503,"BLVRA","Biliverdin reductase A","BIEA_HUMAN"
0.935224999999999,15.5659625,28.4025750492867,1.0391361612365e-08,1.18481464727856e-06,10.9997494225816,"BAAT_HUMAN",15,31.2284083615769,7.27404183387994e-09,7.73632633463837e-07,0.935224999999999,"Up in C",6.11146521907713,"BAAT","Bile acid-CoA:amino acid N-acyltransferase","BAAT_HUMAN"
0.716149999999999,15.973325,24.0987509770229,3.38836029091027e-08,2.42372710012634e-06,9.76388011568494,"AOXA_HUMAN",91,30.8633756500655,7.90306184695324e-09,8.29616219596403e-07,0.716149999999999,"Up in C",6.08112276576516,"AOX1","Aldehyde oxidase","AOXA_HUMAN"
-0.441575,12.2110625,-18.3806382801184,2.3535948524509e-07,8.56941765421651e-06,7.68127451006715,"PLOD1_HUMAN",41,-30.3388185417643,8.91864834141832e-09,9.24223519790824e-07,-0.441575,"Non-significant",6.0342229836799,"PLOD1","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1","PLOD1_HUMAN"
-1.30025,10.9668,-27.866559033083,1.19197747085334e-08,1.23522485857789e-06,10.8579467513412,"EPHA2_HUMAN",25,-30.1892779217557,9.2348717551415e-09,9.42429790345409e-07,-1.30025,"Up in BDM",6.02575099422703,"EPHA2","Ephrin type-A receptor 2","EPHA2_HUMAN"
-0.5428,11.898625,-21.7611193425995,7.04426107094077e-08,3.84721366462258e-06,8.98437414640539,"GNA13_HUMAN",21,-30.1051316835863,9.41842007234082e-09,9.42429790345409e-07,-0.5428,"Up in BDM",6.02575099422703,"GNA13","Guanine nucleotide-binding protein subunit alpha-13","GNA13_HUMAN"
-0.817620000000002,10.224365,-25.0885595745919,2.53744885985877e-08,1.9533522984989e-06,10.0691069141871,"MPZL1_HUMAN",10,-30.09349957456,9.44411889372488e-09,9.42429790345409e-07,-0.817620000000002,"Up in BDM",6.02575099422703,"MPZL1","Myelin protein zero-like protein 1","MPZL1_HUMAN"
-0.706374999999998,12.7883625,-23.4793166514826,4.08488723958817e-08,2.66275351270896e-06,9.56568550777459,"LIMC1_HUMAN",62,-29.8256268488601,1.0058632193468e-08,9.83553975006376e-07,-0.706374999999998,"Up in BDM",6.00720180208504,"LIMCH1","LIM and calponin homology domains-containing protein 1","LIMC1_HUMAN"
0.905549999999998,15.38635,25.1983960447746,2.45901340038108e-08,1.94027954538622e-06,10.1021439965869,"KHK_HUMAN",20,29.8084403567686,1.00995892521996e-08,9.83553975006376e-07,0.905549999999998,"Up in C",6.00720180208504,"KHK","Ketohexokinase","KHK_HUMAN"
0.760050000000003,13.31175,24.9473420098802,2.64250559047685e-08,2.01503515922871e-06,10.0263914545433,"ASPDH_HUMAN",17,29.7503099397272,1.02395350844627e-08,9.85311453425142e-07,0.760050000000003,"Up in C",6.00642646886923,"ASPDH","Aspartate dehydrogenase domain-containing protein","ASPDH_HUMAN"
-1.4774125,9.75566875,-28.7127189760498,9.60933452420782e-09,1.18200623526534e-06,11.080382202215,"PTPRF_HUMAN",57,-29.5731165382751,1.06799495269149e-08,1.0156003767771e-06,-1.4774125,"Up in BDM",5.99327714667958,"PTPRF","Receptor-type tyrosine-protein phosphatase F","PTPRF_HUMAN"
-0.910525,11.8819375,-35.0053136254436,2.30043671995285e-09,5.22604537805502e-07,12.52215966651,"TFR1_HUMAN",34,-29.5078386645335,1.08476102873791e-08,1.01954923201029e-06,-0.910525,"Up in BDM",5.99159179816032,"TFRC","Transferrin receptor protein 1","TFR1_HUMAN"
-1.005625,10.7089375,-26.0613192109664,1.93023929631679e-08,1.60420514692807e-06,10.3561790999063,"ADAM9_HUMAN",25,-29.4111709193933,1.1101434100753e-08,1.02695060701594e-06,-1.005625,"Up in BDM",5.98845044405246,"ADAM9","Disintegrin and metalloproteinase domain-containing protein 9","ADAM9_HUMAN"
0.767749999999999,16.358625,26.3185523436219,1.79856739345804e-08,1.53029686750751e-06,10.4300663013754,"GLYC_HUMAN",30,29.3434722790714,1.12832244743468e-08,1.02695060701594e-06,0.767749999999999,"Up in C",5.98845044405246,"SHMT1","Serine hydroxymethyltransferase, cytosolic","GLYC_HUMAN"
0.820674999999996,15.1052375,24.0634445602556,3.42422379807695e-08,2.42789482104e-06,9.75273587312876,"CK054_HUMAN",18,29.3345225406094,1.1307510085911e-08,1.02695060701594e-06,0.820674999999996,"Up in C",5.98845044405246,"C11orf54","Ester hydrolase C11orf54","CK054_HUMAN"
0.533849999999997,16.060025,20.3392084338525,1.14251937632474e-07,5.188193325187e-06,8.4644094995471,"AK1A1_HUMAN",24,29.1145332539473,1.19236131005367e-08,1.06384417640268e-06,0.533849999999997,"Up in C",5.97312197945108,"AKR1A1","Aldo-keto reductase family 1 member A1","AK1A1_HUMAN"
-0.961775000000001,12.2489875,-26.0234361806436,1.95054141026579e-08,1.60420514692807e-06,10.345227667904,"FLNC_HUMAN",102,-29.0960948355584,1.19769664793572e-08,1.06384417640268e-06,-0.961775000000001,"Up in BDM",5.97312197945108,"FLNC","Filamin-C","FLNC_HUMAN"
