"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","DM_vs_BD","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Names"
1.46539171536766,11.1387875420707,43.0530824666744,3.76314617387185e-09,7.63354201369904e-07,12.1236603229517,"RN213_HUMAN",232,63.8459415932137,4.61530860112604e-11,1.70220972679712e-08,-0.0975346565246475,"Non-significant",7.76898693216015,"RNF213","E3 ubiquitin-protein ligase RNF213","RN213_HUMAN"
1.26773492495217,14.7851273672921,44.4288944375292,3.07652305852813e-09,6.56918634128875e-07,12.3320344423231,"VIME_HUMAN",46,63.4171606967143,4.84112766460169e-11,1.70223706659067e-08,-0.0522824923197431,"Non-significant",7.76897995685862,"VIM","Vimentin","VIME_HUMAN"
-1.09015862147014,10.341593333653,-36.6494394187218,1.05478018981097e-08,1.6458627807935e-06,11.0381957159718,"SYNE2_HUMAN",160,-63.0669208018117,5.03496297734486e-11,1.70223706659067e-08,-0.0302236080169411,"Non-significant",7.76897995685862,"SYNE2","Nesprin-2","SYNE2_HUMAN"
1.58373053868611,10.7010252816336,48.2722477493363,1.80811881766117e-09,4.5847112770321e-07,12.8749141270954,"CMTR1_HUMAN",42,61.6334790783877,5.92617288656833e-11,1.88641680926747e-08,-0.284951806068424,"Non-significant",7.72436234237007,"CMTR1","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1","CMTR1_HUMAN"
1.25348250071205,12.0420969554356,43.9541592157914,3.29565308907654e-09,6.85664850378643e-07,12.2610206690024,"UBA7_HUMAN",43,61.4615003390534,6.04471740706854e-11,1.88641680926747e-08,0.234730482101437,"Non-significant",7.72436234237007,"UBA7","Ubiquitin-like modifier-activating enzyme 7","UBA7_HUMAN"
3.6056939760844,12.1586930411203,55.7827759680744,7.15613506523228e-10,2.26776903119171e-07,13.794339772035,"OAS1_HUMAN",20,58.3198624235819,8.76751489232967e-11,2.63480058653196e-08,0.708355426788334,"Up in BD",7.57925224855238,"OAS1","2'-5'-oligoadenylate synthase 1","OAS1_HUMAN"
3.37051749229431,8.51469932283674,56.961661169459,6.25810515838709e-10,2.20775066326752e-07,13.9241134756105,"XAF1_HUMAN",16,57.4081700735819,9.80322070999416e-11,2.84083331574617e-08,0.120677550633767,"Non-significant",7.54655424750738,"XAF1","XIAP-associated factor 1","XAF1_HUMAN"
3.72937838236489,8.58789130619593,76.3154672117494,9.58457358685008e-11,6.48076917364179e-08,15.6349190053088,"CLC11_HUMAN",7,54.1879297830394,1.4757503267478e-10,4.12904763835575e-08,-0.266712586085033,"Non-significant",7.3841501064797,"CLEC11A","C-type lectin domain family 11 member A","CLC11_HUMAN"
2.19848052660623,11.6613690512521,45.6049989697916,2.60242860873085e-09,5.86558492534502e-07,12.5040783028262,"DDX60_HUMAN",75,53.7364351046831,1.56587233412523e-10,4.23516270636404e-08,1.85124715169273,"Up in BD",7.37312990029934,"DDX60","Probable ATP-dependent RNA helicase DDX60","DDX60_HUMAN"
2.11165531476339,12.7351880754743,49.3672930205135,1.56603391714799e-09,4.09896748507703e-07,13.0198874765834,"ANXA1_HUMAN",23,52.8441697465832,1.76307712223769e-10,4.47915370108054e-08,-0.226871411005659,"Non-significant",7.34880403458906,"ANXA1","Annexin A1","ANXA1_HUMAN"
2.45191669464111,12.2367161342076,47.2255672670816,2.08078463089389e-09,4.83161842663742e-07,12.7324708083884,"SAMH1_HUMAN",38,52.8297497531776,1.76648901201106e-10,4.47915370108054e-08,-0.169906139373774,"Non-significant",7.34880403458906,"SAMHD1","Deoxynucleoside triphosphate triphosphohydrolase SAMHD1","SAMH1_HUMAN"
1.26351777712505,12.3945749827794,44.4934742585271,3.04803443379549e-09,6.56918634128875e-07,12.3416239021939,"RO52_HUMAN",27,52.5545074112308,1.83307955245032e-10,4.50715378441876e-08,1.43508346875506,"Up in BD",7.34609762351654,"TRIM21","E3 ubiquitin-protein ligase TRIM21","RO52_HUMAN"
2.87645737330119,13.4987460545131,56.5325354364325,6.56902632951909e-10,2.22087831823825e-07,13.8772885295229,"UB2L6_HUMAN",12,51.339002381438,2.16354928169001e-10,5.11793764632151e-08,-0.208962361017868,"Non-significant",7.29090500958276,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","UB2L6_HUMAN"
0.918555895487449,11.1581701551165,31.3817337966565,2.8438109233545e-08,3.16091531946554e-06,9.96833481851807,"PAR14_HUMAN",91,51.1929882849405,2.20763886641919e-10,5.11793764632151e-08,-0.116212685902907,"Non-significant",7.29090500958276,"PARP14","Protein mono-ADP-ribosyltransferase PARP14","PAR14_HUMAN"
4.38578875859577,11.7056447437831,52.0202830414509,1.11969536598209e-09,3.22702730894828e-07,13.3549538708638,"ISG20_HUMAN",11,50.8109505953834,2.32792781139065e-10,5.24689062822882e-08,-0.195643941561381,"Non-significant",7.2800979886036,"ISG20","Interferon-stimulated gene 20 kDa protein","ISG20_HUMAN"
3.78170482317609,9.54017829895021,51.7804127451902,1.15336199112029e-09,3.22702730894828e-07,13.3255592193538,"AMY1B_HUMAN",12,50.4337298506082,2.45408863543144e-10,5.30279564130715e-08,0.227194786071779,"Non-significant",7.2754951093632,"AMY1B;AMY1C;AMY1A","Alpha-amylase 1B;Alpha-amylase 1C;Alpha-amylase 1A","AMY1B_HUMAN"
-1.17308656374611,14.727107320513,-37.4017244762738,9.26220255876595e-09,1.47359826591818e-06,11.1767082945169,"ACOHC_HUMAN",48,-50.3491405371662,2.4834389249405e-10,5.30279564130715e-08,-0.518750111262051,"Up in DM",7.2754951093632,"ACO1","Cytoplasmic aconitate hydratase","ACOHC_HUMAN"
1.76060024897257,16.8586691447667,51.1052591837945,1.25458335056291e-09,3.39322976882248e-07,13.2418828390258,"HLAA_HUMAN",17,49.3087700612482,2.87920158186658e-10,5.99021580391421e-08,0.533384164174358,"Up in BD",7.22255753140687,"HLA-A","HLA class I histocompatibility antigen, A alpha chain","HLAA_HUMAN"
2.37749012311301,10.0421735218593,52.4005477602972,1.06862286172932e-09,3.21140959261915e-07,13.4011996581342,"HLAF_HUMAN",14,49.0785397361445,2.97622327915426e-10,6.03726892176442e-08,0.114363908767675,"Non-significant",7.21915947867077,"HLA-F","HLA class I histocompatibility antigen, alpha chain F","HLAF_HUMAN"
2.07565212249756,13.8373482567923,47.3508853782001,2.04575268950669e-09,4.83161842663742e-07,12.7497302102433,"FGL1_HUMAN",17,47.1303363646393,3.9648061747093e-10,7.84644812233933e-08,-0.1345822016398,"Non-significant",7.10532689229345,"FGL1","Fibrinogen-like protein 1","FGL1_HUMAN"
0.845830519994095,11.8071562903268,30.0568992147621,3.74548907418052e-08,3.75196275900009e-06,9.66769560947103,"DSRAD_HUMAN",59,46.8072904165059,4.1626449061605e-10,8.04183351633007e-08,-0.213755369186366,"Non-significant",7.09464492199257,"ADAR","Double-stranded RNA-specific adenosine deaminase","DSRAD_HUMAN"
1.78827873865762,10.4044203077044,39.3219762874315,6.72332769154282e-09,1.16070384870592e-06,11.5162067074689,"TDRD7_HUMAN",52,46.0783242590465,4.65186875156567e-10,8.73113293335013e-08,-0.0124580860137922,"Non-significant",7.05892939950419,"TDRD7","Tudor domain-containing protein 7","TDRD7_HUMAN"
-0.647580146789545,13.9913967677525,-24.2257899318688,1.48073962974088e-07,9.17154301963166e-06,8.14919453932442,"LPPRC_HUMAN",87,-45.9573522536564,4.73924594936168e-10,8.73113293335013e-08,-0.282601992289223,"Non-significant",7.05892939950419,"LRPPRC","Leucine-rich PPR motif-containing protein, mitochondrial","LPPRC_HUMAN"
1.77416944503787,10.2254333496094,40.8385509411319,5.2770213894789e-09,9.5150559009404e-07,11.7709903117673,"KPCD2_HUMAN",30,45.6969644670303,4.93374838392222e-10,8.73113293335013e-08,-0.793680985768635,"Up in DM",7.05892939950419,"PRKD2","Serine/threonine-protein kinase D2","KPCD2_HUMAN"
1.79536040623986,15.5182228088379,41.0515116229441,5.10421091289834e-09,9.41262894255844e-07,11.8058777502984,"FIBG_HUMAN",29,45.6759144311562,4.94986584833752e-10,8.73113293335013e-08,0.5122969150543,"Up in BD",7.05892939950419,"FGG","Fibrinogen gamma chain","FIBG_HUMAN"
-1.160440603892,13.8404346193586,-36.0857975324728,1.16469689246355e-08,1.75006492323135e-06,10.9322713088599,"CP2A6_HUMAN",38,-45.4839265815937,5.09967015742386e-10,8.80398375688026e-08,-0.362315575281777,"Non-significant",7.05532076737991,"CYP2A6","Cytochrome P450 2A6","CP2A6_HUMAN"
1.84253986676537,11.9410374505179,42.0250793143285,4.39296294753989e-09,8.32822457166588e-07,11.962691557664,"E2AK2_HUMAN",23,44.9452314774975,5.54838550946277e-10,9.37908333828768e-08,-0.250253677368184,"Non-significant",7.02783960517924,"EIF2AK2","Interferon-induced, double-stranded RNA-activated protein kinase","E2AK2_HUMAN"
1.99649715423585,13.4005581992013,42.4167125246451,4.13964932849863e-09,8.19246698815559e-07,12.0245624679294,"LG3BP_HUMAN",20,44.128460217124,6.31738690042223e-10,1.02633813189167e-07,-0.134212811787892,"Non-significant",6.98870953530409,"LGALS3BP","Galectin-3-binding protein","LG3BP_HUMAN"
-1.15525197982788,11.3608578273228,-33.7176865743697,1.79756317720368e-08,2.27897306559854e-06,10.4658125577896,"DPYD_HUMAN",55,-44.1214543869357,6.32448935107018e-10,1.02633813189167e-07,0.111878712972008,"Non-significant",6.98870953530409,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","DPYD_HUMAN"
2.77817098299663,11.6101115090506,65.3888220864231,2.58310089481974e-10,1.16440448114263e-07,14.7569770771393,"PLS1_HUMAN",7,42.8210291598441,7.81567131068836e-10,1.24345798068481e-07,0.0431505839029747,"Non-significant",6.90536888595902,"PLSCR1","Phospholipid scramblase 1","PLS1_HUMAN"
1.38444797197979,12.6432567323957,35.4149057484826,1.31320678250541e-08,1.83713100573257e-06,10.8037126560126,"AMPE_HUMAN",38,41.7824283321523,9.29844184391324e-10,1.45091456002908e-07,0.026769320170084,"Non-significant",6.83835816109804,"ENPEP","Glutamyl aminopeptidase","AMPE_HUMAN"
1.43508346875506,11.9464120864868,38.948760752675,7.14643618989966e-09,1.18405625048678e-06,11.4517457751607,"5NTD_HUMAN",22,41.433860656419,9.86615682872721e-10,1.51045276430741e-07,0.486030975977535,"Non-significant",6.82089285166935,"NT5E","5'-nucleotidase","5NTD_HUMAN"
-0.820055802663163,16.693913596017,-26.9192808097978,7.56692618336216e-08,5.94531329861511e-06,8.89422071864542,"AL1L1_HUMAN",79,-40.8061886027102,1.09911038655812e-09,1.65151512528381e-07,0.462916056315148,"Non-significant",6.78211744449923,"ALDH1L1","Cytosolic 10-formyltetrahydrofolate dehydrogenase","AL1L1_HUMAN"
2.17238505681355,9.23678731918334,36.5318058584877,1.0766941380142e-08,1.64835778034854e-06,11.0162430199469,"SAMD9_HUMAN",42,40.4407223939004,1.17132153251319e-09,1.7224245514923e-07,-0.100366353988635,"Non-significant",6.76385979269361,"SAMD9","Sterile alpha motif domain-containing protein 9","SAMD9_HUMAN"
1.77957630157473,14.9671990530832,35.8505812082708,1.21444045295991e-08,1.78415494228074e-06,10.8875093216525,"FIBB_HUMAN",38,40.3563229542643,1.18875739319163e-09,1.7224245514923e-07,0.160006841023762,"Non-significant",6.76385979269361,"FGB","Fibrinogen beta chain","FIBB_HUMAN"
-1.23155411084493,16.0820951461792,-34.3982498270515,1.58201294115006e-08,2.13940883408193e-06,10.6035545723005,"ALDOC_HUMAN",31,-40.039696483657,1.2568585722639e-09,1.78914920269285e-07,-0.02358595530192,"Non-significant",6.74735344076059,"ALDOC","Fructose-bisphosphate aldolase C","ALDOC_HUMAN"
2.01902500788369,15.230428150722,35.040574578573,1.40553316201918e-08,1.93296543671586e-06,10.7307775124884,"FIBA_HUMAN",43,38.9735694493148,1.52113257717954e-09,2.09407502609995e-07,0.00943986574806388,"Non-significant",6.67900776256286,"FGA","Fibrinogen alpha chain","FIBA_HUMAN"
-1.34253549575805,11.4132691792079,-40.6709467373678,5.4177893226718e-09,9.55650925307804e-07,11.7433823307865,"FADS1_HUMAN",17,-38.9679577248769,1.52268211165759e-09,2.09407502609995e-07,-0.371393998463958,"Non-significant",6.67900776256286,"FADS1","Acyl-CoA (8-3)-desaturase","FADS1_HUMAN"
-0.962183952331541,9.86691720145089,-29.835066899242,3.92684395328527e-08,3.75508371191836e-06,9.61594266692231,"ABCA6_HUMAN",44,-38.7952463496931,1.57126372062597e-09,2.12487230485985e-07,-0.279908974965418,"Non-significant",6.67266716394829,"ABCA6","ATP-binding cassette sub-family A member 6","ABCA6_HUMAN"
2.20229283968607,10.0108594894409,38.8225858631083,7.29637817652686e-09,1.18405625048678e-06,11.4297907300521,"TREX1_HUMAN",15,38.4233861850526,1.68198528054177e-09,2.23731615841245e-07,-0.153225739796955,"Non-significant",6.65027264077953,"TREX1","Three-prime repair exonuclease 1","TREX1_HUMAN"
-1.07985695203141,13.8911140986851,-33.6197253186919,1.83130356477329e-08,2.286030326857e-06,10.445729704547,"AL8A1_HUMAN",26,-38.14508053007,1.77068538215188e-09,2.31731309528715e-07,-0.144528945287099,"Non-significant",6.63501528413442,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","AL8A1_HUMAN"
-1.24987665812176,14.7000710623605,-32.5237412020493,2.26328162466735e-08,2.70062751508101e-06,10.216493491381,"CP2C8_HUMAN",33,-37.7103613449535,1.92012521448896e-09,2.47299936354975e-07,0.0841731230418254,"Non-significant",6.60677599540856,"CYP2C8","Cytochrome P450 2C8","CP2C8_HUMAN"
-1.08540614446008,10.8567160197667,-32.8210073198548,2.13546018170277e-08,2.58613789766213e-06,10.2795095032464,"ACO12_HUMAN",27,-37.4977969255566,1.9983985879884e-09,2.53359470983404e-07,-0.221977869669558,"Non-significant",6.59626285644554,"ACOT12","Acetyl-coenzyme A thioesterase","ACO12_HUMAN"
-0.884535392125418,15.2285564967564,-27.7304072711853,6.26222358119654e-08,5.34859811977144e-06,9.1031349540454,"TRFE_HUMAN",51,-37.3874222216077,2.04047358087842e-09,2.54713886696116e-07,-0.4203249613444,"Non-significant",6.59394737717579,"TF","Serotransferrin","TRFE_HUMAN"
-0.907674392064429,10.729286466326,-26.6806796470833,8.00868834836633e-08,6.18880926272804e-06,8.83148450147481,"CGNL1_HUMAN",84,-36.949943574863,2.21747712627002e-09,2.72615293978106e-07,0.241741577784216,"Non-significant",6.56444978348308,"CGNL1","Cingulin-like protein 1","CGNL1_HUMAN"
1.17241390546164,10.7941188812256,31.4955061918483,2.77883652993619e-08,3.16091531946554e-06,9.99350096480636,"PAR12_HUMAN",33,36.7806818845948,2.29060957285476e-09,2.77403075733485e-07,-0.0488742987315334,"Non-significant",6.55688872795388,"PARP12","Protein mono-ADP-ribosyltransferase PARP12","PAR12_HUMAN"
2.72658832867939,10.1045560836792,35.7730945254591,1.23136155740352e-08,1.78415494228074e-06,10.8726904287235,"IRF9_HUMAN",16,36.648600008311,2.3495910576e-09,2.80361497667153e-07,-0.252050797144575,"Non-significant",6.5522816287183,"IRF9","Interferon regulatory factor 9","IRF9_HUMAN"
-4.15487921237948,9.71232639040266,-41.9944356076182,4.41352793420795e-09,8.32822457166588e-07,11.9578215386559,"NUA4L_HUMAN",5,-36.4285807981705,2.45172815829167e-09,2.88309018498241e-07,-0.266242980957049,"Non-significant",6.54014177237849,"NDUFA4L2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 4-like 2","NUA4L_HUMAN"
2.11067565282186,10.7841201509748,47.2137130171441,2.08413415001614e-09,4.83161842663742e-07,12.7308352605467,"SYUG_HUMAN",9,36.0881008240712,2.61992733249023e-09,2.99105885275662e-07,0.192876895268759,"Non-significant",6.52417504160727,"SNCG","Gamma-synuclein","SYUG_HUMAN"
2.74543897310894,10.9188458578927,33.838237546463,1.75702304031233e-08,2.27117443905063e-06,10.490437123131,"GBP4_HUMAN",27,36.0376647755171,2.64594519312887e-09,2.99105885275662e-07,-0.0365001360575583,"Non-significant",6.52417504160727,"GBP4","Guanylate-binding protein 4","GBP4_HUMAN"
-0.707362174987804,16.6921580178397,-26.5159848299333,8.33100429085107e-08,6.37714800150619e-06,8.78783106189144,"G6PI_HUMAN",35,-36.0219121637547,2.65413159229081e-09,2.99105885275662e-07,0.542761405309044,"Up in BD",6.52417504160727,"GPI","Glucose-6-phosphate isomerase","G6PI_HUMAN"
1.51589306195581,10.8761205673218,31.4479729913147,2.80577157738775e-08,3.16091531946554e-06,9.98299893738032,"PAR10_HUMAN",43,35.9073004944485,2.71457061928312e-09,3.01726383628263e-07,-0.114157199859658,"Non-significant",6.52038671248598,"PARP10","Protein mono-ADP-ribosyltransferase PARP10","PAR10_HUMAN"
0.883424679438289,11.3262427193778,28.7961783690074,4.9233947652177e-08,4.38993682692048e-06,9.36787733402707,"ABCD1_HUMAN",33,35.6543516590713,2.85359692874434e-09,3.09642307700534e-07,-0.00782108306884766,"Non-significant",6.50913970449571,"ABCD1","ATP-binding cassette sub-family D member 1","ABCD1_HUMAN"
-0.619676748911543,10.2494648524693,-22.8177091368408,2.1668508840648e-07,1.20254147267158e-05,7.72426797247582,"PLPL6_HUMAN",52,-35.6393188037265,2.86211154517378e-09,3.09642307700534e-07,1.85567458470662,"Up in BD",6.50913970449571,"PNPLA6","Patatin-like phospholipase domain-containing protein 6","PLPL6_HUMAN"
1.82243458429972,9.21658624921526,31.1300830321172,2.99385889545142e-08,3.28272582130984e-06,9.91231210217203,"TRNK1_HUMAN",78,35.2919860905029,3.06714318087237e-09,3.27457891705242e-07,0.192637840906778,"Non-significant",6.48484453865176,"TRANK1","TPR and ankyrin repeat-containing protein 1","TRNK1_HUMAN"
0.812429745992024,15.9933237348284,28.4615505250951,5.30453779681032e-08,4.62806663261494e-06,9.28590692882899,"APOE_HUMAN",29,34.5867813834178,3.5371369031783e-09,3.72731543277776e-07,-1.05190138022105,"Up in DM",6.4286038525056,"APOE","Apolipoprotein E","APOE_HUMAN"
1.07370781898495,10.150463104248,28.8892948057124,4.82302509103835e-08,4.34822506540946e-06,9.39050422764933,"LCAP_HUMAN",34,33.9293216698198,4.05054377579113e-09,4.21360412779092e-07,0.278101921081545,"Non-significant",6.37534626920062,"LNPEP","Leucyl-cystinyl aminopeptidase","LCAP_HUMAN"
-0.743006785710648,15.8333376475743,-25.4721670139392,1.07597072180087e-07,7.62669998949164e-06,8.50428579728257,"FTCD_HUMAN",36,-33.1554742905407,4.76713672257461e-09,4.7980817503199e-07,-0.962183952331543,"Up in DM",6.31893235674118,"FTCD","Formimidoyltransferase-cyclodeaminase","FTCD_HUMAN"
-1.19875701268515,11.2128091539655,-29.0834353208316,4.62126343679768e-08,4.21313837372768e-06,9.43742689911778,"EHD2_HUMAN",32,-33.1083722943091,4.81522044827351e-09,4.7980817503199e-07,-0.629960457483927,"Up in DM",6.31893235674118,"EHD2","EH domain-containing protein 2","EHD2_HUMAN"
1.54717127482096,10.3707724979946,30.3058962145132,3.5533363340827e-08,3.71076895656821e-06,9.72529228825016,"ECE1_HUMAN",28,33.0716542638699,4.85308746595158e-09,4.7980817503199e-07,-0.0277129014332758,"Non-significant",6.31893235674118,"ECE1","Endothelin-converting enzyme 1","ECE1_HUMAN"
0.850048065185559,15.7224627903529,25.3849311174868,1.0997336686844e-07,7.62669998949164e-06,8.48003405463147,"AMPN_HUMAN",49,33.023366049504,4.90340464519529e-09,4.7980817503199e-07,-0.141775687535608,"Non-significant",6.31893235674118,"ANPEP","Aminopeptidase N","AMPN_HUMAN"
1.59578212102256,9.84644835335869,33.4721989065552,1.88350538493158e-08,2.31557010505074e-06,10.415361890157,"ACES_HUMAN",16,33.0189176285244,4.90806982100754e-09,4.7980817503199e-07,0.0897137324015596,"Non-significant",6.31893235674118,"ACHE","Acetylcholinesterase","ACES_HUMAN"
-0.896867354710849,13.1230418341501,-29.8343740007614,3.92742609360066e-08,3.75508371191836e-06,9.61578035961679,"BUP1_HUMAN",23,-32.5518314115647,5.42731037789873e-09,5.24252338169884e-07,-0.0864969094594308,"Non-significant",6.28045962390122,"UPB1","Beta-ureidopropionase","BUP1_HUMAN"
1.52915247281395,10.7331255504063,29.8268890840609,3.93372092079197e-08,3.75508371191836e-06,9.61402680126649,"IFIT5_HUMAN",24,31.938920329312,6.2064408637681e-09,5.92459543160169e-07,-0.415245135625201,"Non-significant",6.22734130064643,"IFIT5","Interferon-induced protein with tetratricopeptide repeats 5","IFIT5_HUMAN"
1.01963480313619,11.2987993785313,33.8189998429922,1.76342111979529e-08,2.27117443905063e-06,10.4865140858941,"T23O_HUMAN",17,31.8706568844098,6.30085339456552e-09,5.94478191203543e-07,0.883424679438292,"Up in BD",6.22586407311205,"TDO2","Tryptophan 2,3-dioxygenase","T23O_HUMAN"
