"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","D_vs_I","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc","Protein.Ids"
0.107155323028525,22.8361399173737,4.45135215244065,0.0025622123230273,0.307913794305323,-1.21252410120052,"P28838",43,5.85924229471362,0.000251633368527911,0.12959131625654,-0.107155323028525,"Non-significant",0.887424098991807,"LAP3","Cytosol aminopeptidase","P28838"
0.0945782661438201,24.1683557033539,4.22419154437893,0.00342418149673976,0.307913794305323,-1.45073829102416,"P30101;H7BZJ3",48,5.85687796909597,0.000252368678201636,0.12959131625654,-0.0945782661438237,"Non-significant",0.887424098991807,"PDIA3","Protein disulfide-isomerase A3","P30101;H7BZJ3"
-0.230749607086175,20.0955202579498,-5.09603545782454,0.00117240997228885,0.307913794305323,-0.58946127334941,"P04196",20,-5.64779868863125,0.000327631111947422,0.132758046818517,0.230749607086178,"Non-significant",0.876939145704382,"HRG","Histidine-rich glycoprotein","P04196"
0.119092464447043,23.238653421402,5.47116540795835,0.000764201582803613,0.307913794305323,-0.261711590140491,"P49773;D6RE99;A0A6Q8PGQ8;D6REP8;D6RC06;H0YC49;D6RD60",14,5.60762557655913,0.000344714175445678,0.132758046818517,-0.119092464447053,"Non-significant",0.876939145704382,"HINT1","Histidine triad nucleotide-binding protein 1","P49773;D6RE99;A0A6Q8PGQ8;D6REP8;D6RC06;H0YC49;D6RD60"
0.161531448364247,19.090847492218,4.85091695120608,0.00156715223809588,0.307913794305323,-0.817249882670418,"Q9P2R3",33,5.70299556296565,0.000305641140891997,0.132758046818517,-0.161531448364251,"Non-significant",0.876939145704382,"ANKFY1","Rabankyrin-5","Q9P2R3"
0.143921375274708,19.7550303936005,6.00886430492167,0.000427361271480598,0.277113499197829,0.166479572325588,"Q9Y3L5;P61225;P10114;F6U784",11,5.74183472690002,0.000291130684124712,0.132758046818517,-0.143921375274701,"Non-significant",0.876939145704382,"RAP2B","Ras-related protein Rap-2b","Q9Y3L5;P61225;P10114;F6U784"
0.907563209533723,19.8789114952087,4.89450113195883,0.00148741050360169,0.307913794305323,-0.775941102930182,"P05161;A0A096LNZ9;A0A096LPJ4",12,5.34645731853903,0.00048230671331357,0.152079069251744,-0.907563209533727,"Non-significant",0.817930554086252,"ISG15","Ubiquitin-like protein ISG15","P05161;A0A096LNZ9;A0A096LPJ4"
0.209627151489251,23.3701739311218,5.95633182459347,0.000451605799370558,0.277113499197829,0.126704511640758,"P06753;A0A2R8YH90;A0A494C034;A0A2R8Y5V9;A0A2R8YHD2;A0A2R2Y2Q3",7,5.41280842111967,0.000442461151790132,0.152079069251744,-0.209627151489247,"Non-significant",0.817930554086252,"TPM3","Tropomyosin alpha-3 chain","P06753;A0A2R8YH90;A0A494C034;A0A2R8Y5V9;A0A2R8YHD2;A0A2R2Y2Q3"
0.0922994613647248,23.6995005607605,3.92393777460823,0.00508337697770744,0.31785875048635,-1.78064273068537,"P36871;A0A3B3ITK7",51,5.32872329981874,0.000493602951157883,0.152079069251744,-0.0922994613647248,"Non-significant",0.817930554086252,"PGM1","Phosphoglucomutase-1","P36871;A0A3B3ITK7"
-0.209611415863048,17.0603973865509,-5.8702904720226,0.000494684922294079,0.277113499197829,0.0606178326624853,"P50895;A0A087WXM8",7,-5.35841610969337,0.000474847353495738,0.152079069251744,0.209611415863048,"Non-significant",0.817930554086252,"BCAM","Basal cell adhesion molecule","P50895;A0A087WXM8"
0.0972661972046254,24.7367639541626,4.62106425681536,0.00207344343397092,0.307913794305323,-1.04095931782444,"A6NHG4;P30046;J3KQ18;B5MC82",18,5.18285066011475,0.000598155321449081,0.160253612642141,-0.0972661972046254,"Non-significant",0.795192171276465,"DDT","D-dopachrome decarboxylase","A6NHG4;P30046;J3KQ18;B5MC82"
0.153409957885721,23.6427011489868,4.45366397093286,0.00255476249220652,0.307913794305323,-1.21015031463064,"Q00796;A0A6I8PIS1",33,5.20978858031281,0.000577174722373353,0.160253612642141,-0.153409957885724,"Non-significant",0.795192171276465,"SORD","Sorbitol dehydrogenase","Q00796;A0A6I8PIS1"
-0.181017398834197,18.1096041202545,-4.84387647795672,0.00158046907081218,0.307913794305323,-0.82395578749005,"Q6P2E9",15,-5.22683112881237,0.000564312940967835,0.160253612642141,0.1810173988342,"Non-significant",0.795192171276465,"EDC4","Enhancer of mRNA-decapping protein 4","Q6P2E9"
0.955164432525653,18.3450963497162,4.68858388271889,0.00190823446691596,0.307913794305323,-0.974217060553758,"P29728;A0A087X0V5",19,5.13375041567274,0.000638548488851487,0.163947324512619,-0.955164432525649,"Non-significant",0.785295666270534,"OAS2","2'-5'-oligoadenylate synthase 2","P29728;A0A087X0V5"
0.129350662231424,23.8076815605164,4.43983132018854,0.00259969402879406,0.307913794305323,-1.22436890797753,"O14756;G3V3Y9;G3V508",16,4.81121939037493,0.000989373661152406,0.168837151374029,-0.129350662231428,"Non-significant",0.772531983886599,"HSD17B6","17-beta-hydroxysteroid dehydrogenase type 6","O14756;G3V3Y9;G3V508"
0.643504142761252,19.8257989883423,4.07066344656936,0.00418377882547433,0.307913794305323,-1.6172994510827,"O14879",19,4.45846984907333,0.00162500814279406,0.168837151374029,-0.643504142761252,"Non-significant",0.772531983886599,"IFIT3","Interferon-induced protein with tetratricopeptide repeats 3","O14879"
-0.16808366775512,17.4956686496735,-4.38165416605394,0.00279835097382206,0.307913794305323,-1.28456800345988,"O15042;H0Y8D9;E7ET15",12,-4.59156895575374,0.00134468396905343,0.168837151374029,0.168083667755127,"Non-significant",0.772531983886599,"U2SURP","U2 snRNP-associated SURP motif-containing protein","O15042;H0Y8D9;E7ET15"
0.0921392440796041,24.1080322265625,3.73213450987505,0.00658884233732866,0.33130893075319,-2.00020184101773,"O60701",49,4.92752083573361,0.00084340375960199,0.168837151374029,-0.0921392440796005,"Non-significant",0.772531983886599,"UGDH","UDP-glucose 6-dehydrogenase","O60701"
0.314416885376023,19.1391372680664,5.29427017583782,0.000932869791481858,0.307913794305323,-0.41318162538442,"P00488;Q9NQP5;A6PVK5",4,4.72648727185544,0.00111276872601491,0.168837151374029,-0.314416885376023,"Non-significant",0.772531983886599,"F13A1","Coagulation factor XIII A chain","P00488;Q9NQP5;A6PVK5"
0.0853810310364125,24.3089144229889,3.58302330261783,0.00809093453195208,0.336876352618005,-2.17548574333786,"P00505",45,4.7646952466265,0.00105519170981542,0.168837151374029,-0.0853810310364018,"Non-significant",0.772531983886599,"GOT2","Aspartate aminotransferase, mitochondrial","P00505"
0.314150810241699,19.3277258872986,4.33247183496392,0.00297925808360517,0.307913794305323,-1.33596262530058,"P01893;A0A1W2PR11;A0A140T9U0;A0A140T912;A0A1W2PRX1;A0A1W2PNZ7;A0A1W2PP77;A0A140T9M0;A0A140T930;Q5QT33;A0A1W2PRZ0;Q53YP1;A0A140T9J9;A0A140T962;A0A140T9B3;O78179;A0A140T9W2;A0A140T937;A2BF26;A0A0G2JPT2;A0A0G2JIF0;A0A1W2PS56;Q5RIP0;A0A0G2JH50",8,4.56486907207439,0.00139645495837624,0.168837151374029,-0.314150810241699,"Non-significant",0.772531983886599,"HLA-C","HLA class I histocompatibility antigen, C alpha chain","P01893;A0A1W2PR11;A0A140T9U0;A0A140T912;A0A1W2PRX1;A0A1W2PNZ7;A0A1W2PP77;A0A140T9M0;A0A140T930;Q5QT33;A0A1W2PRZ0;Q53YP1;A0A140T9J9;A0A140T962;A0A140T9B3;O78179;A0A140T9W2;A0A140T937;A2BF26;A0A0G2JPT2;A0A0G2JIF0;A0A1W2PS56;Q5RIP0;A0A0G2JH50"
0.0920057296752788,26.381031036377,3.64541342179512,0.00742184013573897,0.33130893075319,-2.10166564590402,"P05062;A0A3B3IS80;A0A087WXX2",37,4.62300829601271,0.0012863496614056,0.168837151374029,-0.0920057296752752,"Non-significant",0.772531983886599,"ALDOB","Fructose-bisphosphate aldolase B","P05062;A0A3B3IS80;A0A087WXX2"
0.169681549072259,23.5144515037537,4.1623623873965,0.00371034690423717,0.307913794305323,-1.51727782508798,"P06744;A0A0J9YXP8;A0A0J9YX90;A0A2U3TZU2;A0A2R8Y6C7;A0A0J9YYH3;K7EPY4;K7ENA0;K7EQ48",37,4.79614867008748,0.00101019710067213,0.168837151374029,-0.169681549072251,"Non-significant",0.772531983886599,"GPI","Glucose-6-phosphate isomerase","P06744;A0A0J9YXP8;A0A0J9YX90;A0A2U3TZU2;A0A2R8Y6C7;A0A0J9YYH3;K7EPY4;K7ENA0;K7EQ48"
0.119532108306871,25.1389796733856,3.70783595019653,0.00681158294587957,0.33130893075319,-2.02849549582915,"P08319;P00325;A0A0D9SFB5;D6R9K8;D6RHZ6;H0Y9N0;D6RIB1;V9HW50",40,4.44076860523551,0.0016667734493134,0.168837151374029,-0.119532108306874,"Non-significant",0.772531983886599,"ADH4","All-trans-retinol dehydrogenase [NAD(+)] ADH4","P08319;P00325;A0A0D9SFB5;D6R9K8;D6RHZ6;H0Y9N0;D6RIB1;V9HW50"
0.7037897109985,18.9691390991211,4.14985720673342,0.00377133210861697,0.307913794305323,-1.53082406326299,"P09914",25,4.54991455169494,0.00142638243985899,0.168837151374029,-0.7037897109985,"Non-significant",0.772531983886599,"IFIT1","Interferon-induced protein with tetratricopeptide repeats 1","P09914"
0.105770111084002,21.3252277374268,3.80001525934644,0.00600717755291655,0.33130893075319,-1.9217265834487,"P12955;A0A494C165;K7ES25;A0A494C194",27,4.51123941494229,0.00150701603356675,0.168837151374029,-0.105770111084002,"Non-significant",0.772531983886599,"PEPD","Xaa-Pro dipeptidase","P12955;A0A494C165;K7ES25;A0A494C194"
0.106568813324003,22.443342924118,4.20591782137876,0.00350617211244656,0.307913794305323,-1.47032846338218,"P15428;E9PBZ2",18,4.68099484816209,0.00118576308668427,0.168837151374029,-0.106568813324003,"Non-significant",0.772531983886599,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]","P15428;E9PBZ2"
0.186743736267054,21.2820887565613,4.38274199833941,0.00279448768115683,0.307913794305323,-1.28343644948214,"P32456;P32455",27,4.95813183593021,0.000808966435959261,0.168837151374029,-0.186743736267051,"Non-significant",0.772531983886599,"GBP1","Guanylate-binding protein 1","P32456;P32455"
0.0727486610412527,23.8590352535248,3.54170665335135,0.00856951199398435,0.336876352618005,-2.22474429657101,"P34896;A0A087WTD8;J3KRZ5",36,4.91257023887047,0.000860794623719992,0.168837151374029,-0.0727486610412491,"Non-significant",0.772531983886599,"SHMT1","Serine hydroxymethyltransferase, cytosolic","P34896;A0A087WTD8;J3KRZ5"
0.613955020904545,20.8245804309845,4.09557696052943,0.00404897494763882,0.307913794305323,-1.58996711596885,"P42224;A0A669KB52;A0A669KB68;A0A669KB75;A0A669KBA4;A0A669KB53;E7EPD2;A0A669KBI6;A0A669KB56;J3KPM9",39,4.49936044058809,0.00153275280396937,0.168837151374029,-0.613955020904548,"Non-significant",0.772531983886599,"STAT1","Signal transducer and activator of transcription 1-alpha/beta","P42224;A0A669KB52;A0A669KB68;A0A669KB75;A0A669KBA4;A0A669KB53;E7EPD2;A0A669KBI6;A0A669KB56;J3KPM9"
-0.143208026885997,18.5575864315033,-4.07785447646762,0.0041443753596714,0.307913794305323,-1.60939819905608,"P46934;H0Y8X6",18,-4.50183547270349,0.00152735185621495,0.168837151374029,0.143208026886001,"Non-significant",0.772531983886599,"NEDD4","E3 ubiquitin-protein ligase NEDD4","P46934;H0Y8X6"
0.12989330291747,22.3031406402588,4.61640657418651,0.00208540502881167,0.307913794305323,-1.04559506196487,"P49721;A0A087WVV1",13,4.76862717548861,0.00104945094600611,0.168837151374029,-0.129893302917477,"Non-significant",0.772531983886599,"PSMB2","Proteasome subunit beta type-2","P49721;A0A087WVV1"
0.110981464385972,19.2898709774017,4.1766166217276,0.00364213749806103,0.307913794305323,-1.50187316270311,"P51589;A0A3B3IT99",24,4.90772464845686,0.000866513732838281,0.168837151374029,-0.110981464385976,"Non-significant",0.772531983886599,"CYP2J2","Cytochrome P450 2J2","P51589;A0A3B3IT99"
0.0943264961242534,25.0040323734284,3.73656158858816,0.00654911216246105,0.33130893075319,-1.99505833271921,"P51857",25,4.46137039511159,0.00161827195422015,0.168837151374029,-0.0943264961242498,"Non-significant",0.772531983886599,"AKR1D1","Aldo-keto reductase family 1 member D1","P51857"
1.11375284194947,15.0682027339935,4.21752128381306,0.00345386509145877,0.307913794305323,-1.45788171436265,"Q00978;H0YMB0;H0YNP4",2,4.44575411752667,0.00165489531902072,0.168837151374029,-1.11375284194948,"Non-significant",0.772531983886599,"IRF9","Interferon regulatory factor 9","Q00978;H0YMB0;H0YNP4"
-0.104191780090325,19.6367955207825,-3.92921790760006,0.00504759314977762,0.31785875048635,-1.77469460520819,"Q0VF96",53,-5.06795688484063,0.000697360574436237,0.168837151374029,0.104191780090325,"Non-significant",0.772531983886599,"CGNL1","Cingulin-like protein 1","Q0VF96"
0.106511592864972,20.8961164951325,3.59160490607416,0.00799517782420029,0.336876352618005,-2.16529161585226,"Q12882",53,4.46186286691156,0.00161713121693935,0.168837151374029,-0.106511592864972,"Non-significant",0.772531983886599,"DPYD","Dihydropyrimidine dehydrogenase [NADP(+)]","Q12882"
0.0996456146239986,23.5395441055298,3.73807470123507,0.0065355922365861,0.33130893075319,-1.99330116616436,"Q15084",31,4.56111300521979,0.00140390784959608,0.168837151374029,-0.0996456146239986,"Non-significant",0.772531983886599,"PDIA6","Protein disulfide-isomerase A6","Q15084"
0.14103174209593,23.8029692173004,3.80947891427229,0.00593058828896785,0.33130893075319,-1.91085257351564,"Q3LXA3;H0YCY6;I3L252",49,4.49360376872793,0.00154539416956595,0.168837151374029,-0.141031742095926,"Non-significant",0.772531983886599,"TKFC","Triokinase/FMN cyclase","Q3LXA3;H0YCY6;I3L252"
-0.175887107849071,16.8420753479004,-4.50118730984303,0.00240675010206649,0.307913794305323,-1.16157826319699,"Q5T160",14,-4.8225453414,0.000974028584713266,0.168837151374029,0.175887107849075,"Non-significant",0.772531983886599,"RARS2","Probable arginine--tRNA ligase, mitochondrial","Q5T160"
-0.14451408386233,18.018087387085,-4.090728019935,0.00407483749884208,0.307913794305323,-1.59527762896715,"Q6NUQ4;H7C0H8",19,-4.54475665172881,0.00143686352240686,0.168837151374029,0.144514083862322,"Non-significant",0.772531983886599,"TMEM214","Transmembrane protein 214","Q6NUQ4;H7C0H8"
-0.402879714965827,16.5744791030884,-6.1193607878632,0.000380946200499806,0.277113499197829,0.248743251162914,"Q7Z422",2,-4.45984646130483,0.00162180738131899,0.168837151374029,0.402879714965824,"Non-significant",0.772531983886599,"SZRD1","SUZ domain-containing protein 1","Q7Z422"
-0.121547698974624,18.8605589866638,-4.344203336381,0.00293497542930771,0.307913794305323,-1.32366155668619,"Q92552;G5EA06;D6RH20",20,-4.91672186853883,0.000855926926588992,0.168837151374029,0.121547698974627,"Non-significant",0.772531983886599,"MRPS27","28S ribosomal protein S27, mitochondrial","Q92552;G5EA06;D6RH20"
0.0852913856506241,22.1653130054474,3.53342556243992,0.00866903758039031,0.338092465635222,-2.23465248333742,"Q93100",38,4.57136998327444,0.00138365577055324,0.168837151374029,-0.0852913856506277,"Non-significant",0.772531983886599,"PHKB","Phosphorylase b kinase regulatory subunit beta","Q93100"
-0.160559654235804,18.2971162796021,-4.83318945751014,0.00160092158039078,0.307913794305323,-0.83415252517514,"Q9BQG2",9,-4.66802472162683,0.00120750470931498,0.168837151374029,0.160559654235801,"Non-significant",0.772531983886599,"NUDT12","NAD-capped RNA hydrolase NUDT12","Q9BQG2"
-0.103446006774881,19.6496205329895,-4.38911386032871,0.00277197552364163,0.307913794305323,-1.27681302024561,"Q9BTV4",18,-4.89790048881969,0.00087823495180294,0.168837151374029,0.103446006774874,"Non-significant",0.772531983886599,"TMEM43","Transmembrane protein 43","Q9BTV4"
0.104208469390873,23.5031907558441,4.05476198010118,0.00427236370961727,0.307913794305323,-1.63480612545638,"Q9BWD1",20,4.61890718481329,0.00129380259542543,0.168837151374029,-0.104208469390876,"Non-significant",0.772531983886599,"ACAT2","Acetyl-CoA acetyltransferase, cytosolic","Q9BWD1"
0.425946235656724,17.2662262916565,4.18092319845384,0.00362179899290412,0.307913794305323,-1.49722660889437,"Q9BYK8",13,4.55461001732711,0.00141691231212148,0.168837151374029,-0.425946235656724,"Non-significant",0.772531983886599,"HELZ2","Helicase with zinc finger domain 2","Q9BYK8"
-0.239597320556655,17.9470586776733,-4.91849041571317,0.00144543181063424,0.307913794305323,-0.753353918409482,"Q9C0I1",5,-4.43884382811653,0.00167138367961956,0.168837151374029,0.239597320556648,"Non-significant",0.772531983886599,"MTMR12","Myotubularin-related protein 12","Q9C0I1"
0.100952625274701,23.0591957569122,3.71163389300636,0.00677623941390401,0.33130893075319,-2.02406610506757,"Q9H2A2;H0YF40",38,4.61129732171957,0.00130775505551739,0.168837151374029,-0.100952625274701,"Non-significant",0.772531983886599,"ALDH8A1","2-aminomuconic semialdehyde dehydrogenase","Q9H2A2;H0YF40"
0.0787601470947266,22.7486324310303,3.61984112628254,0.00768860387823858,0.33130893075319,-2.13184031432036,"Q9NQR4;F8WF70;H7C579",35,4.83600416501789,0.00095612608972174,0.168837151374029,-0.0787601470947266,"Non-significant",0.772531983886599,"NIT2","Omega-amidase NIT2","Q9NQR4;F8WF70;H7C579"
0.144770145416274,17.7302329540253,4.03183419844361,0.00440369578827888,0.307913794305323,-1.66013243219824,"Q9NXV6;D6RGD2;J3KNE1",17,4.41841723671251,0.00172115926559675,0.171061022493664,-0.144770145416274,"Non-significant",0.766848936363784,"CDKN2AIP","CDKN2A-interacting protein","Q9NXV6;D6RGD2;J3KNE1"
0.07345199584962,20.0852031707764,3.40106004445842,0.0104397470844779,0.343712105142147,-2.39459116557977,"P30533",29,4.37297026583601,0.00183768619172835,0.179743211324287,-0.0734519958496236,"Non-significant",0.745347503393355,"LRPAP1","Alpha-2-macroglobulin receptor-associated protein","P30533"
0.111477375030532,18.5001394748688,3.84036989499065,0.00568783968325583,0.330247158031274,-1.875472280668,"Q14C86;F8W9S7",20,4.33583285363583,0.00193917121619636,0.181048076275787,-0.111477375030521,"Non-significant",0.742206085413382,"GAPVD1","GTPase-activating protein and VPS9 domain-containing protein 1","Q14C86;F8W9S7"
0.915629148483275,15.2449966669083,4.4411172709335,0.00259548076460605,0.307913794305323,-1.2230455431635,"Q6KC79;A0A590UJS4",1,4.3380139238378,0.00193304840796839,0.181048076275787,-0.915629148483275,"Non-significant",0.742206085413382,"NIPBL","Nipped-B-like protein","Q6KC79;A0A590UJS4"
-0.14901113510135,19.1743557453156,-5.12622251179183,0.00113191102360911,0.307913794305323,-0.562164428699759,"Q86TM6;E9PK19;E9PMA1",7,-4.35409517733321,0.00188853713410061,0.181048076275787,0.14901113510135,"Non-significant",0.742206085413382,"SYVN1","E3 ubiquitin-protein ligase synoviolin","Q86TM6;E9PK19;E9PMA1"
0.1174397468567,20.3310520648957,3.98079831147684,0.00471203549170682,0.307913794305323,-1.71686270405142,"Q02750;P36507;H3BRW9;A0A1B0GUL7;G5E9C7",16,4.31483864925705,0.00199917823129026,0.183864720316576,-0.1174397468567,"Non-significant",0.735501594534078,"MAP2K1","Dual specificity mitogen-activated protein kinase kinase 1","Q02750;P36507;H3BRW9;A0A1B0GUL7;G5E9C7"
0.117566108703599,23.545371055603,3.85170768075785,0.00560145665234788,0.330247158031274,-1.86253083881898,"O00264",18,4.26424306325167,0.00215209651054394,0.184427576954045,-0.117566108703599,"Non-significant",0.734174139553991,"PGRMC1","Membrane-associated progesterone receptor component 1","O00264"
0.407057285308827,19.2474181652069,4.01066376606129,0.00452885879735882,0.307913794305323,-1.68360552630373,"O14933;E9PKW8;E9PQT7",7,4.27525085205566,0.00211779468382677,0.184427576954045,-0.407057285308824,"Non-significant",0.734174139553991,"UBE2L6","Ubiquitin/ISG15-conjugating enzyme E2 L6","O14933;E9PKW8;E9PQT7"
0.143973827362096,25.4701726436615,3.69463707151157,0.00693596381400386,0.33130893075319,-2.04390894394704,"P06733;A0A2R8Y6G6",38,4.28409463875607,0.00209065905463783,0.184427576954045,-0.1439738273621,"Non-significant",0.734174139553991,"ENO1","Alpha-enolase","P06733;A0A2R8Y6G6"
0.0908417701721298,22.1594798564911,3.38394588222806,0.0106955398917285,0.343712105142147,-2.41548101740705,"P30613",42,4.26215130960054,0.00215868150372963,0.184427576954045,-0.0908417701721262,"Non-significant",0.734174139553991,"PKLR","Pyruvate kinase PKLR","P30613"
-0.226689338684068,17.305449962616,-4.19332492915251,0.00356391721072406,0.307913794305323,-1.48386554183045,"P31749",8,-4.29443669471625,0.00205939634882838,0.184427576954045,0.226689338684075,"Non-significant",0.734174139553991,"AKT1","RAC-alpha serine/threonine-protein kinase","P31749"
0.37132167816165,16.6725745201111,4.32979386707669,0.00298946844830062,0.307913794305323,-1.33877428678161,"Q8IYM9;C9JWC5;H7C376;H7C262;H7C2K0",4,4.25354422933265,0.002186004366939,0.184427576954045,-0.37132167816165,"Non-significant",0.734174139553991,"TRIM22","E3 ubiquitin-protein ligase TRIM22","Q8IYM9;C9JWC5;H7C376;H7C262;H7C2K0"
-0.201602935791051,19.7303719520569,-6.61631657141167,0.000231189330184956,0.277113499197829,0.596249026459891,"Q9NX00",4,-4.24459441956964,0.00221480699360586,0.184427576954045,0.201602935791051,"Non-significant",0.734174139553991,"TMEM160","Transmembrane protein 160","Q9NX00"
0.847833871841452,15.6021457910538,4.0903355741539,0.00407693850512622,0.307913794305323,-1.59570762650117,"Q5SVS4",2,4.21763536866294,0.0023040410374886,0.189300011640064,-0.847833871841452,"Non-significant",0.722849359331421,"SLC25A30","Kidney mitochondrial carrier protein 1","Q5SVS4"
0.0663523674011479,20.6017682552338,3.25005164629022,0.0129429831370318,0.350367605638763,-2.58050673214949,"P62333;H0YJS8;A0A087X2I1;H0YJC0",27,4.18899855569488,0.00240304290450713,0.189840389456063,-0.0663523674011515,"Non-significant",0.721611383838095,"PSMC6","26S proteasome regulatory subunit 10B","P62333;H0YJS8;A0A087X2I1;H0YJC0"
0.0932550430298065,23.2814722061157,3.50457016750328,0.00902563032081276,0.339121549005172,-2.2692687665575,"Q99497;K7ELW0",27,4.19552195251203,0.00238009829846308,0.189840389456063,-0.0932550430298029,"Non-significant",0.721611383838095,"PARK7","Parkinson disease protein 7","Q99497;K7ELW0"
0.703445911407478,18.7730100154877,3.83436233327711,0.00573419420095488,0.330247158031274,-1.88233917035754,"Q9Y6K5",16,4.19549764998969,0.00238018334254615,0.189840389456063,-0.703445911407474,"Non-significant",0.721611383838095,"OAS3","2'-5'-oligoadenylate synthase 3","Q9Y6K5"
-0.768456459045428,17.4512386322022,-4.4229608142795,0.00265566615563891,0.307913794305323,-1.2417594014002,"C9JR56",1,-4.151340925283,0.00254018689413606,0.191355370489294,0.768456459045424,"Non-significant",0.718159344564982,"SATB2","DNA-binding protein SATB","C9JR56"
0.10088586807252,22.0600759983063,3.44971939696378,0.00974752823687824,0.343712105142147,-2.33545708307225,"P19971;A0A494C0L3;C9JGI3;A0A494BZZ4",33,4.15148213470957,0.00253965732428932,0.191355370489294,-0.100885868072524,"Non-significant",0.718159344564982,"TYMP","Thymidine phosphorylase","P19971;A0A494C0L3;C9JGI3;A0A494BZZ4"
0.114014625549352,20.3042221069336,3.82772353216854,0.00578589467296997,0.330247158031274,-1.88993531523618,"P32456",16,4.14967689425809,0.00254643628369395,0.191355370489294,-0.114014625549352,"Non-significant",0.718159344564982,"GBP2","Guanylate-binding protein 2","P32456"
-0.0865383148193999,21.3396511077881,-3.96405914173583,0.0048182041703084,0.309268480181671,-1.73557608287051,"Q02880;E9PCY5",15,-4.16655069069954,0.00248381681071999,0.191355370489294,0.0865383148193999,"Non-significant",0.718159344564982,"TOP2B","DNA topoisomerase 2-beta","Q02880;E9PCY5"
-0.522271871566751,16.4491831064224,-4.46590942139765,0.00251569450522276,0.307913794305323,-1.19759357891095,"F5H726;F5H136;F5H676",2,-4.13417455238026,0.00260544947540922,0.192186449826437,0.522271871566751,"Non-significant",0.71627723567401,"TCP1","T-complex protein 1 subunit alpha (Fragment)","F5H726;F5H136;F5H676"
1.5602321624756,15.7362847328186,3.83622069312884,0.00571981158264663,0.330247158031274,-1.88021427916001,"O15162;H7C5I5;C9J7K9",1,4.0672164952808,0.0028775811458585,0.192186449826437,-1.5602321624756,"Non-significant",0.71627723567401,"PLSCR1","Phospholipid scramblase 1","O15162;H7C5I5;C9J7K9"
