"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","count","sca.t","sca.P.Value","sca.adj.pval","HBV_vs_CTRL.myr","Diff_Abund","negLog10_sca_adjPval","Genes","ProtDesc"
-1.10482788085937,15.35,-7.9085650053039,5.36567266791692e-05,0.0043516693045891,2.38704633530775,"NDRG1_HUMAN",4,-7.99251512100985,4.39634650276484e-05,0.00387138339045978,1.1,"Up in CTRL.myr",2.412,"NDRG1","Protein NDRG1"
-1.22130918502805,18.46,-9.78727616922582,1.16288178202478e-05,0.00176246779555755,3.9663090386986,"RFX5_HUMAN",1,-7.52396834967614,6.77248307767195e-05,0.00525431812109382,1.22,"Up in CTRL.myr",2.279,"RFX5","DNA-binding protein RFX5"
-1.53917932510375,14.09,-8.04884312742843,4.73986480375174e-05,0.0043516693045891,2.51648346449749,"PSB9_HUMAN",1,-7.10841650613562,0.00010114909864351,0.00724383160285445,1.54,"Up in CTRL.myr",2.14,"PSMB9","Proteasome subunit beta type-9"
-1.55782413482667,17.74,-6.75431160463664,0.000159912169161093,0.00992521529926518,1.23978069028622,"AL4A1_HUMAN",6,-6.95260322728641,0.00011810951224592,0.00733066372673013,1.56,"Up in CTRL.myr",2.135,"ALDH4A1","Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial"
-2.86568975448607,16.37,-7.18131707699278,0.00010510984666852,0.00752748209603015,1.68204165959907,"F8VZY6_HUMAN",1,-7.01539056087324,0.000110922858530476,0.00733066372673013,2.87,"Up in CTRL.myr",2.135,"CDK17","Cyclin-dependent kinase 17 (Fragment)"
-1.041419506073,18.79,-6.13160437475203,0.000305814580449267,0.0167478455528393,0.553914093084733,"DCXR_HUMAN",6,-6.41059864796714,0.000206785403427005,0.0120323256619088,1.04,"Up in CTRL.myr",1.92,"DCXR","L-xylulose reductase"
5.88950324058528,18.01,6.26439913670245,0.000265310637859113,0.0154377627404271,0.704422916270246,"CAPSD_HBVD3;HBEAG_HBVD3",4,6.33427298522565,0.000224362860104805,0.0122871660445631,-5.89,"Up in HBV",1.911,"C","Capsid protein"
-1.19724035263063,17.68,-6.01179790619252,0.000348280041660684,0.0180138177103387,0.416087784348701,"DECR_HUMAN",5,-6.16734201771295,0.000268843603676602,0.0139051886123842,1.2,"Up in CTRL.myr",1.857,"DECR1","2,4-dienoyl-CoA reductase, mitochondrial"
-1.66626596450802,15.17,-5.58193328819052,0.000563678521459319,0.0249897477846965,-0.0947746965871996,"GBP1_HUMAN",3,-5.57585878246408,0.00052483588017869,0.0237957291127823,1.67,"Up in CTRL.myr",1.624,"GBP1","Guanylate-binding protein 1"
-1.02463483810424,19.55,-5.20308541965809,0.000879265039921445,0.034108156340286,-0.566870028819046,"LDHA_HUMAN",13,-5.51708935196235,0.000562305091816552,0.0237957291127823,1.02,"Up in CTRL.myr",1.624,"LDHA","L-lactate dehydrogenase A chain"
-2.19585108757018,15.53,-5.79094863414118,0.000444701813271543,0.0217903888503056,0.15685754592172,"NDUV1_HUMAN",1,-5.63699260811172,0.000488745669489779,0.0237957291127823,2.2,"Up in CTRL.myr",1.624,"NDUFV1","NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial"
-2.45478272438047,16.68,-5.63838120390752,0.000528420682569037,0.0245979827735887,-0.026206496367629,"PIWL3_HUMAN",1,-5.53768598994152,0.00054884939068312,0.0237957291127823,2.45,"Up in CTRL.myr",1.624,"PIWIL3","Piwi-like protein 3"
-0.689496040344252,19.63,-4.80954888186538,0.00142524592174585,0.0459296732590749,-1.07960454289251,"ANXA2_HUMAN",17,-5.41661487378512,0.000633347578191205,0.0256368084911309,0.69,"Up in CTRL.myr",1.591,"ANXA2","Annexin A2"
-2.11426162719725,14.71,-5.28530797154989,0.000797056631591859,0.0322634662613922,-0.462633242202969,"ECHD3_HUMAN",3,-5.30796632969655,0.000721422126776819,0.0279851666678841,2.11,"Up in CTRL.myr",1.553,"ECHDC3","Enoyl-CoA hydratase domain-containing protein 3, mitochondrial"
-2.46971082687378,14.77,-5.35186248014039,0.000736680087629204,0.0311749618901268,-0.378984585187601,"GBRA6_HUMAN",1,-5.27270569884033,0.000752823570704192,0.0280351497730241,2.47,"Up in CTRL.myr",1.552,"GABRA6","Gamma-aminobutyric acid receptor subunit alpha-6"
-2.03137040138245,15.2,-5.16470847123281,0.000920782850811478,0.0342899533642195,-0.615862211513969,"RYR3_HUMAN",2,-5.10435425479836,0.000924864606462665,0.03311726725449,2.03,"Up in CTRL.myr",1.48,"RYR3","Ryanodine receptor 3"
-0.830448150634723,17.17,-4.46000600285436,0.0022303111144119,0.0631447923103877,-1.55429166448667,"ANXA6_HUMAN",12,-4.74831786494901,0.00144837758596756,0.0434980494366386,0.83,"Up in CTRL.myr",1.362,"ANXA6","Annexin A6"
-0.494647979736332,18.86,-4.29125491701614,0.00278646848435935,0.0676956765653463,-1.78988435227279,"EF1A1_HUMAN;EF1A3_HUMAN",7,-4.77872641369621,0.00139294311485073,0.0434980494366386,0.49,"Non-significant",1.362,"EEF1A1;EEF1A1P5","Elongation factor 1-alpha 1"
-3.98362255096434,16.72,-4.80652001411265,0.00143067725511619,0.0459296732590749,-1.08363999166577,"KIF1A_HUMAN",1,-4.82046305059546,0.00132058483998021,0.0434980494366386,3.98,"Up in CTRL.myr",1.362,"KIF1A","Kinesin-like protein KIF1A"
-0.739372730255123,18.08,-4.42202659874259,0.00234404850627264,0.0641855635099948,-1.60695346900156,"SAHH_HUMAN",12,-4.77048208242991,0.00140774060100271,0.0434980494366386,0.74,"Up in CTRL.myr",1.362,"AHCY","Adenosylhomocysteinase"
-1.397873878479,15.01,-5.12378343655256,0.000967439225646026,0.034641766118325,-0.668346537275403,"STOM_HUMAN",1,-4.82555096690318,0.00131204772276587,0.0434980494366386,1.4,"Up in CTRL.myr",1.362,"STOM","Stomatin"
-1.30140113830564,16.92,-4.45729938076919,0.00223821497985262,0.0631447923103877,-1.55803765401834,"CYTA_HUMAN",6,-4.55715854714405,0.00185682567737764,0.0540220220512058,1.3,"Non-significant",1.267,"CSTA","Cystatin-A"
-0.973912239074728,18.98,-5.0232944449448,0.00109337253139299,0.0377011046935879,-0.798269078872421,"GPR84_HUMAN",1,-4.45072097184982,0.00213725068808103,0.0585229526648072,0.97,"Non-significant",1.233,"GPR84","G-protein coupled receptor 84"
-1.3149101734161,14.78,-4.71262034777707,0.00161079156847926,0.0499882316751396,-1.20942174845039,"PGRC1_HUMAN;PGRC2_HUMAN",1,-4.45129572604656,0.002135618455473,0.0585229526648072,1.31,"Non-significant",1.233,"PGRMC1;PGRMC2","Membrane-associated progesterone receptor component 1"
-0.933382034301758,17.51,-4.3151351522804,0.00269935631173721,0.0676956765653463,-1.75629478938752,"PSB5_HUMAN",4,-4.36232662088754,0.00240512171234888,0.0639762375484803,0.93,"Non-significant",1.194,"PSMB5","Proteasome subunit beta type-5"
-1.71383261680598,14.5,-4.26672125142352,0.0028791463720703,0.0676956765653463,-1.82447828882327,"ACS2B_HUMAN",3,-4.28525083809167,0.00266846564555374,0.0667408856211437,1.71,"Non-significant",1.176,"ACSM2B","Acyl-coenzyme A synthetase ACSM2B, mitochondrial"
0.694788932800297,16.78,4.18714871595734,0.0032034495568124,0.0727417448144475,-1.93727106524483,"APOA2_HUMAN",4,4.23226736477078,0.00286749240047879,0.0667408856211437,-0.69,"Non-significant",1.176,"APOA2","Apolipoprotein A-II"
-1.641640663147,19.61,-4.32302014038364,0.00267124474515852,0.0676956765653463,-1.74522191861565,"EFTU_HUMAN",2,-4.26557198201988,0.00274058859032452,0.0667408856211437,1.64,"Non-significant",1.176,"TUFM","Elongation factor Tu, mitochondrial"
0.432077884674051,18.27,3.1861652684147,0.0132556183665547,0.152238066480448,-3.42495050556272,"M0R1Q1_HUMAN",96,4.25111203486507,0.00279492563371244,0.0667408856211437,-0.43,"Non-significant",1.176,"C3","Complement C3 (Fragment)"
-0.807355642318724,15.83,-4.67230801371674,0.00169558390129687,0.0509222132937865,-1.2638233028298,"NDKA_HUMAN",2,-4.2386638470943,0.00284263540378477,0.0667408856211437,0.81,"Non-significant",1.176,"NME1","Nucleoside diphosphate kinase A"
-1.30090284347537,13.72,-4.25912503243289,0.00290851456779146,0.0676956765653463,-1.83520688451529,"GLYAT_HUMAN",2,-4.14877871851747,0.00321436167997815,0.0712516839061822,1.3,"Non-significant",1.147,"GLYAT","Glycine N-acyltransferase"
-0.987187147140501,15.49,-4.39039029836137,0.00244360410359458,0.0649998691556159,-1.65098070380848,"PPIB_HUMAN",2,-4.15218568392974,0.00319935379366804,0.0712516839061822,0.99,"Non-significant",1.147,"PPIB","Peptidyl-prolyl cis-trans isomerase B"
-0.666839599609347,16.91,-3.83458560252765,0.00519848625641529,0.100828973015055,-2.4475461904198,"EST2_HUMAN",8,-4.06149314076189,0.00362592418939161,0.0747100350748049,0.67,"Non-significant",1.127,"CES2","Cocaine esterase"
-0.83054065704345,16.94,-4.13165723557943,0.00345290726273974,0.0765394443240643,-2.0164588352329,"FRIH_HUMAN",3,-4.06851904591936,0.00359078193381036,0.0747100350748049,0.83,"Non-significant",1.127,"FTH1","Ferritin heavy chain"
-1.4804503917694,13.78,-4.01768972474936,0.00403357271292628,0.081636004255095,-2.18043460018674,"GLNA_HUMAN",3,-4.03003840300951,0.00378785486859367,0.0747100350748049,1.48,"Non-significant",1.127,"GLUL","Glutamine synthetase"
-0.586236476898172,16.96,-3.70512714634821,0.00623807165999815,0.109338282978164,-2.63899519865759,"HYEP_HUMAN",11,-4.01800236593463,0.00385186002533903,0.0747100350748049,0.59,"Non-significant",1.127,"EPHX1","Epoxide hydrolase 1"
-0.916267395019524,14.77,-4.0806276553099,0.00370090394672321,0.0781342301703709,-2.08965866207722,"RSSA_HUMAN",3,-4.03902266405208,0.00374082420649636,0.0747100350748049,0.92,"Non-significant",1.127,"RPSA","40S ribosomal protein SA"
-0.704281806945794,19,-3.77900529821134,0.00562006071068324,0.104785733496003,-2.52948594336234,"THIL_HUMAN",14,-4.03815667893626,0.00374532998201372,0.0747100350748049,0.7,"Non-significant",1.127,"ACAT1","Acetyl-CoA acetyltransferase, mitochondrial"
-0.511079788208001,18.74,-3.53088259390811,0.00800258003825496,0.12256137630748,-2.89982339952187,"ENPL_HUMAN",18,-3.98088073721626,0.00405669658648835,0.0770772351432786,0.51,"Non-significant",1.113,"HSP90B1","Endoplasmin"
-1.38881158828738,16.88,-3.72096786152838,0.00609967835633274,0.109338282978164,-2.61545851964346,"GABT_HUMAN",19,-3.82069733954593,0.00508468068546249,0.0937072822938449,1.39,"Non-significant",1.028,"ABAT","4-aminobutyrate aminotransferase, mitochondrial"
-0.859586238861073,17.96,-4.06577932094498,0.00377662766666669,0.0781342301703709,-2.1110256274263,"S10AA_HUMAN",2,-3.81400953378777,0.00513326680664456,0.0937072822938449,0.86,"Non-significant",1.028,"S100A10","Protein S100-A10"
-1.01686501502993,16.73,-4.07914048559699,0.00370841387331462,0.0781342301703709,-2.09179735218146,"RLA1_HUMAN",1,-3.79234886993481,0.00529406959972241,0.094784207641184,1.02,"Non-significant",1.023,"RPLP1","60S acidic ribosomal protein P1"
-0.883203506469751,16.81,-3.77805368911738,0.00562759041331919,0.104785733496003,-2.53089223840055,"GAL3A_HUMAN;GAL3B_HUMAN",3,-3.74559991378179,0.00565977671344016,0.0992166107007055,0.88,"Non-significant",1.003,"GATD3A;GATD3B","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"
-0.849287033081051,15.76,-3.6934927568476,0.00634185529626299,0.109338282978164,-2.65630118464964,"NPM_HUMAN",4,-3.7339835379391,0.00575477656051353,0.0992166107007055,0.85,"Non-significant",1.003,"NPM1","Nucleophosmin"
-0.607753753662124,15.89,-3.64826334090787,0.00676321152962443,0.114482726074188,-2.72373183076352,"COMT_HUMAN",4,-3.68758638375237,0.00615154680427343,0.103305410509573,0.61,"Non-significant",0.986,"COMT","Catechol O-methyltransferase"
-0.963768959045399,16.99,-3.56148662835621,0.00765769193687673,0.12083578293614,-2.85376415593182,"GRP75_HUMAN",10,-3.68059089960873,0.00621385927877131,0.103305410509573,0.96,"Non-significant",0.986,"HSPA9","Stress-70 protein, mitochondrial"
-1.50594973564148,13.58,-3.71979829333835,0.00610978312085487,0.109338282978164,-2.61719526832166,"STBD1_HUMAN",1,-3.63729996101081,0.0066147574011966,0.108041037552878,1.51,"Non-significant",0.966,"STBD1","Starch-binding domain-containing protein 1"
-1.28749179840088,19.18,-3.52848090270926,0.00803033722315387,0.12256137630748,-2.90344224851314,"SPYA_HUMAN",17,-3.62250034770177,0.00675806010430905,0.108478516501926,1.29,"Non-significant",0.965,"AGXT","Serine--pyruvate aminotransferase"
-0.620759963989247,18.13,-3.35344889039421,0.0103567093845519,0.136689941406888,-3.16876691607006,"ATPB_HUMAN",13,-3.5794024106816,0.00719452446395407,0.110773637382357,0.62,"Non-significant",0.956,"ATP5F1B","ATP synthase subunit beta, mitochondrial"
0.321830749511733,23.81,2.52658018864118,0.0360635476655767,0.193603215987509,-4.44739819899416,"CO3_HUMAN",96,3.55123144608072,0.00749596042437003,0.110773637382357,-0.32,"Non-significant",0.956,"C3","Complement C3"
0.689130783081051,16.54,3.94849911883449,0.00443687617937378,0.0878879089999359,-2.28084856045676,"CO4B_HUMAN",2,3.58896076956725,0.00709519922122561,0.110773637382357,-0.69,"Non-significant",0.956,"C4B","Complement C4-B"
-0.949192285537729,16.34,-3.56616407885424,0.00760639129725943,0.12083578293614,-2.8467335814022,"FAH2A_HUMAN",3,-3.55127191794671,0.00749551785779007,0.110773637382357,0.95,"Non-significant",0.956,"FAHD2A","Fumarylacetoacetate hydrolase domain-containing protein 2A"
0.630022525787343,16.88,3.39529709239728,0.00974197425421658,0.136689941406888,-3.10505730565625,"KAIN_HUMAN",7,3.55572679356031,0.0074469724342747,0.110773637382357,-0.63,"Non-significant",0.956,"SERPINA4","Kallistatin"
-1.08200407028195,17.66,-3.36502142910954,0.0101827045256268,0.136689941406888,-3.15113264213667,"ACOC_HUMAN",18,-3.47211602649873,0.00841653125549678,0.112898051683416,1.08,"Non-significant",0.947,"ACO1","Cytoplasmic aconitate hydratase"
-0.688812255859375,22.26,-3.17778778361357,0.0134216498683505,0.152238066480448,-3.4378375019978,"CPSM_HUMAN",40,-3.43766066600188,0.0088542780937471,0.112898051683416,0.69,"Non-significant",0.947,"CPS1","Carbamoyl-phosphate synthase [ammonia], mitochondrial"
-1.1390681266785,16.2,-3.59504222964535,0.00729767402800844,0.119195342457471,-2.80338120276608,"CREG1_HUMAN",1,-3.44532966346418,0.0087547997050209,0.112898051683416,1.14,"Non-significant",0.947,"CREG1","Protein CREG1"
-0.91906642913818,18.28,-3.38614580136234,0.00987301865840803,0.136689941406888,-3.11897521233297,"EF2_HUMAN",15,-3.5145897467773,0.00790826737944434,0.112898051683416,0.92,"Non-significant",0.947,"EEF2","Elongation factor 2"
0.440040111541769,21.07,2.84262829643278,0.0222213754532953,0.181474566201912,-3.9565635934647,"FINC_HUMAN",73,3.44562416342124,0.00875100328817617,0.112898051683416,-0.44,"Non-significant",0.947,"FN1","Fibronectin"
-0.657594203948975,20.09,-3.28334177922458,0.0114804204538465,0.142510285900414,-3.27585103161774,"G3P_HUMAN",13,-3.47574387893568,0.00837179379055452,0.112898051683416,0.66,"Non-significant",0.947,"GAPDH","Glyceraldehyde-3-phosphate dehydrogenase"
-1.34110569953922,14.14,-3.62559607309928,0.00698554772506894,0.116134730929271,-2.75761542566456,"GST2_HUMAN;GSTT2_HUMAN",1,-3.52265103927258,0.00781553514681089,0.112898051683416,1.34,"Non-significant",0.947,"GSTT2;GSTT2B","Glutathione S-transferase theta-2"
-0.811953067779555,16.93,-3.2881859087933,0.0113987741092667,0.142510285900414,-3.26843831418807,"HAOX1_HUMAN",14,-3.42857861640776,0.00897363676108785,0.112898051683416,0.81,"Non-significant",0.947,"HAO1","Hydroxyacid oxidase 1"
-3.9270644187927,15.37,-3.44521329149364,0.00905894459473528,0.136030280930622,-3.02928373761643,"HIBCH_HUMAN",3,-3.48073827547469,0.00831061671343329,0.112898051683416,3.93,"Non-significant",0.947,"HIBCH","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
-1.10404920578,17.04,-3.4229230842235,0.00935744997828506,0.136689941406888,-3.06309051768644,"OTC_HUMAN",7,-3.5005984261677,0.00807199947897246,0.112898051683416,1.1,"Non-significant",0.947,"OTC","Ornithine carbamoyltransferase, mitochondrial"
-0.730422973632823,18.9,-3.29309176469469,0.0113167126039426,0.142510285900414,-3.26093314749194,"UGDH_HUMAN",14,-3.46002436209618,0.00856748126055975,0.112898051683416,0.73,"Non-significant",0.947,"UGDH","UDP-glucose 6-dehydrogenase"
-1.80933141708373,14.07,-3.41255009846227,0.00949990770342086,0.136689941406888,-3.07883951898623,"PGDH_HUMAN",1,-3.38292625087422,0.00959996095195751,0.119167515283633,1.81,"Non-significant",0.924,"HPGD","15-hydroxyprostaglandin dehydrogenase [NAD(+)]"
-1.67165589332577,14.28,-3.3261165772666,0.0107803024782464,0.139395300100659,-3.2104640899985,"CZIB_HUMAN",1,-3.29003127112552,0.0110215234566569,0.131060046746161,1.67,"Non-significant",0.883,"CZIB","CXXC motif containing zinc binding protein"
-0.519672870635954,16.86,-3.1092350708956,0.0148653072969662,0.153759566489099,-3.54347029226559,"DPP4_HUMAN",7,-3.28400536428291,0.0111210995627784,0.131060046746161,0.52,"Non-significant",0.883,"DPP4","Dipeptidyl peptidase 4"
-1.5212104320526,15.42,-3.34901172002487,0.0104242597635757,0.136689941406888,-3.17553153329282,"GCSH_HUMAN",1,-3.29679445042299,0.0109108825442535,0.131060046746161,1.52,"Non-significant",0.883,"GCSH","Glycine cleavage system H protein, mitochondrial"
0.365640163421627,21.33,2.76716148030136,0.0249293800440161,0.188442574216662,-4.07386060688934,"ITIH4_HUMAN",26,3.30026380697471,0.010854581290104,0.131060046746161,-0.37,"Non-significant",0.883,"ITIH4","Inter-alpha-trypsin inhibitor heavy chain H4"
-1.04386591911313,16.36,-3.25634785106199,0.0119468525300668,0.146233483453521,-3.31719388820496,"MAOX_HUMAN",3,-3.25802229501473,0.0115614427938373,0.134546290513281,1.04,"Non-significant",0.871,"ME1","NADP-dependent malic enzyme"
-0.520200252532952,18.58,-3.20386517884859,0.012911899763623,0.152238066480448,-3.39773953313777,"LBP_HUMAN",4,-3.23833286366931,0.0119073361187785,0.136860863291145,0.52,"Non-significant",0.864,"LBP","Lipopolysaccharide-binding protein"
-0.729465007781975,19.66,-3.09911045556181,0.0150919771034,0.153759566489099,-3.55909674842548,"FRIL_HUMAN",9,-3.22025609399261,0.0122344926905104,0.137232683070665,0.73,"Non-significant",0.863,"FTL","Ferritin light chain"
-0.745774269104022,18.82,-3.18801957791659,0.0132191613816705,0.152238066480448,-3.42209871727995,"RL40_HUMAN;RS27A_HUMAN;UBB_HUMAN;UBC_HUMAN",4,-3.2229909270737,0.0121843963704815,0.137232683070665,0.75,"Non-significant",0.863,"RPS27A;UBA52;UBB;UBC","Polyubiquitin-B"
-0.905041694641099,15.83,-3.11825507104417,0.014666377508753,0.153759566489099,-3.5295539922259,"ETFA_HUMAN",8,-3.20444659252344,0.0125283647791885,0.138532827198364,0.91,"Non-significant",0.858,"ETFA","Electron transfer flavoprotein subunit alpha, mitochondrial"
-1.09957838058473,17.07,-3.17626632320447,0.0134520375340297,0.152238066480448,-3.44017848163583,"GRHPR_HUMAN",3,-3.18265729393981,0.0129456025416301,0.138532827198364,1.1,"Non-significant",0.858,"GRHPR","Glyoxylate reductase/hydroxypyruvate reductase"
-0.72065663337705,16.5,-3.06939467712414,0.0157784360051516,0.153759566489099,-3.60499526173495,"M2GD_HUMAN",9,-3.18982888015376,0.0128066873234141,0.138532827198364,0.72,"Non-significant",0.858,"DMGDH","Dimethylglycine dehydrogenase, mitochondrial"
-0.786083936691302,15.25,-3.3576829125679,0.0102926838976134,0.136689941406888,-3.16231367600969,"PDC6I_HUMAN",2,-3.19104323138588,0.012783320477028,0.138532827198364,0.79,"Non-significant",0.858,"PDCD6IP","Programmed cell death 6-interacting protein"
-1.1836714744568,18,-3.08790173342935,0.0153471538898676,0.153759566489099,-3.57640356668361,"ADH4_HUMAN",19,-3.1681010413654,0.0132324471341068,0.139993275930153,1.18,"Non-significant",0.854,"ADH4","All-trans-retinol dehydrogenase [NAD(+)] ADH4"
-0.676851511001576,16.17,-3.12171608398459,0.014590791172068,0.153759566489099,-3.52421559149269,"AK1C4_HUMAN",4,-3.15585941672394,0.0134788421772262,0.14099777603368,0.68,"Non-significant",0.851,"AKR1C4","Aldo-keto reductase family 1 member C4"
-1.5431971549988,20.39,-3.08168434945322,0.0154906460677429,0.153759566489099,-3.5860066760873,"ADH1B_HUMAN",25,-3.14647114476004,0.0136710644016039,0.141419566198814,1.54,"Non-significant",0.849,"ADH1B","All-trans-retinol dehydrogenase [NAD(+)] ADH1B"
-1.56439256668093,18.24,-3.03505557749338,0.0166126473091667,0.154663746448342,-3.65809557478738,"ADH1G_HUMAN",7,-3.08250336582428,0.0150596589939393,0.143220270358546,1.56,"Non-significant",0.844,"ADH1C","Alcohol dehydrogenase 1C"
-1.00237798690798,17.53,-3.03798952165035,0.0165396000232353,0.154663746448342,-3.6535562645433,"ADHX_HUMAN",5,-3.0879660543238,0.0149355050916733,0.143220270358546,1,"Non-significant",0.844,"ADH5","Alcohol dehydrogenase class-3"
0.423663616180423,30.41,2.59364641898537,0.0325250942566885,0.193603215987509,-4.34343833980183,"ALBU_HUMAN",84,3.09887194669726,0.0146908320016611,0.143220270358546,-0.42,"Non-significant",0.844,"ALB","Albumin"
-0.820981264114369,15.88,-3.08810469071143,0.0153424933637371,0.153759566489099,-3.57609012510657,"C1QBP_HUMAN",3,-3.07509965764108,0.0152296528093405,0.143220270358546,0.82,"Non-significant",0.844,"C1QBP","Complement component 1 Q subcomponent-binding protein, mitochondrial"
-2.2229588031769,14.95,-3.06616858755536,0.0158549069634302,0.153759566489099,-3.60998124203989,"ECHB_HUMAN",4,-3.10034353876029,0.0146581394856813,0.143220270358546,2.22,"Non-significant",0.844,"HADHB","Trifunctional enzyme subunit beta, mitochondrial"
-1.54792022705075,14.44,-3.12413699102132,0.0145381633603531,0.153759566489099,-3.5204819383374,"GFRP_HUMAN",1,-3.08832013895132,0.0149274946270083,0.143220270358546,1.55,"Non-significant",0.844,"GCHFR","GTP cyclohydrolase 1 feedback regulatory protein"
-0.991688251495354,15.84,-3.07718514903145,0.0155953609590492,0.153759566489099,-3.59295733344466,"LGUL_HUMAN",4,-3.11122697629421,0.0144187074884298,0.143220270358546,0.99,"Non-significant",0.844,"GLO1","Lactoylglutathione lyase"
-0.776696681976322,18.17,-3.0412182804477,0.0164596010746031,0.154663746448342,-3.64856133035927,"MOES_HUMAN",6,-3.12007419532945,0.0142270899654571,0.143220270358546,0.78,"Non-significant",0.844,"MSN","Moesin"
-0.434291362762451,18.86,-2.86406100859612,0.0215092646406477,0.180077572803044,-3.92326502967253,"TBB5_HUMAN",8,-3.08111667105554,0.0150913467179956,0.143220270358546,0.43,"Non-significant",0.844,"TUBB","Tubulin beta chain"
0.634124755859347,20.36,2.87806198533761,0.0210569053806991,0.179853017517714,-3.90151776578151,"APOE_HUMAN",21,3.05264648331358,0.0157575658266753,0.14622043414117,-0.63,"Non-significant",0.835,"APOE","Apolipoprotein E"
-1.45442914962773,16.27,-2.99627126374408,0.0176106264090078,0.162331615710755,-3.71814062912474,"K2C78_HUMAN",6,-3.04178133165232,0.0160198542238447,0.14622043414117,1.45,"Non-significant",0.835,"KRT78","Keratin, type II cytoskeletal 78"
-0.987640142440799,14.4,-3.11673401390183,0.014699726411826,0.153759566489099,-3.5319003668489,"RL22_HUMAN",2,-3.04376502729453,0.0159716291309171,0.14622043414117,0.99,"Non-significant",0.835,"RPL22","60S ribosomal protein L22"
-0.446130752563484,21.56,-2.67421169886704,0.0287396002617555,0.193603215987509,-4.21833574513603,"EST1_HUMAN",34,-3.02184792210669,0.016512971862001,0.149258027218669,0.45,"Non-significant",0.826,"CES1","Liver carboxylesterase 1"
-0.545277118682847,19.63,-2.78980071152301,0.0240829018535557,0.188442574216662,-4.03866762832139,"PDIA1_HUMAN",22,-3.0046202653721,0.0169519072856589,0.151752170028351,0.55,"Non-significant",0.819,"P4HB","Protein disulfide-isomerase"
-0.487266540527354,17.63,-2.80534966470673,0.0235187927468023,0.188442574216662,-4.01449839034273,"PDIA4_HUMAN",10,-2.99597245309038,0.017176809202196,0.152301041592805,0.49,"Non-significant",0.817,"PDIA4","Protein disulfide-isomerase A4"
-0.379034996032726,17.24,-2.76130603358469,0.0251532790161161,0.188442574216662,-4.08296323265009,"HEXB_HUMAN",7,-2.98280842478439,0.017525149319206,0.152485177721316,0.38,"Non-significant",0.817,"HEXB","Beta-hexosaminidase subunit beta"
